step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1764648588.6994417,0.005451506306906728,-0.08237483661524714,0.28886610816472924,-0.026105598971162915,0.0006847630593415158,-0.010296859678869237,0.036108328544285764,-0.003264757212712824,0.022,0.003,-0.001,0.999,-0.002,-0.001,-0.044,-0.007,0.005,-0.0,0.0,0.0,-0.005,0.035,-0.019,-0.011,0.999,0.001,-0.002,-0.052,0.0,0.001,-0.001,0.0,0.1,0.0,0.021538075313987742,0.003156485355674948,-0.0009841004184182756,0.9992152414745422,0.0,0.0,-0.03960935754303883,0.0002945606694585329,-5.18828451887178e-05,3.347280334756111e-05,0.0,0.0,6.6945606695118745e-06,0.021226408602610797,0.003151789832670289,-0.005914560602271637,0.9990887829630264,0.00037667618157708594,-0.016940952571241116,-0.03917226057418534,-0.014906639213203676,-9.391175437136232e-05,-0.11148165895417514,0.0,0.0,0.02575370119292872,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0019,0.009,0.0002,0.0086
1,1764648588.767805,0.005217546702721087,-0.07894419611637885,0.2937909411247515,-0.025603072075419696,-0.0004883597325648636,0.006856347917435564,0.06073242832070273,-0.0007505653926792753,0.022,0.003,-0.001,0.999,-0.002,-0.001,-0.044,-0.004,-0.0,0.001,0.0,0.0,0.004,0.035,-0.019,-0.011,0.999,0.001,-0.002,-0.053,-0.001,0.002,0.01,0.1,-0.0,0.0,0.02152315775854121,0.0031544590303664807,-0.003643358090844261,0.9991381521733147,0.0002444579108461483,-0.013661072914076403,-0.03919525735162767,-0.006788915941575302,2.1872782706919416e-05,-0.056275635515336354,0.0,0.0,0.02531992732400707,0.020249166446707503,0.0031658210775574666,-0.006585713201848701,0.9989575374761439,0.0005085469790942131,-0.025148109029113002,-0.03809399312002572,-0.03476161275902767,0.00032021257562691815,-0.028066048523994594,0.0,0.0,0.03682940222215106,-1.0,0.0,0.013513513513513514,1.0,0.0,0.0,0.0,36.00664669473115,0.0,0.08,100.0,100.0,0.5,55.0,0.1,1.2851845343716842e-06,-1.4714307043597025e-05,0.0014,0.004,0.0002,0.0167
2,1764648588.829467,0.004679225208012343,-0.07684203357674015,0.2925575093807746,-0.024920284188091068,-0.002039414135703588,0.0006427881836461452,0.030556708920710024,0.0002135554272156802,0.022,0.003,-0.001,0.999,-0.002,-0.001,-0.044,0.013,-0.005,-0.001,0.0,0.0,-0.001,0.035,-0.019,-0.009,0.999,0.002,-0.009,-0.052,-0.018,0.002,0.05,0.1,-0.5,0.1,0.022590320824812073,0.002910728792129983,-0.005619726404104752,0.9990602924014573,0.0008553651906982846,-0.02033491709075876,-0.03826606386887896,-0.005460854130519648,-0.0028559814546935012,-0.01885550803603593,0.0,0.0,0.03594187098735124,0.021159506265664457,0.0027167469695996704,-0.005152933299751094,0.9989182095275646,0.0007841947041953754,-0.02823109196283035,-0.03694321533782237,-0.03968024214869287,-0.002886600803306282,0.03474583341585483,0.0,0.0,0.04088843102009196,-1.0,0.0,0.02702702702702703,1.0,0.0,0.0,0.0,36.009778006749414,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-2.9103836096195464e-06,-0.00016042206638448227,0.0021,0.0048,0.0001,0.0043
3,1764648588.8960056,0.0054179348349480865,-0.0752957960098411,0.29049770991443474,-0.024281467377798526,0.004278451285680261,-0.0018740663625971751,0.026270691340897524,7.904852795133192e-05,0.023,0.004,0.0,0.999,-0.003,-0.005,-0.043,0.019,0.023,0.03,0.0,0.0,0.023,0.033,-0.018,-0.003,0.998,0.005,-0.043,-0.049,-0.039,0.007,0.121,0.3,-1.1,0.1,0.025431011135950848,0.0041425376811848385,-0.006528169962468972,0.998966788485407,-0.00017195567164337287,-0.025724843242081737,-0.03746409447149896,-0.005698940762986698,0.008466734977415107,0.02639580887499916,0.0,0.0,0.03954071666281978,0.023813634662265742,0.004750891762964149,-0.0031586965243585365,0.9988666908904442,0.0001366444480836072,-0.031046875125084302,-0.0360750149388163,-0.04419584400538412,0.00970463652886384,0.07550007773129674,0.0,0.0,0.0417562915718116,-1.0,0.0,0.04054054054054054,1.0,0.0,0.0,0.0,36.00381486522454,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.00018535471647430907,-0.0005993301203371747,0.0019,0.004,0.0002,0.0112
4,1764648588.9551463,0.006068175189695885,-0.06874249224270408,0.2834096583850131,-0.023471524621115982,0.003928443628107504,0.023354544334454934,0.0008719560921962438,0.0010145303611878865,0.014,0.007,0.023,0.999,-0.002,-0.021,-0.042,-0.148,0.036,0.332,0.0,0.0,0.041,0.028,-0.018,0.004,0.997,0.01,-0.062,-0.045,-0.143,0.013,0.156,0.4,-0.8,0.1,0.018930337950986382,0.006031706921732433,0.006986233260111236,0.9988218762516344,-7.507563478421995e-05,-0.03282418145016532,-0.035741110740162105,-0.07231426292711388,0.0170468913494068,0.12002087305723931,0.0,0.0,0.0417202161258585,0.012637354012731673,0.007210131895965224,0.016448579533977076,0.9988033075721992,0.00037782872279056734,-0.03484414852503459,-0.03431756608293718,-0.11683018633073428,0.018173046763625092,0.16456469071914392,0.0,0.0,0.04208785861207004,-1.0,0.0,0.05405405405405406,1.0,0.0,0.0,0.0,36.05974807243494,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0003851635666934108,0.0003109494355428515,0.0015,0.0017,0.0002,0.0041
5,1764648589.0350466,0.006962899853788202,-0.06118900666799483,0.28667623526605723,-0.022662595949064508,0.005232145219173573,0.029174616343208212,0.05175909170334705,0.0011107027826178758,0.007,0.01,0.011,0.998,0.0,-0.04,-0.039,-0.133,0.058,-0.239,0.0,0.0,0.112,0.017,-0.019,0.007,0.997,0.007,-0.065,-0.043,-0.395,-0.056,0.084,-0.2,-0.2,0.1,0.011471732844310675,0.009284055004393192,-0.00036873061525737397,0.9988329496812601,0.000167567725225388,-0.033754410251982524,-0.0345449032511538,-0.12245531451339609,0.027950105797925083,0.10200589217789899,0.0,0.0,0.043754496316658884,0.0018911344362469275,0.011174713497056704,0.007209716852598906,0.9988664326643149,0.0006859693967420702,-0.034206634260426805,-0.03309509502971687,-0.16493140379910376,0.028621583462307587,0.12540680114052632,0.0,0.0,0.042147427722293546,-1.0,0.0,0.06756756756756757,1.0,0.0,0.0,0.0,35.94884573875618,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0009790438134830034,0.0010396921848986715,0.0045,0.0022,0.0002,0.0148
6,1764648589.1064184,0.006240432361350616,-0.05324011324998533,0.28284716884164035,-0.021717483682792547,-0.0027419749804644135,0.032095841256548144,0.01668919728617265,0.0018927368377267342,-0.009,0.011,0.025,0.998,0.001,-0.045,-0.036,-0.282,-0.052,0.475,0.0,0.0,0.078,0.002,-0.022,0.004,0.997,0.006,-0.062,-0.041,-0.259,-0.048,-0.054,-0.0,0.1,0.1,-0.0017025156771111514,0.008870074601870954,0.014477216974551526,0.9988664403476496,0.0008753038785098905,-0.034542718433460705,-0.0327394073489786,-0.1792701367333973,0.018859060911140278,0.1486911626071214,0.0,0.0,0.04333281528178591,-0.015081865358526077,0.010122868210291402,0.025552497052281756,0.9989539905099164,0.0013550793967974483,-0.03328569380778718,-0.031323333026296404,-0.22173324226920055,0.01858760879310415,0.18500981789969229,0.0,0.0,0.041165173000125316,-1.0,0.0,0.08108108108108109,1.0,0.0,0.0,0.0,36.00499396897064,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-9.516030671045928e-05,0.0021275747666527406,0.002,0.0023,0.0002,0.0199
7,1764648589.1611075,0.002173707287912544,-0.04560142329106433,0.27960298605690853,-0.020539054444920473,-0.019553571322021533,0.031538435638356815,0.019134982181546054,0.003177460729011281,-0.027,-0.003,0.04,0.999,0.0,-0.043,-0.032,-0.277,-0.202,0.224,0.0,0.0,0.117,-0.018,-0.026,-0.001,0.998,-0.0,-0.049,-0.037,-0.324,-0.052,-0.085,-0.2,0.7,0.2,-0.017819751878872688,0.00014911360293619336,0.02745083078038711,0.9989951068178305,0.0019263991889620117,-0.03281418802959152,-0.03046792746733367,-0.23166349849540638,-0.018780546988911566,0.19016824355632989,0.0,0.0,0.042975573011889937,-0.03456886168165904,-0.001147153274648623,0.04093797804389698,0.9990982091180748,0.001826850284312027,-0.03086362244980258,-0.029100995934333126,-0.2702606063013926,-0.020076123974387114,0.21496809139889284,0.0,0.0,0.04005148276309542,-1.0,0.0,0.0945945945945946,1.0,0.0,0.0,0.0,36.0201587238734,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.0055184360985577096,0.0029835047344721434,0.0019,0.002,0.0002,0.0091
8,1764648589.2236097,-0.001363030737462178,-0.03752790691994255,0.2862218433675693,-0.019503149573414664,-0.017411976715884542,0.034667403944225905,0.06804465981041705,0.0026121425519139638,-0.045,-0.008,0.02,0.999,-0.002,-0.043,-0.03,-0.339,-0.108,-0.389,0.0,0.0,0.105,-0.038,-0.029,-0.003,0.999,-0.001,-0.04,-0.036,-0.35,-0.058,0.001,0.2,0.0,-0.0,-0.038210717002651044,-0.005298387999403219,0.01575340135039706,0.9991081194323559,0.0020096508930335906,-0.030337784423995144,-0.029300952610328827,-0.28195839204959344,-0.03446706831710948,0.14242041522496035,0.0,0.0,0.04160645156204861,-0.05816964021902771,-0.007628057726372817,0.02566059282368234,0.9992153899817083,0.0010039759998271682,-0.02797313268974106,-0.028019641386290595,-0.31620839401980694,-0.035168067956783025,0.15538425145311852,0.0,0.0,0.03824700583597293,-1.0,0.0,0.10810810810810811,1.0,0.0,0.0,0.0,35.78004871584853,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.008393596719039565,0.006171205217912238,0.0013,0.0017,0.0002,0.0077
9,1764648589.2870138,-0.005891241889045679,-0.03079330517521589,0.2921502099964402,-0.018483906371149654,-0.02281143460010028,0.02898202035864049,0.06541956356530046,0.0026583223146482396,-0.072,-0.02,0.013,0.999,-0.006,-0.033,-0.025,-0.178,-0.154,-0.083,0.0,0.0,0.118,-0.058,-0.032,-0.0,0.998,0.0,-0.05,-0.036,-0.509,-0.094,0.048,-0.3,-0.6,-0.0,-0.059091125003635434,-0.016460006170735435,0.00708277412123838,0.9992313184550937,0.0014288518151339552,-0.027521336929147478,-0.027880219056132867,-0.31686971786123463,-0.06488293410466141,0.10263535466066795,0.0,0.0,0.04247687568046867,-0.08127014942935235,-0.020787308871619267,0.014833001302037713,0.999341918695517,0.0001279015359625593,-0.024651814813211097,-0.026608292045433947,-0.34783853146983024,-0.06461073678773446,0.13175055528359725,0.0,0.0,0.03763228557875456,-1.0,0.0,0.12162162162162163,1.0,0.0,0.0,0.0,35.586023440240794,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.015019866471122195,0.00678873671128679,0.0011,0.0014,0.0001,0.0048
