step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1764650782.1103973,-0.00015254975634141228,0.0006871375233472052,0.42985884546470854,0.0328060318135961,-0.00012438421026742436,-3.221128530519796e-05,0.0537651653908314,0.004149466991246483,-0.007,-0.004,0.019,0.998,0.001,0.005,0.057,0.017,-0.005,-0.006,0.0,0.0,0.011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0072101910832617425,-0.0036560509556468885,0.019095541402489993,0.9987463887197668,0.0,0.0,0.05005647829426671,0.0004585987261438627,0.0009681528663037034,0.0010828025478396756,0.0,0.0,-0.0002292993630719281,-0.007176852117452587,-0.003590684434822442,0.014104281875427699,0.9987720401793826,-3.503724211027664e-05,0.00014428017285687773,0.04954179762117218,0.0005855375465230069,0.001005402558686155,-0.11454328296238185,0.0,0.0,-0.03245202408700451,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0024,0.0075,0.0002,0.0157
1,1764650782.178688,0.001720600383867884,0.003601759370008426,0.4356931504861169,0.032321640114304453,0.009346681981503804,0.014659001423724508,0.08290388079013056,0.001678795480241288,-0.008,-0.004,0.02,0.998,0.001,0.005,0.056,-0.024,0.014,0.012,0.0,0.0,-0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00779327750562441,-0.003278250939012198,0.016698249076184876,0.9987212740056574,-0.004946051629827739,-0.008121271611587303,0.04965277806127924,-0.015957601308478325,0.009721712821649051,-0.05288864914069395,0.0,0.0,-0.031997873923474876,-0.009157234319530763,-0.0024670031547489443,0.013811654872015897,0.998818641411977,-0.0026086466322722784,-0.0040576641239429235,0.04835340621443254,-0.023671399480557756,0.013928218596704227,-0.02961236625846877,0.0,0.0,-0.0463624368229755,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,24.011222257407255,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0019,0.002,0.0002,0.0233
2,1764650782.2299218,0.0009655150322617663,0.0024229913752854097,0.4350372605607557,0.0316294889226905,-0.0035603517100471025,-0.00544362005236403,0.05118219418395832,0.0005794490562182741,-0.007,-0.004,0.019,0.998,0.001,0.005,0.056,0.008,-0.003,-0.013,0.0,0.0,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007576128215026038,-0.003356763589899254,0.015089815486901116,0.9988114059504806,-0.0006062899967898964,-0.0008233667503241361,0.0487311996862237,-0.003927092636753419,0.0030519334039902477,-0.01872054209063248,0.0,0.0,-0.04426654339104881,-0.00783932578412597,-0.0031499065116308827,0.015347193875671315,0.9988889193272494,-0.00016111641394240435,0.00010157324537979039,0.047126325653678615,-0.0037744861636141245,0.0030836771089780765,0.02818027194210858,0.0,0.0,-0.05116141020888776,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,24.018047026670022,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0021,0.0048,0.0003,0.0048
3,1764650782.2952542,0.0011672741739437607,-0.0003699202698578571,0.43641851124998726,0.03076749995372859,0.0011294850874426928,-0.013661684303805658,0.06128591101625219,-0.0003562587294732517,-0.004,-0.003,0.01,0.998,-0.003,-0.005,0.055,0.048,0.022,-0.139,0.0,0.0,-0.038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005574941619037028,-0.002335088426446156,0.009650932336347394,0.998882065401201,-0.000554629919127025,0.0015211585851690672,0.04724402482899393,0.014477532460237514,0.009744623253084225,-0.007221020929210245,0.0,0.0,-0.050834444194770935,-0.0045371554230523425,-0.0016724514662783598,0.010595715613060948,0.998963555209153,-0.0003038078479021424,0.001043211523247968,0.045504228093650394,0.01645434705253556,0.010078006727559104,0.03655990692898811,0.0,0.0,-0.053314021731447614,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,23.978447358942272,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0015,0.0014,0.0006,0.0071
4,1764650782.3671813,0.002600047155411282,-0.003609561922249753,0.4146128049377228,0.029932648295265905,0.007309774179080576,-0.01624444829569171,-0.054476217655074176,-0.00032832079809736684,-0.002,-0.001,0.036,0.998,-0.003,-0.008,0.054,0.074,0.054,0.88,0.0,0.0,-0.065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001614810975427811,0.0004768327177715509,0.043050369105846,0.9989303318182201,-0.0008920007214630283,0.0017826172402950135,0.04619760582571723,0.03349495421643472,0.023260357470691852,0.1931696091163178,0.0,0.0,-0.05356230938947889,0.0006821416295538299,0.002054053239197831,0.05772142814982675,0.9990130017008843,-0.0003152232969264484,0.0006991768606684727,0.04441209540856412,0.03507504405325562,0.023886955928815165,0.2481200768503331,0.0,0.0,-0.05362595470530068,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,24.262159064235423,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0031,0.0019,0.0002,0.0104
5,1764650782.4289799,0.003675730994616718,-0.0023736428036835416,0.3866595876585857,0.02926848185525286,0.005703425090453589,0.005728400352549836,-0.0879394857784705,0.0004207488368430101,-0.005,0.002,0.116,0.999,-0.002,-0.004,0.051,-0.017,0.094,0.97,0.0,0.0,-0.081,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004500471446442305,0.0023250762468288826,0.09504554164209075,0.9989541405503124,-0.00047200451996498615,0.0002224480735334618,0.04572037626676394,0.010017357503709821,0.026037485576763553,0.4025850660079504,0.0,0.0,-0.05415622439596397,-0.0038431015565078136,0.00406240027861768,0.12270666698173832,0.9990339405780032,0.00031524940476520543,-0.0007100244524408253,0.04393838932273533,0.009472293778994799,0.025874383396308126,0.42630255439007714,0.0,0.0,-0.05306730137315996,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,24.634276243496956,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0014,0.0016,0.0002,0.0079
6,1764650782.4984622,0.0032196016735486013,-0.0001717336470424039,0.3587547999224591,0.028645024876587887,-0.0018211802310134943,0.010712840432745247,-0.09119149022330963,0.0005412753385817433,-0.009,0.001,0.212,0.999,-0.004,-0.0,0.05,-0.062,-0.023,1.461,0.0,0.0,-0.034,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007066778649166228,0.0018443024900642669,0.16395851403591316,0.9989957874290021,0.0004232363356931916,-0.0009287704230422459,0.04479257701465355,-0.004090494477553656,0.01675586984227293,0.5796268575695833,0.0,0.0,-0.05258586910065802,-0.007380355208701558,0.002927945255441414,0.2022341517007501,0.9990717219637868,0.001003611584650573,-0.0008477915101958853,0.043057733169039714,-0.005267784017484775,0.015630371106257354,0.5670535325479249,0.0,0.0,-0.051756543615405715,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,25.08130864905607,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0013,0.0023,0.0003,0.0052
7,1764650782.5625498,-0.0002068796338900395,0.00405260258656258,0.3180813431737399,0.028075484649440888,-0.016729956327999628,0.02110021446214462,-0.15852293375328882,0.000732926973838516,-0.016,-0.007,0.322,0.999,-0.004,0.008,0.049,-0.158,-0.159,2.304,0.0,0.0,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014459957671383875,-0.005219073325534219,0.275287468474664,0.9990304885685366,0.0014382742918366425,-0.001282773318685813,0.04398145939126509,-0.03226814006421749,-0.015117358365534656,0.8244786555210142,0.0,0.0,-0.05056096753328551,-0.016650133499622854,-0.006288361573809784,0.3289922451241989,0.9991036913071978,0.001402554537421225,-0.0005925671645105375,0.04230243162345319,-0.03324988571527243,-0.01691524492056732,0.7849573764702176,0.0,0.0,-0.050263099912038756,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,25.91985818326956,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0014,0.0035,0.0002,0.0062
8,1764650782.6348765,0.002694310483510524,0.005135991896730745,0.2977710371124358,0.02752708944492586,0.014480090632766559,0.0059235218741611455,-0.06179136240980297,0.000767459558605005,-0.016,0.006,0.408,0.999,-0.004,0.012,0.047,0.0,0.234,1.538,0.0,0.0,-0.093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015129878994615013,0.005519569275112053,0.3635755124911508,0.9990668167068754,0.0008825533459358955,-0.0005138169520576871,0.0431793104035023,-0.027717958676486947,0.02519306346367743,0.897998881497188,0.0,0.0,-0.0512710919211849,-0.016975601307497798,0.007176402974583419,0.4200235704634274,0.9991383951481618,0.00024871178099291865,0.0007149795459241054,0.041495714085366155,-0.027397495272131908,0.02465968284832762,0.7923930371046062,0.0,0.0,-0.05002193756679002,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,26.306093571347926,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0036,0.0016,0.0042,0.0075
9,1764650782.7032468,0.01019616995664045,0.011360660891876838,0.27457247035133864,0.027054007037329575,0.03784608617608845,0.0317653439628218,-0.07877145416643161,0.0010754741426342914,-0.041,0.02,0.563,0.999,-0.005,0.017,0.043,-0.138,0.528,1.144,0.0,0.0,-0.161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03374325357124186,0.021958655094856165,0.4817374332875324,0.9990865453434676,-0.00042677694649987644,5.395928652318768e-05,0.04273043252166448,-0.08303853461105878,0.07754734398039373,0.9785441669218237,0.0,0.0,-0.0520102165270748,-0.03925905640894836,0.027133819680895274,0.5429200345636229,0.9991567614480247,0.00044768593626919127,0.0011115710723090685,0.041040590148641164,-0.08221711987832414,0.07751758445385393,0.8557371821475908,0.0,0.0,-0.04980827940459459,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,26.953215587968653,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0013,0.0015,0.0002,0.0157
