step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765246787.12492,-0.0032707485874047173,-0.0002452539890641142,0.3712299237371664,-0.06213498205896635,-0.00010487776494765531,5.769785964779365e-05,-2.531458059226027e-06,-9.578170138017754e-05,-0.002,-0.034,0.017,0.995,-0.005,0.002,-0.1,-0.021,0.0,-0.001,0.0,0.0,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018343195267357581,-0.03314792899604432,0.016662721894477015,0.9960406919543754,0.0,0.0,-0.0888984812640186,-8.28402366912844e-05,0.0014319526628066366,-0.0011005917160414494,0.0,0.0,-0.0004970414201477591,-0.0018383445734790676,-0.03303578953558062,0.01202199948590467,0.9961249631268805,-0.0007527199316945608,1.5337805909146518e-05,-0.08794595506859311,-1.6592747762432655e-05,0.002205520222824453,-0.09806197594952051,0.0,0.0,0.06076617124680056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0008,0.0011,0.0001,0.0083
1,1765246787.19258,0.0007688731458115518,2.9866703523000898e-05,0.3766610373912023,-0.06130254788208548,0.020198108666081342,0.0013756034629355753,0.027155568270179842,0.004162170884404362,-0.002,-0.032,0.016,0.995,-0.005,0.002,-0.1,-0.027,0.019,-0.022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017766531764769175,-0.03216697528819318,0.014167162949303298,0.9960144333038443,-0.011606573781833674,-9.457083820217694e-05,-0.0884337444182105,0.0013770853502798955,0.025114643780448507,-0.05018642291471864,0.0,0.0,0.058051946205759916,-0.0016490468423310863,-0.030074799966299637,0.011855673661647394,0.9962789625396089,-0.0062362227549977904,-2.085383342085387e-05,-0.08596125808681658,0.0023354254058379226,0.035675331792876186,-0.017352334664312602,0.0,0.0,0.08640060473531513,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.003838101786645,0.0,0.08,100.0,100.0,0.5,55.0,0.08,2.094912523894271e-05,9.72672057728582e-07,0.0019,0.0019,0.0002,0.0075
2,1765246787.2619278,-0.0023922199791769575,-0.003590019538336894,0.3754748994011014,-0.06011648637580656,-0.015805465624942547,-0.018099431209299473,-0.005930689950504629,0.005930307531394615,-0.0,-0.034,0.017,0.995,-0.005,0.002,-0.1,0.058,-0.067,0.014,0.0,0.0,0.009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041110953210308056,-0.033885172019354204,0.01251388215746082,0.9962331503094859,-0.0001681891343224284,0.0040754904654484465,-0.08661912210544834,0.02752518594153746,-0.010666802350164088,-0.0117167468702325,0.0,0.0,0.08455879838101849,0.0023933647538931574,-0.03462693401237418,0.013375453985035389,0.9965002081132248,-0.0002145223709761763,0.0019077551201497596,-0.08356823368274194,0.03114561070588588,-0.011323908265468273,0.03837240887240469,0.0,0.0,0.09701997555073216,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.00584608441964,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.00014276339181099068,-0.00012938627589577408,0.0042,0.0043,0.0002,0.0053
3,1765246787.3281653,0.004476229484721501,-0.0032662269156647993,0.37321842326874577,-0.05872727290854375,0.03434224731949229,0.0016189631133604748,-0.011282380661777842,0.00694606733631406,0.002,-0.022,0.019,0.995,-0.002,-0.0,-0.097,0.058,0.221,0.063,0.0,0.0,0.096,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013430767334538574,-0.024626618985718197,0.012665096529931981,0.9963738779894703,-0.004370458670104479,0.0011011261834085449,-0.08496341490527269,0.02322287510225368,0.06631683655825649,0.033162091808400865,0.0,0.0,0.09479094359797775,0.002922878347642901,-0.020048303597145545,0.016424669043712134,0.9966509939649684,-0.003148353565116386,-0.0002999083530641805,-0.08171165249491329,0.02373274832510877,0.07060143873098892,0.0795716423449779,0.0,0.0,0.10026565059050341,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.005935647895406,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0005722817549408865,7.169963156530009e-05,0.0016,0.001,0.0002,0.0109
4,1765246787.3978453,0.004984724654413559,-0.004269336805008433,0.36434813500131663,-0.057412342978298496,0.0025424758484602922,-0.0050155494467181636,-0.04435144133714556,0.0065746496512262605,0.005,-0.022,0.041,0.996,-0.001,0.002,-0.092,0.128,-0.088,0.442,0.0,0.0,0.167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043321949912603925,-0.024834790680568857,0.02958773737457558,0.9964797985788304,-0.0027335209487180726,5.353280494883626e-05,-0.08378863897782009,0.03247234943577791,0.04220814142069643,0.1383797357189859,0.0,0.0,0.10230588108942434,0.006485771847892407,-0.02195833490589394,0.04025514707361852,0.9967631456944035,-0.0002068710632393311,-0.0007396627149177375,-0.0803905559679042,0.031874065754094044,0.04337031221793175,0.1814609239338869,0.0,0.0,0.1021514821788414,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,28.05218147483902,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-2.0187379224798768e-05,-0.00021242350702287415,0.0017,0.0047,0.0026,0.0076
5,1765246787.4550467,0.005227270102322764,-0.005437631220014309,0.35325904376638506,-0.05636896397854641,0.001212727239546025,-0.0058414720750293815,-0.055445456174657674,0.005216894998760402,0.008,-0.02,0.084,0.996,-0.0,0.002,-0.089,-0.022,-0.024,0.541,0.0,0.0,0.111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007902342618708787,-0.021907477118165777,0.05837490502163102,0.996542340281833,-0.0003963784465059844,-0.000620013265323298,-0.08308322630522649,0.038840918726422646,0.04347959586667904,0.24792762458016862,0.0,0.0,0.10121576720958674,0.01044818785690995,-0.019023020718834924,0.07580758328212767,0.9968150261358371,0.0006756060633355635,-0.00143957533332108,-0.07973252064946686,0.03730179559644342,0.042803166595257125,0.2741771519831273,0.0,0.0,0.10039771365358297,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.126804236257634,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-5.543587329030677e-06,-0.0004669626569460859,0.0009,0.001,0.0002,0.0049
6,1765246787.525988,0.00306948031503685,-0.007265781808242898,0.3456458350894488,-0.055182426473954695,-0.010788948936429569,-0.00914075294114294,-0.038066043384681114,0.005932687522958608,0.012,-0.024,0.108,0.996,-0.0,0.003,-0.087,0.108,-0.103,0.658,0.0,0.0,0.099,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012874430232114568,-0.024111214968345625,0.08761416584519632,0.9967145687662425,0.0008836040532998867,-0.001315690523055034,-0.08097874172551746,0.04815743337789808,0.020763762542459003,0.31221591926258235,0.0,0.0,0.10033375490718471,0.01601163389684475,-0.02277796087876273,0.10866810696142704,0.9969761922949522,0.0014165293909377359,-0.0021210358083238803,-0.07766573664521044,0.0457521094404775,0.019146796420289595,0.3182912950883121,0.0,0.0,0.0990388787449561,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,28.182724307334592,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0012276446332668126,-0.0013216012466609759,0.0024,0.0019,0.0002,0.0069
7,1765246787.592079,-0.001319871719834307,-0.0071076587315827035,0.3380517678912492,-0.05400024439213014,-0.02194676017435579,0.0007906153833009684,-0.03797033599099795,0.005910910409122753,0.014,-0.034,0.164,0.997,0.001,0.003,-0.082,0.043,-0.121,0.555,0.0,0.0,0.106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013179836738598962,-0.030110703061696713,0.1257668353578957,0.996848187500958,0.0017397243300660244,-0.0022659576658607366,-0.0792813336868566,0.03474599786427892,-0.009882182596951719,0.36725878650769855,0.0,0.0,0.09907982881916416,0.015384842064167174,-0.030830079589971707,0.1501040975655707,0.9971008026792904,0.001240465944671428,-0.003048395151408042,-0.07602077234253607,0.031233686781161812,-0.011512464870740736,0.36210773396626705,0.0,0.0,0.09729836063427644,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,28.269485119813798,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0036356110762702093,-0.0008311344703205302,0.0009,0.0011,0.0001,0.0075
8,1765246787.660452,-0.003124708982450787,-0.007084541665674026,0.3330198150301171,-0.05302831599096382,-0.009024186313082399,0.00011558532954338268,-0.025159764305660817,0.004859642005831617,0.016,-0.034,0.202,0.997,0.001,0.004,-0.08,0.178,0.083,0.251,0.0,0.0,0.057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01599313010232563,-0.03072852947937969,0.16297398738500377,0.9969246906470691,0.0012492092100319138,-0.003097324632717874,-0.07829436272628244,0.03440494245654484,-0.009778277991672791,0.3939041166430613,0.0,0.0,0.095610733452827,0.018157541595020622,-0.031399297999237546,0.1886579080474894,0.9971678336996055,-8.300551605219172e-05,-0.0032423905614402987,-0.07513848180770653,0.030540629646502518,-0.009981492474733414,0.3758621039131824,0.0,0.0,0.09462080527945677,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,28.332428232843792,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.003412333405389582,-0.001115855908662769,0.002,0.0019,0.0002,0.0085
9,1765246787.7393684,-0.004969771749950888,-0.0065287323008168235,0.3336400063966586,-0.05193737803386592,-0.009225313837500507,0.002779046824286012,0.0031009568327073946,0.005454689785489481,0.017,-0.038,0.227,0.997,0.001,0.005,-0.078,0.014,0.104,0.269,0.0,0.0,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017207688860792898,-0.034232348478726506,0.18904301963879488,0.9970852101101753,2.6087859109593093e-05,-0.003290675344993697,-0.07622502577726867,0.02703176444623709,-0.019534650751163465,0.3719317925158687,0.0,0.0,0.09287960882981905,0.01888135387140459,-0.03550673256008642,0.21295510013703545,0.9973150655335812,-0.0009251279082928587,-0.003356666632753769,-0.07314736486858936,0.023196666243485903,-0.018464503390803196,0.34494718289397097,0.0,0.0,0.09251147543655591,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,28.321327175941946,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0045195194821355845,-0.0008796383689050466,0.0028,0.0031,0.0002,0.0184
