step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1764650245.4545493,0.0008356764372390896,-0.0002671973811111692,0.431620786715595,0.02583880820694724,-3.986102300441541e-06,-4.212177242574885e-06,0.05385384669496486,0.0032455671106630946,0.001,0.007,0.002,0.999,0.001,0.002,0.044,0.005,0.008,-0.005,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00096296296301391,0.007513227513625042,0.001005291005344198,0.9992228763833562,0.0,0.0,0.039416282323072656,0.0007619047619450778,0.0005291005291285422,-7.407407407799464e-05,0.0,0.0,-0.0003386243386422559,0.00101293199637864,0.007544641311334248,-0.00399334682081957,0.9992389081796809,0.00017865909163195768,-4.839359963929449e-05,0.039007308531450575,0.0007237755372128921,0.0003550424901608809,-0.11345541647771326,0.0,0.0,-0.025633487068725785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0013,0.0016,0.0008,0.0049
1,1764650245.5302818,0.0008630419313200297,-0.0003767600297906851,0.4361019971541599,0.02548032399013829,0.00024128702505958686,-0.000581212916036475,0.07635865053227406,0.0014374299418236664,0.001,0.007,0.002,0.999,0.001,0.001,0.044,0.0,-0.0,-0.004,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010350921634411762,0.0075493460476215605,-0.0008379656906611402,0.9992323362132302,-6.136100107860784e-05,0.00029231986046486763,0.03917459699571745,0.00134666219689333,0.0008600968726864287,-0.03864640100333,0.0,0.0,-0.02456615782870254,0.0011345586094093194,0.0076059256540926025,-0.0024625283751019264,0.9992726026824273,0.00015374952830447589,0.00010248457835264255,0.03813438587785676,0.001580097411549788,0.0007712060341802133,-0.007202870772334329,0.0,0.0,-0.03623697181535859,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,24.013606903478866,0.0,0.08,100.0,100.0,0.5,55.0,0.1,7.22465590981102e-07,-1.025693417844068e-06,0.0021,0.0055,0.0005,0.0097
2,1764650245.5929384,-0.0001626229476835309,-0.0013496684417009285,0.43450685207877743,0.024955738905501897,-0.005020444153602798,-0.004911637063275052,0.04653702426735749,0.0005621150755853212,0.002,0.007,0.003,0.999,0.0,0.001,0.044,0.01,-0.036,0.04,0.0,0.0,0.013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017400261138986162,0.007040598377263868,-0.001243538095653803,0.9992596877781486,0.001460643963985042,0.0013802894877311014,0.0384192360889389,0.009339350601220098,-0.0065636140947960084,0.0034910926793863383,0.0,0.0,-0.03407459671295215,0.0024134836549710497,0.006547721867906989,0.0005173903887909499,0.9993081705757131,0.0009613404398482144,0.000667096174501354,0.03717271886578075,0.010634689439863662,-0.008062105847038245,0.05092946994367925,0.0,0.0,-0.03997691491571498,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,24.021668594938795,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-5.791215424919767e-05,-5.35821905125899e-05,0.0013,0.0017,0.0002,0.008
3,1764650245.6653445,0.0007185718849803404,-0.0008284022407165544,0.4175306875518155,0.024360101831714543,0.004385646294858915,0.0024376224497092546,-0.030567466124962916,0.00014128199425094638,0.001,0.008,0.043,0.999,-0.0,-0.013,0.041,0.009,0.021,0.592,0.0,0.0,-0.086,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012911764491173165,0.007957983559868657,0.020007499792624138,0.9992893368493387,0.00011380475727006147,6.911527561772374e-05,0.03769354760121116,0.0015204583328721519,0.003652852631318147,0.17191271409865122,0.0,0.0,-0.04099159686102551,0.0013866047257228079,0.00820066305403681,0.0330734848663696,0.9993409064037336,5.6423634448697644e-05,-0.00022621722756623535,0.036300116119700486,0.0012742290907983857,0.003626442676337903,0.22097533073216713,0.0,0.0,-0.04245523972698165,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,24.19617121839115,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0002355229114158185,0.00014066828563289366,0.0018,0.0032,0.002,0.0101
4,1764650245.738104,-0.000381440494083525,0.0018536743954356686,0.3747886393914915,0.023893749047781736,-0.005410240409696784,0.013306832900671545,-0.16151890485764295,0.0007132488093003,-0.002,0.006,0.133,0.999,-0.002,-0.01,0.041,0.016,0.124,1.43,0.0,0.0,-0.041,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020797629968601523,0.005776004066789848,0.09051116828861942,0.999300283074548,0.0007691228327572021,-0.001128449335983281,0.03737752398558115,-0.019940272334052815,-0.01102374994031722,0.5051368405211835,0.0,0.0,-0.04150238377670801,-0.003453486579583602,0.005009747605645331,0.12539143731056945,0.9993519214369914,0.0006476332639426174,-0.000704564583733338,0.035983625166126014,-0.021125920819373006,-0.011916124255500433,0.5407608077499098,0.0,0.0,-0.04207807762886473,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,24.844166902418824,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.00040547981930017115,0.0012936526109350657,0.0042,0.0019,0.0077,0.0118
5,1764650245.8046095,-0.003277977332585778,0.002620001924915752,0.34529618560380004,0.02339459430433763,-0.014530364254271705,0.004063346946829876,-0.10061368901452086,0.0004909449137521955,-0.002,0.002,0.185,0.999,-0.002,-0.009,0.04,0.01,-0.126,1.658,0.0,0.0,-0.035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002338609844867971,0.0009890247063241726,0.15874162893204158,0.9993305489118549,0.001219396348233783,-0.0006249149198975743,0.036559219978271495,-0.015361396076904024,-0.03277707923811412,0.6854315903264653,0.0,0.0,-0.04188921159454497,-0.003373080977925146,-0.0012331143067741816,0.2034811525164636,0.999381355773935,0.0005570165322360174,0.00015196650694781686,0.035164930971281864,-0.015482843402139047,-0.03370345207730603,0.6537747841955843,0.0,0.0,-0.04181114438893821,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,25.27893831814969,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.0023159081066084653,0.0009025633549448807,0.0018,0.0024,0.0022,0.019
6,1764650245.8601475,-0.0030338806287119506,0.0075507867195037295,0.2892730552067474,0.023047636289619092,0.000810736352795916,0.024981424213554353,-0.23695362878478804,0.0011895342144495292,-0.014,0.003,0.381,0.999,-0.005,-0.001,0.039,-0.261,0.035,2.513,0.0,0.0,-0.046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01281383843353644,0.0018308056160206742,0.3005790447172143,0.9993376154347602,0.0004066888986240309,-0.0006557465313667955,0.03638316888059462,-0.05801582686679086,-0.020254392895443323,1.0333685611865462,0.0,0.0,-0.04147691025343093,-0.01669141029364718,0.0004826660204424668,0.36792331305428005,0.9993868555046538,-0.0005555356376030018,0.00014044474330394851,0.035008351859944296,-0.05811954624303789,-0.019964882909674075,0.9850214168266893,0.0,0.0,-0.04113232575852507,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,26.576618092890083,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.00013156877544567543,0.006139383632028594,0.0014,0.0019,0.0002,0.0107
7,1764650245.9294198,-0.002766674899431043,0.009752742131890268,0.28315523758178834,0.02250426050669668,0.0009567935678155492,0.01195362540187066,0.005570043776048056,0.00016407562159031532,-0.014,0.003,0.381,0.999,-0.005,-0.001,0.039,-0.261,0.035,2.513,0.0,0.0,-0.046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01669141029364718,0.0004826660204424668,0.36792331305428005,0.9993868555046538,-0.0005555356376030017,0.00014044474330394851,0.03500835185994428,-0.05811954624303789,-0.019964882909674075,0.9850214168266893,0.0,0.0,-0.04113232575852507,-0.020537565903681332,-0.0008212498022330582,0.42855809348137663,0.9994316766359419,-0.0009291701003021679,0.001788107540540857,0.03364911664543899,-0.05696598618022958,-0.01909504074316464,0.8293928056875837,0.0,0.0,-0.04066737381458532,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,26.576618092890083,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.00013156877544567543,0.006139383632028594,0.002,0.003,0.0003,0.0115
8,1764650245.992093,-0.001362099158715042,0.01563679711426022,0.24369870327744086,0.02205016330566176,0.006677044341151126,0.030639367678336048,-0.1618882668240138,0.0005425465581624673,-0.035,0.004,0.63,0.999,-0.008,0.007,0.036,-0.396,0.05,2.395,0.0,0.0,-0.045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03196112790656197,0.0019765661747675567,0.5324683213768222,0.9994028660648566,-0.0010986406382262402,0.0012249595832748048,0.03451381990040949,-0.10057657331041897,-0.009091964508918656,1.173268262889008,0.0,0.0,-0.040656409096505045,-0.03860115242723604,0.001412850258833205,0.606426164405137,0.9994451595028759,-0.001236263639034605,0.0026872294258773934,0.033175647642483964,-0.09833967465028964,-0.007800741320499974,1.0456173097893968,0.0,0.0,-0.0398869347379778,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,27.87392636148042,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.002369130532848872,0.014299400266857745,0.0016,0.004,0.0002,0.0071
9,1764650246.0549974,-0.00023870058485018597,0.02215996534634712,0.222540698313913,0.021616559779992005,0.005446730474484898,0.03457044079971704,-0.07532768690795907,0.0005882527848589305,-0.052,0.004,0.754,0.999,-0.01,0.011,0.035,-0.367,-0.026,2.361,0.0,0.0,-0.017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04793236326615302,0.0020139537539678454,0.6612116038727365,0.9994239733317205,-0.001287225153332674,0.002233477840495038,0.033838973949830535,-0.13275133764382674,-0.006209960885142038,1.2147685186137802,0.0,0.0,-0.03952049518754385,-0.05668637393749587,0.001637638620306102,0.7356077349748422,0.9994591280221031,-0.00109510206586519,0.004669201725071553,0.03253383961374849,-0.12948231122938353,-0.005122906152903957,1.0137251125726179,0.0,0.0,-0.0389584662331581,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,28.52136082039651,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0031973440441471525,0.021863729012127592,0.0019,0.0013,0.0002,0.0056
