step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1764653441.8336725,-0.0006700302135279199,0.003833408066603405,0.43217007446346617,-0.012395067010418627,-8.966719905697e-05,0.0004933087877600191,0.05400922454638018,-0.0015492803799660921,-0.039,-0.005,-0.004,1.0,-0.001,-0.0,-0.021,-0.009,-0.01,0.007,0.0,0.0,0.018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038400000001081486,-0.005397183098743584,-0.005166197183244093,0.9998215182325292,0.0,0.0,-0.01889263558110743,5.6338028170599955e-05,-7.323943662178224e-05,8.45070422559023e-05,0.0,0.0,3.943661971941953e-05,-0.038380816365191944,-0.005399610280539192,-0.010133605911147493,0.9998248402287488,-0.00012093230999117452,0.0007886174847679411,-0.018698992470075528,0.0007644354471310088,3.7185981973441265e-05,-0.11263314361934817,0.0,0.0,0.012244463376738568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0021,0.0233,0.0027,0.013
1,1764653441.881246,-0.00047915192580908324,0.0026904871558140163,0.4380666616665958,-0.012201239960171927,0.0008706376619031933,-0.00523542854562152,0.08350419532358144,-0.0005802481250688335,-0.038,-0.005,-0.004,1.0,-0.001,-0.0,-0.021,0.008,0.001,0.005,0.0,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0381998583063288,-0.005372617212814403,-0.007712360465517851,0.9998193614098639,-0.0005118979786004681,0.0033087756333542158,-0.018709209342984787,0.005610656974846357,0.00068764753281855,-0.05440012293616789,0.0,0.0,0.012011468097252505,-0.037690131144001215,-0.005308365731110862,-0.010571032491954471,0.9998309021822582,-0.0003947153361254974,0.0025581771537804285,-0.018206234395524993,0.009431104531516288,0.001204083746209228,-0.027293084468573613,0.0,0.0,0.017482130240595,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,24.010333094442665,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0023,0.004,0.0003,0.0164
2,1764653441.9407446,-0.000538191402856049,0.0023345368397058816,0.43735524772451734,-0.011908092193758013,-0.00035509137596096384,-0.0014434406860639225,0.05120126299793206,-5.941616295192546e-05,-0.038,-0.005,-0.004,1.0,-0.001,-0.001,-0.021,0.005,-0.001,-0.002,0.0,0.0,-0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037908996306781156,-0.005409666080647194,-0.009606050676265259,0.9998312741785076,-0.000164797802343551,0.00211800620694545,-0.01824582324735758,0.006709041527573801,-0.00011121515620551078,-0.01860346396071896,0.0,0.0,0.016905336444556163,-0.037378272603468016,-0.005411974332959157,-0.00923714243132059,0.9998428373214387,-0.00019467845463863422,0.001810577325932873,-0.017634754522289697,0.00913014283114482,5.64727608170906e-05,0.03153319072224872,0.0,0.0,0.019396427838592203,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,24.01477485617739,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0012,0.0015,0.0034,0.0088
3,1764653442.0067937,-0.00018341436106745747,0.0034667857083816823,0.4307214024294405,-0.011571751436042372,0.0017066112835859514,0.005953061448342241,0.021500179490180675,0.0001931922643584414,-0.039,-0.005,0.005,1.0,0.0,-0.007,-0.02,-0.022,0.01,0.213,0.0,0.0,0.014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03898224253201513,-0.004976247797859947,-0.0035326366750891196,0.9998422466097712,-0.00044399481468279466,0.0009012585008238465,-0.017733372382177755,-0.003608122662783048,0.0034991295069164274,0.06558822783386306,0.0,0.0,0.019131300564118704,-0.03918554400643251,-0.004726095403038909,0.0024583787117146115,0.9998534573393721,-0.0003605558590355846,0.0011327992730929318,-0.017077781231283676,-0.002401361109146501,0.003977237550021218,0.11513526827766174,0.0,0.0,0.020062880166769853,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,24.048092444835287,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0021,0.0021,0.001,0.0102
4,1764653442.0828915,0.00183199946151285,0.0016795061279274118,0.42763253648865285,-0.011192140955916263,0.010054142317768104,-0.008503049688723643,0.03839584559974235,0.00045158347112525315,-0.036,-0.002,0.008,1.0,0.002,-0.018,-0.019,0.068,0.062,0.071,0.0,0.0,0.039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035863985551733604,-0.001989284759664311,0.0008990184330266925,0.999851277440462,-0.0009764044446594663,0.0018456741736146015,-0.01711908647918557,0.01719603522987995,0.020131295652169135,0.10727215972255238,0.0,0.0,0.020509879312417614,-0.034639375219934446,-0.0006139455430583037,0.009271136621530139,0.9998629212851925,-0.0005533825733318589,0.0018882568553312163,-0.01643979600898309,0.019541315767387588,0.020999633157396294,0.14432795124140346,0.0,0.0,0.02032631615735285,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,24.034726832101118,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.003,0.0063,0.0004,0.0149
5,1764653442.1368935,0.0035687999030449883,0.0015664890092027487,0.38757300619797475,-0.010844654162204884,0.008913002140349796,-0.00035514732763239007,-0.1468435843923087,0.000338416349067359,-0.036,0.0,0.092,1.0,0.004,-0.011,-0.019,-0.013,0.051,1.764,0.0,0.0,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036369472412815504,0.0008830040272780476,0.07828295346346936,0.9998592036541233,-0.0008487485317976366,0.0020154357215046177,-0.016637022357533254,0.011512963651957281,0.028206744509035656,0.42176790379904544,0.0,0.0,0.019920354896732537,-0.03552531215579935,0.002782520796062681,0.10808107131450556,0.9998712454995535,-2.157707602199223e-05,0.0014681196178415704,-0.01597925475074318,0.013650746123447056,0.02854591845009309,0.47292751670117616,0.0,0.0,0.019685947511647428,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,24.668896424903135,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.003,0.0019,0.0002,0.007
6,1764653442.2012224,0.002277442208363949,0.003923996032572565,0.3430492032847423,-0.010548371547170697,-0.0060106884855245695,0.011983346242999423,-0.17417238879141522,0.00012583130489533627,-0.042,-0.004,0.231,1.0,0.005,-0.01,-0.019,-0.03,0.037,1.203,0.0,0.0,-0.019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041314732327486496,-0.001879691104024666,0.17694115926861592,0.9998673210435997,0.0002183051711035598,0.0013019680112047254,-0.01623568696561109,-0.009616896800868174,0.010121687119066042,0.7205323943102899,0.0,0.0,0.01853098063508444,-0.04191096359563656,-0.001230689301101639,0.22481836944905087,0.999877021134974,0.0008881392733816455,0.0011493049987258825,-0.015615150108199666,-0.008309723025004545,0.009199317158137127,0.7130721841959922,0.0,0.0,0.018741206715538986,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,25.35064478827661,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0015,0.0017,0.0002,0.0064
7,1764653442.2751033,0.0008498537212082555,0.007642258629278387,0.31049044380308716,-0.010258017365217498,-0.006853262159732976,0.019081812487600682,-0.1199126469976827,0.00013322446636965506,-0.048,-0.004,0.324,1.0,0.006,-0.011,-0.019,-0.085,0.043,1.6,0.0,0.0,0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048503177615306745,-0.002981633834416436,0.27728702865904664,0.9998738493205411,0.0009852226032704993,0.0008717770380351675,-0.015828922456753162,-0.03329629812573397,0.0030252760635527485,0.8944140120346646,0.0,0.0,0.018849891102825193,-0.05068625416131456,-0.0028203899804791245,0.3346489228421352,0.9998827991764533,0.0009283369856307011,0.001511976800722675,-0.015206578433549105,-0.032047586632620764,0.0018493324790244403,0.823139125692701,0.0,0.0,0.018597922103357173,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,25.926746121803298,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0027,0.004,0.0003,0.0092
8,1764653442.337951,2.1191213087383073e-06,0.017186409277359507,0.2832606927854157,-0.00997061722015736,-0.004132441284346553,0.04867603556906539,-0.09733744961297114,0.0001547485546485039,-0.07,-0.004,0.434,1.0,0.007,-0.011,-0.018,-0.445,-0.131,1.738,0.0,0.0,0.051,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0700832566397685,-0.0027242391445189843,0.3895506968053628,0.9998810888924706,0.0009552511622270704,0.0005271057288020195,-0.01538238375463592,-0.10452884507290641,0.0020888338844402936,1.0090190650222737,0.0,0.0,0.0185514517342107,-0.07701402692145518,-0.0026153600450576093,0.4531908267825324,0.9998884096109572,0.0006745016666667641,0.00212162955933216,-0.014772002612557015,-0.10304774289422919,0.0012477466445851978,0.8978619324474919,0.0,0.0,0.01818202741666379,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,26.575486185068897,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0031,0.0029,0.0003,0.0065
9,1764653442.4091275,-0.001101919825782525,0.024165212302428376,0.2723064337991443,-0.009700711152379846,-0.005519929845292725,0.03704231628501428,-0.0193637083331797,0.00010320318636790988,-0.087,-0.007,0.548,1.0,0.007,-0.012,-0.018,-0.15,-0.09,1.395,0.0,0.0,0.027,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0839585605675978,-0.004236103093220062,0.4827857281812931,0.9998863065296512,0.0007651736213273515,0.0017648931431538185,-0.014955723854600617,-0.12854593907489656,-0.004540708584844467,0.9919943306941834,0.0,0.0,0.017573751385634658,-0.09242857376011293,-0.004559629700722588,0.5439269999129426,0.9998840277814562,0.0004954297488288502,0.005014306033444181,-0.014371578615421673,-0.12493944926808753,-0.0051114412178778455,0.8403342629459192,0.0,0.0,0.017471299735002402,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,26.918609475877,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0011,0.0015,0.0002,0.0149
