step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1764653708.864005,-8.937404936147693e-05,-0.0006216406178271498,0.4316535286709756,0.00150429350267713,2.2243119240576496e-05,7.328977090020411e-05,0.05405450807369586,0.00021635593748724132,0.004,-0.001,0.0,1.0,0.0,0.002,0.003,0.019,0.001,-0.001,0.0,0.0,-0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033084112152625047,-0.0006542056075377713,0.0002990654205886954,0.9999961504626417,0.0,0.0,0.0027747179852612674,0.0024112149534963657,-0.00020560747665473788,-0.00033644859816227903,0.0,0.0,-0.00020560747665472796,0.0034665274342663838,-0.0006674940562836009,-0.004717497678308314,0.9999962149258461,-1.9821144919266683e-05,-0.00013569960829141166,0.0027479677434876807,0.002290408942609857,-0.0001867297959130895,-0.11373402923729908,0.0,0.0,-0.001569073769529911,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0021,0.0044,0.0003,0.0124
1,1764653708.9229922,0.0004554523324118027,0.0005082347083780012,0.4360535498840407,0.0015008231094322878,0.0027129601526962133,0.005571671553797361,0.07595679714919772,0.0001706847216104301,0.004,-0.001,0.0,1.0,0.0,0.002,0.003,-0.047,0.037,0.007,0.0,0.0,-0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003242162173840974,-0.0005670777738849402,-0.0014933508097020884,0.9999882690571466,-0.0016594416227936964,-0.0035952453153888994,0.002789661756351891,-0.005149454392207289,0.0035564034600240255,-0.037425053148758526,0.0,0.0,-0.0012492506236121902,0.0027657871797731135,-0.0002700485615097771,-0.0030435820633316155,0.9999938268478945,-0.0008869682698203505,-0.0020160080547086024,0.002737748146688344,-0.008638723651673452,0.005109098051503842,-0.006165279055411103,0.0,0.0,-0.0020315221663665655,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,24.00889395726498,0.0,0.08,100.0,100.0,0.5,55.0,0.1,3.009955269557175e-06,5.901152688446654e-06,0.0014,0.0032,0.0003,0.0066
2,1764653708.9909892,0.0023735774411319595,0.0037003653749080323,0.4347204334622936,0.0016022904238579246,0.00964755708515226,0.016024182671197405,0.0478411116267698,0.0006949394608072193,0.002,0.0,0.001,1.0,0.0,0.002,0.004,-0.183,0.117,0.039,0.0,0.0,0.009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001387123372697867,0.0005953423106062976,-0.0019647060352437004,0.9999771207730374,-0.002992910321274551,-0.005381246051828448,0.0028004658906698988,-0.02824403088139576,0.017319009249305663,0.0031204951030114943,0.0,0.0,-0.001819085750893933,-0.0006845492316802566,0.0018538506026977986,-0.00024183941448444914,0.999990938086722,-0.0015450543134921267,-0.0028662645243112857,0.0027424586200555483,-0.033131481114623315,0.019989540044640777,0.050161072099413506,0.0,0.0,-0.0022757092156196496,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,24.013086800980993,0.0,0.08,100.0,100.0,0.5,55.0,0.1,4.873925937862769e-05,7.857204987615196e-05,0.0035,0.0015,0.0008,0.0064
3,1764653709.0591154,-0.0001482364378306484,0.0034019619614013693,0.4211439392213725,0.0016982647799090925,-0.012312372214671545,-0.0010294713956698117,-0.013542417021818354,0.0006801580832380789,0.002,-0.003,0.028,1.0,0.001,-0.005,0.006,-0.027,-0.049,0.64,0.0,0.0,0.065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012670073333578115,-0.0017442271108670357,0.015540096047541526,0.999993744538325,0.0006189513158061025,-0.001962989525015642,0.0028765353487449235,-0.017481037799088012,-0.009756111465100031,0.1483131333922556,0.0,0.0,0.0002853281358628241,5.892680891285227e-05,-0.0024349575294219765,0.02696107741680459,0.9999955622768952,0.0007376764073238847,-0.00044451684112563984,0.002851958066300854,-0.01837177175689292,-0.010943936486122664,0.19524719991705453,0.0,0.0,-0.0014743973834568493,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,24.108963766219993,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.00030108267365524795,-0.0001111924191585254,0.0015,0.005,0.0003,0.0074
4,1764653709.1210988,-0.0038062668264796534,-3.409532641875275e-06,0.4124733711249412,0.001757707416748194,-0.018308681497973857,-0.016601612225041053,0.009290151920515171,0.0005094962816841461,0.006,-0.007,0.041,1.0,0.001,-0.007,0.006,0.106,-0.107,0.398,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004706413715361691,-0.006018793523665069,0.0329750522530178,0.9999943216935941,0.0016045088047800637,0.0006368042634307679,0.002894237791562613,0.010599846529376886,-0.03330119992611129,0.22378290370170112,0.0,0.0,-0.00024023809414040558,0.005459642651123191,-0.008296988541792779,0.04867386523822648,0.9999954125457156,0.0006344977177148391,0.0007765368684794549,0.002858197099988202,0.011969685390682903,-0.03474068239154254,0.24699243977678675,0.0,0.0,-0.0017980076934344027,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,24.154624514731076,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.0008792845239796501,-0.000855761889062484,0.0012,0.0016,0.0002,0.0065
5,1764653709.1868324,-0.004326946697378512,-0.0014854341983891535,0.3833499949261753,0.0018125749405818261,-0.003079182707804248,-0.0074105495203166255,-0.09405770960321198,0.0004940510462616845,0.007,-0.006,0.118,1.0,-0.0,-0.002,0.006,-0.067,-0.093,0.97,0.0,0.0,0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005532143038337064,-0.0061739139844601085,0.09723802559756194,0.9999949378561196,0.00045101418576708576,0.0007143314328844478,0.0030676666937436443,0.011095666560277929,-0.02422927405207729,0.44665111125990786,0.0,0.0,-0.002522818786937571,0.006300467178318666,-0.007786919943670936,0.12774860205369404,0.9999953195787566,-0.0006959704735694692,0.00010274047525548417,0.0029775644535824717,0.011759531387819384,-0.023855548084982414,0.46888296174909083,0.0,0.0,-0.002848610046886836,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,24.58109404070039,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.00044513592028671385,-0.0008466676956994159,0.0013,0.0016,0.0002,0.0054
6,1764653709.2676501,-0.0033934558508167544,-0.002864583703317549,0.3635835635555458,0.0018402840795303968,0.004126585895636472,-0.007081426799440621,-0.0509134074873757,0.00036511756231558156,0.01,-0.004,0.199,1.0,0.0,-0.001,0.005,0.052,0.031,1.257,0.0,0.0,-0.009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007913485299950684,-0.005672557499686565,0.15419865448801454,0.999994931119685,-0.000851265445220867,0.00021953424634383331,0.0030602102530631124,0.01857963684488477,-0.014488727083593618,0.5649666046879763,0.0,0.0,-0.0029918350964436074,0.009154150594421838,-0.006591612243004939,0.1910924624108038,0.9999946848765091,-0.001340214647676267,-0.00029499919341456084,0.002957535951599382,0.018503124215044603,-0.012986436277606928,0.5401617715391076,0.0,0.0,-0.0031070986099371277,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,24.830378913089756,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.00014101472437175232,-0.0012883725181689187,0.0072,0.0027,0.0003,0.0087
7,1764653709.3226483,-0.0032387609620477056,-0.0027636597125951,0.32330312060393424,0.0018833629320944365,0.0003492924624931507,0.00014654699069755134,-0.15595426931361459,0.0004454297727614977,0.009,-0.008,0.358,1.0,0.0,0.007,0.005,0.055,0.082,1.359,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007583331573868207,-0.007397403082128997,0.2725232030003172,0.9999940243682196,-0.0013385040125357412,-0.0004083296207417147,0.0031611551341012394,0.011640524697252259,-0.015748986166624644,0.8135024336499859,0.0,0.0,-0.0030931715237983936,0.00833465787321325,-0.008391148453939588,0.32558466036501565,0.9999939854157289,-0.0013801091101735084,-0.0008862710710447309,0.0030559703532271405,0.010790606149475176,-0.01407476246924353,0.7774180622506566,0.0,0.0,-0.0031737621248987408,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,25.620292276130254,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-8.027286863350534e-05,-0.0007558420153212121,0.0015,0.0017,0.001,0.0069
8,1764653709.3881233,0.0005697722204863211,0.0002970990058092991,0.29040162388577423,0.001901497137878961,0.01863782079241417,0.014958336127947607,-0.12409459351530805,0.0003260913954344263,0.002,-0.0,0.473,1.0,0.0,0.011,0.004,-0.084,0.268,2.021,0.0,0.0,-0.049,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017037199978017976,-0.00023922327566918734,0.38825416929049184,0.9999922168972596,-0.0019199643028261423,-0.0013037251318984892,0.003190639866949248,-0.0160798070883389,0.01932413975923009,0.9808968208511546,0.0,0.0,-0.004443980054056358,0.0005838095577596208,0.001115214771823018,0.4505020555998116,0.9999929598586845,-0.00175478592133716,-0.0012907073386601035,0.0030553287881040438,-0.01748932083219721,0.021241136889022127,0.8835463332033808,0.0,0.0,-0.003810111837271226,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,26.25680152162039,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0033627946004816524,0.0019646297549533414,0.0016,0.0018,0.0002,0.0061
9,1764653709.4611328,0.001049861412527384,0.005886446816595968,0.2752312588868301,0.0018981884461860626,0.0024716674877661073,0.027983876429659504,-0.039551622008998547,0.00022114368377037954,-0.013,-0.005,0.569,1.0,0.0,0.013,0.004,-0.305,-0.081,1.948,0.0,0.0,-0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008926610302227566,-0.0023276897002425185,0.48723136154621005,0.9999921550516646,-0.0015858279263789698,-0.0018527091676038615,0.003121290383146623,-0.05445851224642145,0.008057595363741574,0.9971315685278118,0.0,0.0,-0.003883885816929538,-0.012604311493341201,-0.0017533229919063547,0.5489210622752954,0.999994921478438,-0.0006517837478633204,-0.0008558483594760709,0.002999953143698047,-0.055650244059801485,0.008979032403583533,0.8511486562502908,0.0,0.0,-0.003578341426524908,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,26.628011983899395,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0017890208663428762,0.0063559301040736335,0.0021,0.0045,0.0003,0.0092
