file_name,folder_name,rmse_x,rmse_y,rmse_z,rmse_3d,start_time,total_duration,analysis_duration,num_samples,total_samples
log.csv,18,0.299,0.107,0.033,0.319,8.014044284820557,54.93698978424072,46.922945499420166,705,825
log.csv,20,0.242,0.066,0.03,0.252,8.000002145767212,54.93477272987366,46.934770584106445,705,825
log.csv,24,0.266,0.101,0.032,0.286,8.061110019683838,54.934696674346924,46.873586654663086,704,825
log.csv,28,0.46,0.079,0.038,0.468,8.004709482192993,54.94632077217102,46.94161128997803,705,825
log.csv,32,0.289,0.092,0.046,0.307,8.06085753440857,54.931058406829834,46.870200872421265,704,825
log.csv,36,0.408,0.088,0.06,0.422,8.0607750415802,54.926687240600586,46.865912199020386,704,825
log.csv,circle_no_xy_adapt_1,0.171,0.255,0.028,0.309,8.007582187652588,83.93791341781616,75.93033123016357,1140,1260
log.csv,circle_no_xy_adapt_2,0.181,0.194,0.028,0.267,8.055870294570923,83.91733241081238,75.86146211624146,1139,1260
log.csv,circle_no_xy_adapt_3,0.207,0.322,0.048,0.385,8.012998580932617,83.93578219413757,75.92278361320496,1140,1260
log.csv,circle_xy_adapt_1,0.178,0.15,0.048,0.238,8.006758451461792,83.94038152694702,75.93362307548523,1140,1260
log.csv,circle_xy_adapt_2,0.144,0.167,0.078,0.234,8.058951616287231,83.92768573760986,75.86873412132263,1139,1260
log.csv,circle_xy_adapt_3,0.136,0.164,0.027,0.214,8.045299768447876,83.92414569854736,75.87884593009949,1139,1260
log.csv,hover_no_xy_adapt_1,0.466,0.232,0.035,0.522,8.003784894943237,30.939427614212036,22.9356427192688,345,465
log.csv,hover_no_xy_adapt_2,0.797,0.734,0.065,1.085,8.044097900390625,30.904732942581177,22.86063504219055,344,465
log.csv,hover_no_xy_adapt_3,0.641,0.401,0.171,0.775,8.010886907577515,30.94224524497986,22.931358337402344,345,465
log.csv,hover_xy_adapt_1,0.232,0.153,0.033,0.28,8.002163887023926,30.929245710372925,22.927081823349,345,465
log.csv,hover_xy_adapt_2,0.435,0.463,0.042,0.636,8.016169548034668,30.925215005874634,22.909045457839966,345,465
log.csv,hover_xy_adapt_3,0.252,0.45,0.045,0.518,8.061122179031372,30.928248167037964,22.867125988006592,344,465
log.csv,xyz_no_xy_adapt_1,0.56,0.14,0.046,0.579,8.06186819076538,68.93372678756714,60.87185859680176,914,1035
log.csv,xyz_no_xy_adapt_2,0.495,0.159,0.042,0.521,8.055076360702515,68.9338846206665,60.87880825996399,914,1035
log.csv,xyz_no_xy_adapt_3,0.479,0.168,0.042,0.51,8.06308126449585,68.93429708480835,60.8712158203125,914,1035
log.csv,xyz_xy_adapt_1,0.32,0.084,0.038,0.333,8.005990266799927,65.94455742835999,57.93856716156006,870,990
log.csv,xyz_xy_adapt_2,0.252,0.123,0.032,0.282,8.006779432296753,65.93667411804199,57.92989468574524,870,990
log.csv,xyz_xy_adapt_3,0.246,0.135,0.034,0.283,8.057142734527588,68.92652678489685,60.86938405036926,914,1035
log.csv,z_sin_no_xy_adapt_1,0.507,0.077,0.056,0.516,8.009906530380249,49.93317103385925,41.923264503479004,630,750
log.csv,z_sin_no_xy_adapt_2,0.521,0.108,0.052,0.534,8.004158020019531,49.92519998550415,41.92104196548462,630,750
log.csv,z_sin_no_xy_adapt_3,0.564,0.067,0.049,0.57,8.067245244979858,49.9403657913208,41.87312054634094,629,750
log.csv,z_sin_xy_adapt_1,0.394,0.071,0.057,0.404,8.058292388916016,49.92315459251404,41.86486220359802,629,750
log.csv,z_sin_xy_adapt_2,0.299,0.076,0.127,0.334,8.070732831954956,49.93402814865112,41.86329531669617,629,750
log.csv,z_sin_xy_adapt_3,0.258,0.126,0.052,0.292,8.06774353981018,49.93999481201172,41.87225127220154,629,750
