step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1764656117.4698648,-0.00016364981014402942,0.00019182164943909018,0.4316741492669171,-0.03226011335002345,1.6738092376813828e-05,1.3806021885017883e-05,0.05394529356470387,-0.004050842215061672,-0.003,-0.002,0.0,0.998,-0.003,0.001,-0.055,0.008,0.008,0.004,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022010582011746578,-0.002000000000105827,-2.116402116514136e-05,0.9987897887571536,0.0,0.0,-0.04918290225719197,0.00012698412699085386,0.00038095238097254165,0.0003174603174771131,0.0,0.0,-0.00019047619048626996,-0.0021917497447642275,-0.0019739152353547814,-0.004992371406332435,0.9988141392407698,-3.3064372412888885e-05,4.214793124972701e-05,-0.04868585403399056,0.00016558116006974385,0.0004119188003680206,-0.11302200951850722,0.0,0.0,0.03173545820200663,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0037,0.0015,0.0002,0.0057
1,1764656117.5531359,0.0005088065707377758,-0.0007638183193260371,0.4382026731999639,-0.03177473930497929,0.0033418256781410226,-0.00475422213764575,0.08660188832359841,-0.0016056439435320957,-0.002,-0.001,-0.0,0.998,-0.003,0.001,-0.055,0.008,0.005,-0.006,0.0,0.0,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019962207453325547,-0.001847954354088737,-0.0028053457013712127,0.998804736920523,-0.0017559824801099111,0.002656758770757482,-0.0487745390904781,0.005443895181346091,0.003523293108484646,-0.060844636650885284,0.0,0.0,0.03113357325043037,-0.0015328658794690562,-0.0015540861880081512,-0.006125784699810691,0.9988711471102939,-0.0009441873174730164,0.0014197061330937899,-0.047471300965645634,0.008060046833702813,0.005050521519552896,-0.034691626170072515,0.0,0.0,0.045444623941001794,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,24.006350511048996,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0014,0.0016,0.0057,0.0203
2,1764656117.6109378,-0.00021509749859051613,-9.670356665331743e-06,0.43746365577933577,-0.03103349137691044,-0.003555919525299237,0.0036752625233877714,0.05108024704685437,-0.00026560277277815677,-0.003,-0.002,-0.0,0.998,-0.003,0.001,-0.055,-0.008,-0.007,0.0,0.0,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00232641103620767,-0.002136253379939769,-0.004882148345732803,0.9988639792704632,0.00037761397708923656,-0.000174541861515912,-0.04765058088626538,-0.0017352236437328753,-0.0022581117918983222,-0.023519738541007758,0.0,0.0,0.04438541995909337,-0.0024571791343606627,-0.0023061681858380454,-0.004834533939525999,0.9989389637162476,0.000243235800686289,-0.00017896323015865117,-0.046052747779226806,-0.00215506406167126,-0.002774154433208404,0.026868629204590197,0.0,0.0,0.05067376801547602,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,24.010619965625605,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0033,0.0019,0.0003,0.0116
3,1764656117.6806953,-0.0022794504862713974,0.004160039235295633,0.4169439578275335,-0.030264665076124787,-0.010348652125728221,0.020847339165221655,-0.0479155327865945,-3.505491818552465e-05,-0.007,-0.004,0.03,0.999,-0.007,-0.001,-0.052,-0.1,-0.044,0.873,0.0,0.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006760566492238819,-0.003888127563593943,0.022622947105781874,0.9988998976357375,0.001413434461802332,-0.002862880390677044,-0.04678461950474758,-0.03645075879485571,-0.015488054160274396,0.1940397374583916,0.0,0.0,0.05161994365301377,-0.009300339441246884,-0.00496764731303455,0.03725798966728354,0.9989838558790335,0.0006476895726257463,-0.0014273443842716515,-0.0450421899921046,-0.03926249898473304,-0.016666022085392307,0.2460082229099919,0.0,0.0,0.053060747566442745,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,24.125408754675618,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0023,0.0096,0.0003,0.0096
4,1764656117.7428179,-0.0016722194606995167,0.004358608815961463,0.40829963751074516,-0.02937046701024844,0.0027512238170754807,0.0015128528077411095,0.00889639314449947,0.0006879071948661525,-0.006,-0.002,0.047,0.999,-0.008,-0.009,-0.049,0.017,0.028,0.337,0.0,0.0,0.145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006649332973210984,-0.0028570879292869563,0.04084415109573756,0.9989745316683278,0.00015614195856250739,-0.0008806094986580429,-0.045266822559627586,-0.023543393752740758,-0.004173656141328336,0.26218060595045667,0.0,0.0,0.05524285482529734,-0.008227651984929748,-0.00312860578719976,0.058827430315599394,0.9990552439494442,-0.00039231813455800136,0.0005341562116138314,-0.043453196668820644,-0.02343597319101333,-0.003848439912427764,0.27651327728491815,0.0,0.0,0.053882418057061676,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,24.14481173978558,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0021,0.0033,0.0002,0.0132
5,1764656117.8061912,0.001048722571032193,0.0037870152701412326,0.3987973170287714,-0.02847629010449245,0.01339568272607111,-0.0023131416271059677,0.0035258522789744584,0.0007995761524988857,-0.006,0.003,0.088,0.999,-0.006,-0.007,-0.047,0.003,0.085,0.623,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006857298417339555,0.0014199616999416168,0.0736472687113524,0.999038124387271,-0.0008692611742758448,0.0006240218874751246,-0.04383698213219541,-0.017001582078925888,0.017747317918267183,0.33288604222025653,0.0,0.0,0.05377190172052729,-0.007946241062458923,0.0026396498408254553,0.09603358451937793,0.9991135676331203,-0.0006994244893313824,0.0011807706443241865,-0.042073691987841166,-0.015549546414714885,0.01877285649098441,0.3389097953825948,0.0,0.0,0.05233365966441755,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,24.23787859378515,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.002,0.0048,0.0003,0.0084
6,1764656117.876959,0.0021951458595737177,0.0031045858658036,0.3839020222989363,-0.027628317204721548,0.005863206764086646,-0.0029387701129205052,-0.02462680902057908,0.0006803282357929772,-0.006,0.004,0.152,0.999,-0.007,-0.006,-0.045,-0.002,0.012,0.958,0.0,0.0,0.066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007192528671459664,0.002345950341597407,0.12427881601073375,0.9990909875061935,-0.0007018277765447204,0.0012352458069483582,-0.04260493268939255,-0.012678272666929257,0.017369837345387492,0.4340635574873362,0.0,0.0,0.05264313076915465,-0.007978710438107769,0.003520183386796258,0.1530663169360224,0.9991629094321862,6.617583924352068e-06,0.0013801274992673274,-0.04088490698659328,-0.0108993571563362,0.01766800097707387,0.429670528835413,0.0,0.0,0.05095775681815484,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,24.434177390312723,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0066,0.0035,0.0002,0.0091
7,1764656117.939083,0.004198051155443002,0.0049051933464343295,0.3585172365854073,-0.026918760585515553,0.010288919711793134,0.009391110636379096,-0.07893617578027767,9.424344543976833e-05,-0.01,0.007,0.204,0.999,-0.007,-0.002,-0.044,-0.109,0.094,1.561,0.0,0.0,0.014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01301997085682969,0.007522679613325369,0.2048718403137919,0.9991268012121277,-0.00020436542798243289,0.001176073361613214,-0.04176374247887039,-0.029905641345998206,0.032386386663199006,0.59513717459246,0.0,0.0,0.05004982043501972,-0.014963518381039313,0.009676279432546685,0.24389745281788766,0.9991941039023732,0.0004035744188681194,0.0012429769706932465,-0.04011776243351491,-0.02840126313974227,0.03207165398147323,0.5752222420221511,0.0,0.0,0.048995162256920965,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,24.836105727911484,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0022,0.0041,0.0002,0.0085
8,1764656118.0098157,0.005427040636384448,0.008190135996835695,0.32943346711956983,-0.026363975436093624,0.006669703799137602,0.01703786242031111,-0.1006041927560115,-0.0005909193260798164,-0.022,0.013,0.356,0.999,-0.007,0.005,-0.042,-0.064,0.046,1.362,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021340970654913256,0.010881784611019017,0.3055062261510233,0.9991469866746304,0.0003574757245912044,0.001025386977592163,-0.041280986079046636,-0.05048566894769381,0.03605805348679426,0.7590486568533639,0.0,0.0,0.04889462354988592,-0.024658877325216585,0.013254811808514046,0.35438087842222377,0.9992105460799269,0.0011892301607819356,0.001659671684932668,-0.03967512853384929,-0.04891634856679897,0.034946561911941454,0.7057515268449919,0.0,0.0,0.047815326414117953,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,25.32657502361074,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0019,0.0055,0.0003,0.0114
9,1764656118.0660222,0.009393561788365598,0.013520822807826053,0.3085279941766462,-0.02588983930122883,0.020510985839453804,0.027677201054556243,-0.06334818132467186,-0.00092481625518774,-0.04,0.029,0.487,0.999,-0.006,0.011,-0.04,-0.181,0.16,1.407,0.0,0.0,0.023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03447450507048153,0.023152741387458493,0.40264765400185737,0.9991699282886201,0.0007821863939867782,0.0012414158952945781,-0.04070996775648661,-0.08218941613809831,0.06824302751333039,0.8419041403758565,0.0,0.0,0.04677462720353798,-0.03989232270768901,0.027656881201744032,0.45566503895376753,0.9992282322318814,0.0016836631871308266,0.002516481093354286,-0.039163407818117314,-0.08008416909750585,0.06669217269767935,0.7467390182629523,0.0,0.0,0.04636904476393541,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,25.71519425763064,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0014,0.0017,0.0002,0.0046
