step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765246892.7722745,-0.013412117924147472,0.021880634009335792,0.3708488280111236,-0.018858847996311993,-3.7664772748073616e-05,1.5358846240924595e-05,1.8787086234390432e-05,-2.778951509112282e-05,-0.212,-0.116,0.024,1.0,-0.005,0.002,-0.029,0.016,0.023,0.016,0.0,0.0,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21113772456354188,-0.1160958083901854,0.02358083832476533,0.999661588763462,0.0,0.0,-0.02601361087798335,-0.0001437125748589025,-0.0009820359282025218,-9.580838323927852e-05,0.0,0.0,0.0002634730539079926,-0.21104111380383173,-0.11609746309192093,0.01898880023224643,0.9996526264425749,-0.0029147857384774207,0.005081885462899826,-0.025696398788594307,0.004886391630355346,0.00198935534047518,-0.09766322023501173,0.0,0.0,0.018625120131079906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0018,0.0062,0.0024,0.0113
1,1765246892.8366544,-0.009940168158318234,0.019765771274963602,0.3770366265558903,-0.01802503772680023,0.017359748829146197,-0.01057431367186095,0.030938992723833374,0.004169051347558827,-0.211,-0.114,0.023,1.0,-0.005,0.002,-0.029,0.013,0.026,-0.011,0.0,0.0,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21084975126520933,-0.11549014683995479,0.020655400198467726,0.9995892245261209,-0.010264297477295507,0.007479305917634523,-0.025692146495698568,0.009871094387991306,0.017244924843323805,-0.0600451034506572,0.0,0.0,0.01817277269843705,-0.20982186977997486,-0.11393444064620656,0.017506815195257437,0.9996164174282817,-0.007964872756128737,0.00903490239573248,-0.024938912336467167,0.021361880141112552,0.028465550936799047,-0.031594074792557145,0.0,0.0,0.026465795816530663,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.002431568299688,0.0,0.08,100.0,100.0,0.5,55.0,0.08,1.3572676532934559e-05,-3.4535043755125404e-06,0.0024,0.0023,0.0003,0.0141
2,1765246892.8980982,-0.01009750816366982,0.019443690519053043,0.3762062119262296,-0.01753627288628469,-0.0007867000267579444,-0.0016104037795527867,-0.00415207314830366,0.002443824202577715,-0.212,-0.115,0.023,1.0,-0.005,0.002,-0.029,-0.007,-0.006,-0.004,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21118963780114552,-0.11556685374420216,0.01849266995588371,0.9996480097441585,-0.005232824691795886,0.006916830087290053,-0.025072527232637656,0.005099631267046989,0.008767033265492205,-0.022999225050316062,0.0,0.0,0.025834295187583022,-0.21051575033146297,-0.11477865891718753,0.018618399770801874,0.9996594913585798,-0.005102735112435432,0.008461071303418562,-0.024151060090109647,0.01560941726479978,0.01489566064443671,0.027694193931011177,0.0,0.0,0.0288406893571658,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.003907355250377,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-4.192948269941701e-05,3.767785344195173e-05,0.0024,0.0022,0.0002,0.0092
3,1765246892.96452,-0.00763596784423301,0.01762889583912508,0.3737192656150963,-0.01700682496030913,0.012307701597184065,-0.009073973399639834,-0.012434731555666507,0.0026472396298777997,-0.21,-0.111,0.024,1.0,-0.003,0.004,-0.029,0.055,0.09,0.033,0.0,0.0,0.015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2098198903619335,-0.11245472329871566,0.018208482131292635,0.9996467483412586,-0.006049676840828195,0.008712619089505472,-0.024369452383494267,0.021202155291447308,0.032638958431031394,0.024133610789982485,0.0,0.0,0.027941412387474943,-0.20801191426175292,-0.11004311068445666,0.02140640906322866,0.9996657460154141,-0.005646333654087026,0.0093974657198151,-0.023413730966186326,0.03317759865693963,0.03955911883977972,0.0717846770877521,0.0,0.0,0.02934805255714798,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.002916783888878,0.0,0.08,100.0,100.0,0.5,55.0,0.08,8.801627221237729e-05,2.676427841837031e-06,0.0014,0.002,0.0002,0.0103
4,1765246893.0373344,-0.0037806302421381803,0.013616622695087633,0.3701521382321383,-0.0164340637016828,0.019276688010474143,-0.020061365720187234,-0.01783563691479012,0.002863806293131655,-0.201,-0.103,0.033,1.0,0.002,0.006,-0.027,0.109,0.112,0.11,0.0,0.0,0.035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20446948462519102,-0.10665330091098123,0.023059967548865957,0.9996555339334855,-0.006155392839735414,0.009919033745598587,-0.023506113772809714,0.05299524238768097,0.058516663440114636,0.07820021032997672,0.0,0.0,0.029473988886076986,-0.2005155473924488,-0.10252782737664634,0.029701099026621783,0.9996881321548431,-0.004977018110707068,0.00953138285537,-0.02253930922524923,0.06541668164781597,0.06486899812266053,0.12083333748275848,0.0,0.0,0.029491156308301986,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,28.006805906394593,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0004489286697252492,-0.00033912085161110964,0.0022,0.0021,0.0002,0.0155
5,1765246893.0964758,-0.007133616680851382,0.009815025854110492,0.3559687993542414,-0.015976607657746125,-0.016764932193566014,-0.019007984204885704,-0.07091669438948435,0.0022872802196833874,-0.196,-0.106,0.058,1.0,-0.0,0.007,-0.026,0.146,-0.01,0.399,0.0,0.0,0.032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1990945325371196,-0.11380812535557808,0.05829405936771206,0.9996667193718968,-0.004871170752204969,0.010669145557998293,-0.02299763485218827,0.07183209130927858,0.011385537778751653,0.22565532877741853,0.0,0.0,0.029955612150788267,-0.1938867983768281,-0.1128904219250888,0.07461005764781833,0.9997119525544272,-0.003393037330467776,0.008875265878315644,-0.022039257543708266,0.08376894262376505,0.015727213827602102,0.26351521387048504,0.0,0.0,0.029131416517633957,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.09601412297316,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0013562519899827806,-0.0005418589279839273,0.0015,0.0016,0.0002,0.0093
6,1765246893.1601999,-0.00906021713987141,0.006537944581304655,0.34949705239732876,-0.015491199968076193,-0.009633002295100142,-0.016385406364029187,-0.03235873478456337,0.0024270384483496494,-0.19,-0.108,0.08,1.0,-0.001,0.008,-0.026,0.112,-0.03,0.427,0.0,0.0,0.023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19263815030096762,-0.11457813930577095,0.0805640781781694,0.9997060458135719,-0.0033964330966664708,0.009098967838796101,-0.02221474713520132,0.0886930245124281,0.008128101802991535,0.28265406998702863,0.0,0.0,0.028973070423011334,-0.18639653332480643,-0.11391141045208536,0.09974064768745616,0.9997394438882711,-0.003871511716880849,0.00733916629064237,-0.021264815286167377,0.09801538850256569,0.012034936746620477,0.291220952340175,0.0,0.0,0.02827424636178899,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,28.118608973181942,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0017699797845461898,-0.0007805836827789144,0.0014,0.0016,0.0002,0.0054
7,1765246893.238336,-0.010523541566345364,0.004893035958377832,0.3411766547638851,-0.015034130628502139,-0.0073166221323697645,-0.008224543114634112,-0.04160198816721837,0.00228534669787028,-0.185,-0.11,0.132,1.0,-0.0,0.01,-0.025,0.11,-0.002,0.378,0.0,0.0,0.009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18818930397779024,-0.1163492723872179,0.11973799869145954,0.9997287988526593,-0.003957606252303866,0.007683520664226294,-0.021624745260312963,0.09119398410839903,0.0017091852597940463,0.3481577396688721,0.0,0.0,0.02758296440071433,-0.181845481394888,-0.11608065975137455,0.14299552904410828,0.9997582518549691,-0.004444358061144914,0.005883093838620508,-0.02071411924766443,0.09861016622221797,0.0064853046747077245,0.34894482133530436,0.0,0.0,0.027184223987336553,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,28.20104051987362,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0026114677247810183,-0.0002242787209327902,0.0021,0.0021,0.0002,0.0144
8,1765246893.2964466,-0.01336927502804858,0.004020726303883032,0.33749196655029323,-0.014536739694025618,-0.014228667308516093,-0.004361548272474005,-0.0184234410679589,0.0024869546723826127,-0.182,-0.118,0.158,1.0,-0.0,0.011,-0.024,0.052,-0.169,0.538,0.0,0.0,0.046,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18356467921702668,-0.12256071506719864,0.14999314683637785,0.9997566295781832,-0.004243495597107254,0.005908395236550394,-0.020827031121054544,0.0921823083954466,-0.017863200295586197,0.36761307086973305,0.0,0.0,0.02762267890684839,-0.17722276523017644,-0.1235828180707143,0.1740388881794004,0.9997787194086887,-0.004890694303214283,0.0046642075564866095,-0.01992080557169704,0.09775324052253365,-0.012632683522262475,0.35293759744487985,0.0,0.0,0.02675825800897158,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,28.233361036581574,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0048362127054346876,0.0003014610591552887,0.0018,0.0028,0.0002,0.0077
9,1765246893.3650115,-0.013354817039140699,0.0024438032377777563,0.3380223895819677,-0.014064152235009408,7.228994453941685e-05,-0.007884615330526378,0.0026521151583725174,0.002362937295081056,-0.173,-0.117,0.181,1.0,0.0,0.011,-0.024,0.129,0.024,0.323,0.0,0.0,-0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17585683366268018,-0.12191400420137828,0.17326241237019271,0.9997739661873359,-0.004950590863873098,0.004718168689396685,-0.02013074932436925,0.10225855744832914,-0.007314289739824133,0.3503155387678387,0.0,0.0,0.02596171901993267,-0.1688825272161375,-0.12219751940764156,0.1959522882738821,0.9997889812498276,-0.006000471829130287,0.0038355553117653068,-0.019268519006659674,0.10675554543624027,-0.000931487029929595,0.33004049598583696,0.0,0.0,0.025535625355400576,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,28.227848903624025,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.004277136865050111,-0.00013749724105121343,0.0014,0.0024,0.0002,0.0094
