step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1764655228.2808223,-3.7228673908538834e-06,-0.0005905837167123945,0.4316845664472176,0.013504923454473357,-3.135228952918466e-06,-0.0001481599744623226,0.053980885226646735,0.0016934288779163723,0.007,-0.0,-0.0,1.0,0.002,0.0,0.023,-0.002,-0.001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006192592593051318,0.0,0.0,0.999787812585612,0.0,0.0,0.020599267105343697,-0.0001481481481591225,0.00010370370371138725,0.00017777777779094298,0.0,0.0,-0.00023703703705459496,0.0061804145829138235,6.84443363923081e-06,-0.004980345711218733,0.9997922144384795,2.0673724878915836e-06,-0.00011819662499900141,0.020384159867044883,-0.0002537944690972182,0.00010053329476701937,-0.11315583334573345,0.0,0.0,-0.013424936574728763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0017,0.0081,0.0006,0.0051
1,1764655228.3549771,0.0002950464206822668,-0.00036251640650991927,0.43622424756988776,0.013329259649335328,0.0014933810819417461,0.0010665135864233264,0.07665897641925318,0.0008097964061190058,0.007,-0.0,-0.0,1.0,0.002,0.0,0.023,0.011,0.001,-0.001,0.0,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061550632403282925,6.208104701929815e-05,-0.0018204687206277489,0.9997890117749374,-0.0008129995403892089,-0.0007368278694598232,0.020511656455107174,-0.0012488403023657932,0.0016452527848543417,-0.038208436263611256,0.0,0.0,-0.012615150640411993,0.006042127700142903,0.0002005144964531033,-0.0034189386375673425,0.9998002932574002,-0.00042337105602248556,-0.0005156897472707761,0.019973192620359518,-0.0020647863361055027,0.0023850352705935655,-0.006843846614644473,0.0,0.0,-0.018841249190574727,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,24.008847380342388,0.0,0.08,100.0,100.0,0.5,55.0,0.1,1.3695556675381162e-06,7.789550614639564e-07,0.0019,0.002,0.0002,0.0194
2,1764655228.4051065,3.2679142448388565e-05,-0.00010469834317613851,0.4354920333340392,0.013038043426301663,-0.0012749555885841076,0.0012437757658551641,0.05086695976699321,0.00021007634099858355,0.007,-0.0,-0.0,1.0,0.002,0.0,0.023,-0.004,-0.004,0.003,0.0,0.0,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005990034232083812,-4.177650616203507e-05,-0.003101170202890679,0.9997985563444651,9.920045584592248e-05,-0.0006812283444831952,0.02005923275541392,-0.0029641497712547004,-0.0007045459460655033,-0.00434354338294385,0.0,0.0,-0.018461956577121696,0.005767307717678683,-9.581169800070612e-05,-0.0018818535519548344,0.9998118530426674,9.169796190169965e-05,-0.00046145563807538614,0.019391677739833517,-0.003651757969603738,-0.0009023141076788589,0.042604240244834196,0.0,0.0,-0.021193548142126234,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,24.01003408683062,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-9.851427722389826e-06,4.701429341510568e-06,0.0014,0.0011,0.0002,0.004
3,1764655228.4932437,0.00037887346787761204,0.0005400577409066421,0.434001371304523,0.012687135199617129,0.0017350565199521662,0.0032106931275168856,0.04698319401917428,-0.00012478570513495095,0.006,0.0,-0.001,1.0,-0.001,-0.006,0.023,-0.015,0.009,-0.01,0.0,0.0,-0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052123139814773435,0.00039563607647515416,-0.003634769338038573,0.9998098165181553,-0.00021575533252667805,-0.0007932245631958591,0.019484738601314888,-0.008252088138735425,0.003122300779414064,0.03155856164480338,0.0,0.0,-0.020846653161813358,0.004634361343149205,0.000610361885853941,-6.034257674007192e-05,0.9998237166015416,-0.00013439253507864315,-0.0004792364017917471,0.0187693364879578,-0.008993292186496957,0.0032961768856049414,0.07666970888067576,0.0,0.0,-0.02192836366237838,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,24.00044621090423,0.0,0.08,100.0,100.0,0.5,55.0,0.1,2.7659836102333107e-05,4.4590329235850515e-05,0.0022,0.0022,0.0002,0.0221
4,1764655228.5405009,-0.00315941094890551,-0.004420714503364514,0.4339482788682551,0.012331657683342259,-0.01764406290043091,-0.02473635400374245,0.05398470923172579,-0.00019149568142219934,0.013,-0.005,-0.001,1.0,0.003,-0.014,0.022,0.076,-0.04,-0.015,0.0,0.0,-0.032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012862462712024002,-0.004836832346523422,-0.004865113948539087,0.9998190395996216,0.0011042255101403606,0.0013185219031815788,0.018945454338809682,0.039989938502931074,-0.02905023818296017,0.05338154727736733,0.0,0.0,-0.021049265268093663,0.015581963736622823,-0.00681511572923307,5.6641580286604184e-05,0.9998332272012854,0.0006638670823064546,0.0007879478027644502,0.01823338155745221,0.041404003398825856,-0.03015139136287187,0.09515907758301234,0.0,0.0,-0.021659864849456173,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,23.969312121786125,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.0005744204634453196,-0.0007952272016793449,0.0014,0.0016,0.0002,0.0058
5,1764655228.6162655,-0.0031525296910017483,-0.001739350067370703,0.38130297145896275,0.012172301626053534,-0.00036052007909437994,0.01285423286704849,-0.20898300218792973,0.0007446769239741516,0.006,-0.003,0.114,1.0,0.002,-0.002,0.023,-0.013,-0.125,1.512,0.0,0.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005994769851450329,-0.003732612505356686,0.09675532830377884,0.9998156663016468,0.00039978540826257587,-0.00022272060102987516,0.019194373783882387,-0.005779290687162077,-0.015622949806370374,0.4851222635662438,0.0,0.0,-0.020382137297812384,0.005578896160981374,-0.004773427590327464,0.1311742510193738,0.9998278606790769,-0.0005558634296758093,-0.0012750326022849603,0.01850173823215523,-0.006981970196413691,-0.015337352118025144,0.5484827214240562,0.0,0.0,-0.021016482657064933,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,24.701854228240965,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-1.331457168662095e-05,0.0008052361384580028,0.0014,0.0061,0.0022,0.0081
6,1764655228.6863086,-0.0009140738936361682,-0.0019833954887589628,0.3626498691920264,0.011934678390714087,0.010798212775452681,-0.0014376458653626405,-0.045602639902310976,0.0003334215265594618,0.009,0.0,0.147,1.0,0.002,-0.001,0.022,0.083,0.092,0.874,0.0,0.0,-0.028,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009153674030861963,-0.0004851443788703924,0.14238140669803845,0.9998246124989897,-0.0008687461012343689,-0.0010054279364077067,0.01868096989241633,0.008701729245167867,0.003373957169933165,0.5896435369156907,0.0,0.0,-0.021173631000322914,0.009693593100429658,-0.00021878645650779348,0.18064180863957202,0.9998375632157936,-0.001076596453446251,-0.0007768520547047206,0.017974554894769415,0.007570832878441465,0.004639258597776001,0.5543736626084594,0.0,0.0,-0.02124175410397311,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,24.80082529547714,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0010293909282277978,-0.0001387225724943103,0.0015,0.0018,0.0002,0.0177
7,1764655228.7447047,-0.00016263168293530824,-0.0011521737296105424,0.3377388775847676,0.01173461042039189,0.0036429518167997786,0.0039081843596472324,-0.07922372438729075,0.0004914949472282788,0.008,-0.0,0.268,1.0,0.001,0.004,0.021,-0.018,0.011,1.15,0.0,0.0,-0.017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007662894744196374,-0.000952362530669534,0.23121031598410563,0.9998284284493919,-0.0010634723398171768,-0.0009332755347265895,0.01846920918117261,-0.000527171389748113,0.0015660477921674337,0.7258748664778201,0.0,0.0,-0.02097587618450224,0.007590702183324558,-0.0008119361867303795,0.27810126665175794,0.9998413910453923,-0.0006504283601848685,-0.0009620175563780934,0.017772006571698088,-0.0016328744662189275,0.0025335551576011212,0.6800426593089433,0.0,0.0,-0.020906403621010483,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,25.268920833069686,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0008121482093190237,0.00047798306650414965,0.0015,0.0016,0.0002,0.0098
8,1764655228.807319,0.0005395932371299041,0.0009328328786833567,0.32776086975604707,0.011485472444805685,0.0034907956399591496,0.010281011325268177,-0.007672679445506765,0.0002211364246179617,0.001,0.001,0.346,1.0,0.002,0.007,0.021,-0.103,0.021,1.183,0.0,0.0,-0.023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003720420263543827,-8.344641935136194e-05,0.297286812788593,0.999837988324899,-0.0007017099141633079,-0.0011812077108371668,0.017947408001143812,-0.016193121407117234,0.005196150397248288,0.7390731082265827,0.0,0.0,-0.020947149408440738,0.0026027155657421426,0.00028225738298555425,0.34374747059381905,0.9998506440157668,-0.00041491186414571013,-0.0008917843092090884,0.017254629238174963,-0.017260605852438417,0.005707271466577582,0.6532936472490802,0.0,0.0,-0.020703408018544395,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,25.443203731168623,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0011136118372456951,0.0018668228284436548,0.0014,0.0017,0.0002,0.0057
9,1764655228.8781319,-0.001664816877598716,0.004948484479606005,0.3196099067654806,0.011265355589721443,-0.010954601419001862,0.020194862114448656,0.00021529376667338285,0.00033509978017950926,-0.007,-0.005,0.413,1.0,0.002,0.009,0.021,-0.149,-0.017,1.182,0.0,0.0,-0.011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004618480070259428,-0.00609762496735833,0.3708365767816741,0.9998439321961318,-9.818599833475052e-05,-0.001278513718332875,0.01762007414169487,-0.04373525889395116,-0.018034899935113053,0.7341382062022539,0.0,0.0,-0.019316359039533743,-0.007566170967740517,-0.007301433126892645,0.4166776338905325,0.9998559110649768,4.2554746141613365e-05,-0.0004765416483515356,0.016968447353143224,-0.04451068322913218,-0.018099818752766582,0.6409866853682664,0.0,0.0,-0.019735083198664655,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,25.695294641293657,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.0014848410175298003,0.004939904275686845,0.0019,0.0018,0.0002,0.0093
