step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1764656625.9072735,-0.0006368836669641947,-0.0017681629896075248,0.43182501420837166,-0.0034568206603289523,0.0004219291498427255,0.0009329545853973167,0.053770347638617697,4.364693951553161e-05,-0.007,0.005,0.0,1.0,-0.001,0.001,-0.019,0.016,0.002,0.002,0.0,0.0,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04086214442102541,-0.018192560175452732,0.000726477024085928,0.9999853527243562,0.0,0.0,-0.005412424294609648,-0.012910284464177526,0.006713347921372307,-0.002481400437691054,0.0,0.0,-0.009938730853609176,0.039993382131361555,-0.017741589631436627,-0.004423626484533992,0.9999843339701326,-0.00016085373942234827,-0.00042808202447466967,-0.005578771026380363,-0.01327824027322231,0.006866320971685366,-0.11556971824723195,0.0,0.0,-0.0008113196003527471,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0014,0.0017,0.0002,0.0062
1,1764656625.9758573,-0.004485109647602532,0.001771122859948391,0.43761654832153885,-0.003551178014631849,-0.019320740361562207,0.017475408874078637,0.0829357973418822,-0.0009038893540556009,-0.009,0.003,0.001,1.0,-0.001,0.001,-0.019,-0.04,-0.024,0.008,0.0,0.0,-0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038977290323174076,-0.01835376674977792,-0.001898169283251842,0.9998786893726568,0.010279771021991875,-0.010246016182210408,-0.005652609888142506,-0.03245342807017089,-0.013402557743677587,-0.05453146440532106,0.0,0.0,-0.0008988660021483865,0.03642900391184445,-0.01961788274369032,-0.004793150370328953,0.999954535572714,0.005148652175364257,-0.005655515704596233,-0.005695025061447695,-0.04264017467742384,-0.023012703818100055,-0.02822350637951699,0.0,0.0,0.0029985982757438773,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,24.007243000531826,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0025,0.002,0.0003,0.0067
2,1764656626.0426211,-0.002404498381038633,-0.0004375986198398268,0.43721314231694597,-0.003529770244080334,0.009842417626869174,-0.010822217041447542,0.05268503851722808,-0.00033685839907140157,-0.008,0.005,0.0,1.0,-0.001,0.001,-0.019,0.012,0.022,-0.011,0.0,0.0,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03850923453113171,-0.017154907705642153,-0.004135107783090773,0.9999839601191358,0.00029478703755648615,-0.00045135716839337427,-0.005638162977397637,-0.011751826996958793,0.0053766457976103695,-0.022121030855544434,0.0,0.0,0.002871472635859078,0.0377310658277276,-0.016773474985764696,-0.0040308182899375985,0.99998462554522,-0.0006327583838214713,-5.194933857092782e-05,-0.005508683261917918,-0.011565904523691432,0.006237021588890661,0.027102010428204995,0.0,0.0,0.004776708249421283,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,24.00916204319999,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0016,0.0018,0.0002,0.0065
3,1764656626.1123977,-0.0013292687224583856,-0.0024040066027450607,0.43406054246374604,-0.003515773234018804,0.005075585995271408,-0.009886739742006148,0.03888864352361874,-0.0003712362302023932,-0.007,0.005,0.003,1.0,-0.002,0.001,-0.019,0.014,0.002,0.042,0.0,0.0,0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03840032131712876,-0.016632890401029714,-0.0032891744511170558,0.9999840213683963,-0.000585712249148886,0.0006216684904132833,-0.005588155092708076,-0.0024482371210739207,0.005515342100549086,0.03117388084164141,0.0,0.0,0.004933813505808171,0.03826498838256635,-0.016226840244633063,0.00036376181290622214,0.9999851993332255,-0.0005483758442267388,-6.097455775272372e-05,-0.005412640808884362,-0.0018439863412321785,0.006615728192397627,0.07944735496930702,0.0,0.0,0.005636587770514245,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,24.011801384310754,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0016,0.0018,0.0032,0.008
4,1764656626.1898472,-0.002862041516871589,-0.0020007811875911536,0.42477772804654046,-0.003467357275855617,-0.007830022562373317,0.0017156262504264006,0.007843495721940291,-0.00019739186343641513,-0.009,0.002,0.024,1.0,-0.003,-0.009,-0.017,-0.022,-0.05,0.318,0.0,0.0,0.062,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03595696553877689,-0.019207747408878137,0.011932214482642074,0.9999845430585683,0.00018384086274594405,-0.0004572361026315796,-0.005538120767009793,-0.011827046634154587,-0.012295072087487768,0.13104439763349165,0.0,0.0,0.006972966373759282,0.03514352188023946,-0.020025705211961828,0.022118318610901924,0.9999854423404887,-6.60734067059044e-05,-0.0009272702156957997,-0.005315158638176354,-0.012709773930830295,-0.012185580089249061,0.1752877117344217,0.0,0.0,0.006516342130408637,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,24.06619859527245,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0027,0.004,0.0003,0.0185
5,1764656626.2477214,-0.0038961796547123777,-0.002511021436576541,0.4131552011249752,-0.0034039041480884375,-0.005528445878812892,-0.002801298893375829,-0.00501541860200834,-0.00011615402064605598,-0.007,-0.001,0.06,1.0,-0.003,-0.008,-0.016,0.026,-0.03,0.482,0.0,0.0,0.032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0363035520296637,-0.02053324124353795,0.038029270249624256,0.9999851203501358,3.6252448780827934e-05,-0.0007701422146710823,-0.005400430080442684,-0.0043074890138632815,-0.016119518656156916,0.23379218653273873,0.0,0.0,0.007112888884425641,0.03598209245576668,-0.021594763473118464,0.054613857733554594,0.9999860374772279,-0.0006250650913556796,-0.0008656161394441014,-0.005175408478879792,-0.005362551164112123,-0.015562856425111161,0.2639342238186243,0.0,0.0,0.006523458402010365,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,24.151628430605502,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0015,0.0028,0.0002,0.0122
6,1764656626.3189847,-0.004500199389971591,-0.0007600774036243523,0.38810586162917543,-0.0033532291989233414,-0.0035071211331351116,0.008440842485188874,-0.07360229733837692,-0.00017211327268557388,-0.01,-0.002,0.129,1.0,-0.004,-0.005,-0.016,-0.063,-0.029,1.19,0.0,0.0,0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031029454104934257,-0.02166240352071594,0.10301629912946547,0.9999848772840471,-0.0005788358487369663,-0.001171313871847929,-0.005342113447252171,-0.021780431664940314,-0.01771598650892947,0.42322263410683353,0.0,0.0,0.006518594542623931,0.0295270110987364,-0.022805071994909026,0.13186395792224465,0.9999853958156268,-0.0011693225097833533,-0.0012267716783747524,-0.005131848748902329,-0.0232990404058427,-0.01642529849105552,0.442162893213786,0.0,0.0,0.006198071707148631,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,24.449313359119348,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0028,0.0048,0.0002,0.0113
7,1764656626.3716795,-0.0032162040506258835,0.0012724030217654407,0.3659116505786432,-0.0033143484985095543,0.005857451772982087,0.01006739245149592,-0.06245782254901382,-0.00022475014779648286,-0.014,0.0,0.208,1.0,-0.005,0.001,-0.016,-0.054,0.038,1.182,0.0,0.0,-0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026081082760932437,-0.018715099327660592,0.1718352662737106,0.999984212391235,-0.0013384754779337013,-0.0013762629588528834,-0.005281037014123721,-0.03217512800964197,-0.003924128610543601,0.5624390920017871,0.0,0.0,0.005841075372546771,0.023889392945729712,-0.01891343678991554,0.20874760718984908,0.9999852381824058,-0.001707244504372008,-0.0008622894931125417,-0.005085783155940113,-0.033443483342841945,-0.0019580367287675288,0.5436283019078252,0.0,0.0,0.005854004492819285,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,24.713580990690236,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0013,0.0012,0.0002,0.0046
8,1764656626.4517882,-0.002354840850048943,0.0035335077991703752,0.34978859816282,-0.003282963774247161,0.0039047904965564687,0.011464574264745356,-0.03487630575678602,-0.00025736994100172773,-0.019,0.0,0.285,1.0,-0.005,0.004,-0.016,-0.076,-0.003,1.149,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01965465470511555,-0.018127959489739248,0.24239525680591034,0.9999842508467726,-0.0017395544738962397,-0.000996722526448852,-0.005241998937115833,-0.04379829327992096,-0.0011618755847068608,0.6382593867416548,0.0,0.0,0.005697514030777968,0.01671055664784305,-0.018138868770644516,0.2833446749223212,0.9999859650132438,-0.0015867467838584265,-0.0002258938460636859,-0.00504984981415835,-0.04434807785901684,0.0007828119991536413,0.5891117642727763,0.0,0.0,0.00575501365790684,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,24.94477684019742,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0026,0.0026,0.0003,0.0152
9,1764656626.510141,-0.0021741740899380996,0.008820719356834416,0.32482569356768887,-0.0032976920561630036,0.0006089786942981039,0.026877746263216495,-0.08109094820530298,-0.00048401188136010644,-0.037,-0.002,0.432,1.0,-0.006,0.013,-0.016,-0.159,0.032,1.174,0.0,0.0,-0.017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028913864615674146,-0.01811331885587845,0.3494650339593033,0.9999840561785069,-0.0015887300608905068,-0.0006378908299795429,-0.005381117064655485,-0.08013461947417208,-0.0022314282184373747,0.7653161039090839,0.0,0.0,0.005313813017444431,-0.002455299210430405,-0.018206156108969654,0.39838325145685327,0.9999854505895713,-0.001368312966931869,0.0004546066247035632,-0.0051980440180195405,-0.08002490720745759,-0.0006116499929256197,0.7016153815007375,0.0,0.0,0.0055575556877436455,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,25.406217587609554,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0015,0.0017,0.0006,0.0069
