step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765246717.8860843,0.0016763730639256787,0.001056084353656735,0.3723593178170656,-0.017634338957956207,3.034355752772359e-06,-9.72938460663906e-07,2.429933530778694e-06,-1.9538668282179962e-05,-0.009,0.016,0.002,1.0,-0.002,-0.0,-0.028,0.007,0.001,-0.001,0.0,0.0,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00925328330223743,0.0162589118201925,0.0025778611632753744,0.9996816747643065,0.0,0.0,-0.025229925493973935,-6.754221388494393e-05,-1.8761726079151974e-05,-9.756097561158625e-05,0.0,0.0,1.5009380863322684e-05,-0.009253184243290663,0.01624881047267865,-0.0019434273856635664,0.9996884389151023,0.00039039198727578074,0.00023030710460425968,-0.02495635494657755,0.00015135416873462764,-0.00043082812635021834,-0.09535749588636153,0.0,0.0,0.017315360446373593,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0021,0.007,0.0003,0.0168
1,1765246717.939243,0.0014590082936463606,0.0017508093441501937,0.37666765615380515,-0.017365367024130628,-0.0010868238513965884,0.0034736249524672928,0.021541691683697677,0.0013448596691278871,-0.009,0.016,0.003,1.0,-0.002,-0.0,-0.028,-0.0,-0.002,-0.003,0.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00941650211809689,0.016228661245247536,0.0006624301240411925,0.999685828399927,0.0006842431727604258,-0.0018610988220029037,-0.024986248594117202,-0.004257690660958778,-0.0008781689851619125,-0.035583543059809826,0.0,0.0,0.01656511687500495,-0.009761678448003228,0.016140143048127664,-0.0005975044525778389,0.9997046684675531,0.0007496536711136179,-0.0006226127221169543,-0.024282220181681198,-0.005643308351154962,-0.0017960172458125504,-0.00045451358547439827,0.0,0.0,0.024559992433915573,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.00388853398966,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-6.509146981983653e-07,3.925253780378531e-06,0.002,0.0018,0.0002,0.0056
2,1765246718.0091333,0.003015189165548351,0.0007707615178734791,0.37574188962357097,-0.016919512894567973,0.0077809043595099495,-0.004900239131383571,-0.0046288326511711025,0.002229270647813247,-0.008,0.018,0.002,1.0,-0.001,0.0,-0.028,0.018,0.03,-0.004,0.0,0.0,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008871700619151759,0.01733058932419546,-0.000677377426343957,0.9997032305098369,-0.0012772914856958183,0.000807749227821578,-0.024313925553918286,0.00504446500032886,0.012554268238756303,-0.0013761273598358683,0.0,0.0,0.02435593036012953,-0.008494349750662229,0.018206027465168022,0.0008657935307361891,0.9997249525905483,-0.0002137354327082174,0.0007444694723321851,-0.02343969390149171,0.0061963287326228834,0.013311456041877341,0.04835458822238689,0.0,0.0,0.027653074838832614,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.00373447720804,0.0,0.08,100.0,100.0,0.5,55.0,0.08,5.79947467785083e-05,-3.535894450437571e-05,0.0012,0.003,0.0011,0.0108
3,1765246718.0748336,0.002630080819295945,0.002266164341882591,0.3727520978344423,-0.016441307980452294,-0.00192554173126203,0.007477014120045557,-0.014948958945643426,0.002391024570578383,-0.01,0.018,0.006,1.0,0.006,-0.004,-0.028,-0.06,-0.002,0.104,0.0,0.0,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010882359250819748,0.017102368244377157,0.0013905442212910704,0.9997219329345342,0.0002715773844515046,-0.00024056984327615902,-0.023578065686432014,-0.01229881396118853,0.00475431702144608,0.05109006097240957,0.0,0.0,0.026136483386116058,-0.011708176230222495,0.01739298587574735,0.006363943866832575,0.9997425675536266,0.0008997048695448714,-5.381366397114232e-06,-0.022671328224680164,-0.012385972433072621,0.0037899704310739076,0.09808197223106158,0.0,0.0,0.027960984398371885,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.005067434747392,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-3.2231420836646256e-05,0.0001373934192309475,0.002,0.003,0.0002,0.0069
4,1765246718.1470323,0.0009512925329087443,-0.0008409110136817308,0.37152848448086867,-0.01587545820622077,-0.008393941431936006,-0.01553537677782161,-0.006118066767868323,0.0028292488711575982,-0.004,0.016,0.005,1.0,0.008,-0.006,-0.026,0.128,-0.052,-0.021,0.0,0.0,0.082,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005707458984321961,0.015037475182426142,0.002527851069448177,0.9997416404789413,0.0011961426558029663,0.0008223212484626001,-0.022683591492236747,0.02175301756971454,-0.009723340659930997,0.08096761688952944,0.0,0.0,0.029244028624831553,-0.0042177705079027815,0.014333328731942048,0.009284811062531314,0.9997629857895581,0.0011863174300046947,0.0009892774910783412,-0.021716036151855595,0.022954471407208202,-0.011365183912572005,0.12148287557991955,0.0,0.0,0.02884506807903761,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,27.992975459853017,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0002900906272111376,-0.0006106299626694625,0.002,0.0056,0.0025,0.0105
5,1765246718.2139642,0.0049348438622735585,-0.004857758278262635,0.3511325565912637,-0.015394826364656637,0.01991775664682407,-0.02008423632290452,-0.10197963944802509,0.002403159207820677,0.004,0.024,0.074,1.0,0.007,-0.002,-0.026,0.073,-0.009,0.669,0.0,0.0,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011583625405449638,0.023866641692430593,0.054332431219619996,0.9997547714139258,0.0006773615573457273,0.0014401752691741716,-0.0220876461308987,0.047431219563022965,0.03285962572501837,0.2841632307373533,0.0,0.0,0.0269947723670869,0.0043640284212816405,0.026030283426661166,0.07470676927821682,0.9997754780100061,0.0004944640457800302,0.0003402892922778357,-0.021180965000890357,0.04837833929023483,0.03210339061467181,0.3269894627799348,0.0,0.0,0.02728888256295045,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.15607179005746,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.001343618897049356,-0.0014069456901587849,0.002,0.0072,0.0002,0.0114
6,1765246718.2688208,0.005600001253743739,-0.006787204451480124,0.3414370068433893,-0.01490148675251005,0.003325786957350904,-0.009647230866087443,-0.048477748739371954,0.002466698060732935,0.006,0.023,0.095,1.0,0.006,-0.001,-0.026,0.053,-0.03,0.652,0.0,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00459337639957643,0.023490348499325443,0.08608590983548237,0.9997722297792293,0.0006250984219682619,0.00037787608298589634,-0.021329674725524685,0.049200637913970134,0.02171574586601626,0.3627775510521796,0.0,0.0,0.02667076636912127,0.007858304543526068,0.024895242419097366,0.11032917761162198,0.9997889715754819,0.0017189131975486336,-0.0011556976121098689,-0.020438248860631458,0.04832542283197774,0.02013964680119472,0.3624358639312464,0.0,0.0,0.026691401976864537,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,28.20375452759336,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0007722728304342157,-0.0014715869783206929,0.0021,0.0015,0.0002,0.0043
7,1765246718.3384778,0.0013941533214561807,-0.006260160450279772,0.3345056397319682,-0.014419850901620767,-0.02102923966143779,0.002635220006001761,-0.034656835557105775,0.00240817925444641,0.004,0.007,0.156,1.0,0.006,-0.001,-0.025,-0.044,-0.239,0.616,0.0,0.0,0.035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004431240206456771,0.014752161070276047,0.1261883194377019,0.9997828049307774,0.0021211445577273406,-0.0012718645471702123,-0.02069362392347187,0.03535671680775709,-0.017840212641155026,0.40695976603007233,0.0,0.0,0.025975304306278882,0.0067119862307485,0.013471738638356177,0.15289790987522583,0.9997978682066275,0.0023987643982769044,-0.0023161186906008806,-0.01982685686274603,0.03282053925732323,-0.020604457050352284,0.3933571900966504,0.0,0.0,0.02590040457946885,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,28.27527973082268,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0020271464116527267,-0.0006371840203000268,0.0011,0.0012,0.0002,0.004
8,1765246718.4066956,-0.002863410873825685,-0.005408788980536703,0.3337901931749299,-0.013909089720574135,-0.021287820976409334,0.004256857348715338,-0.003577232785191311,0.002553805905233166,0.004,0.002,0.169,1.0,0.007,-0.002,-0.025,0.003,-0.149,0.414,0.0,0.0,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00552677266640261,0.008379533233257064,0.15408745811350902,0.999795768188552,0.0025781456128124067,-0.0023548667248224566,-0.019905518837011936,0.028654848431193602,-0.03853880724490323,0.3957517661302851,0.0,0.0,0.02534065274455528,0.007333918569702058,0.005729232829406041,0.1796366031869583,0.9998137600716448,0.0014127539154225547,-0.002626195819568442,-0.019067049936771698,0.025532955387586334,-0.040626396508009976,0.3700421824412361,0.0,0.0,0.025152119430716074,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,28.279302433253335,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.003657755291930783,-0.0003310060692598304,0.0019,0.0018,0.0002,0.0081
9,1765246718.4741673,-0.007859314209031396,-0.0029584658578685062,0.33237125927909905,-0.01343723119953832,-0.024979516676028546,0.012251615613340986,-0.007094669479154027,0.0023592926051790772,0.001,-0.009,0.211,1.0,0.007,-0.002,-0.025,-0.06,-0.188,0.451,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022722128092682627,-0.0016502731516688223,0.18815930198303848,0.9998088394123847,0.0016833676441752989,-0.0028189636553473192,-0.019274448115177964,0.007897050251670852,-0.06557353985193315,0.39014713925118216,0.0,0.0,0.02464899318218305,0.0026879415409427083,-0.006054076014887742,0.21336387016014913,0.9998258999876121,3.5663191537524896e-05,-0.002695473533539612,-0.01846355503494561,0.004646403003442663,-0.06609520184680426,0.3659602624569165,0.0,0.0,0.024342578584909735,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,28.320534060337256,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.006343520208444663,0.0014302215399144703,0.0018,0.0042,0.0003,0.008
