step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1764656530.0234377,0.00034849090800992367,0.0011962236341999067,0.43152891408097926,0.003442916684171628,8.585081039627217e-05,0.0002755831567073533,0.05385889257097172,0.00043249944071183663,-0.015,0.004,0.002,1.0,-0.0,0.001,0.007,-0.018,-0.002,0.006,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015406060606994327,0.004593939394217818,0.0011636363637068856,0.999980290057841,0.0,0.0,0.006278494711030591,0.00025454545456086525,-0.0002303030303169843,0.00018181818182920375,0.0,0.0,-1.2121212121948224e-05,-0.015384421861162928,0.004577143385555834,-0.0038215777529802316,0.9999805807943878,6.733925392230233e-05,0.0002381080012740216,0.006227102385789569,0.0004688807095510261,-0.0002953327839891768,-0.11331557889679426,0.0,0.0,-0.0034011661083040608,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0017,0.0021,0.0002,0.016
1,1764656530.0906157,0.00038169503014905847,0.0013062353301215904,0.44268300389941484,0.0036248210120296185,0.00020958197419691443,0.0006995864338834051,0.1097115633523002,0.001339886224811402,-0.015,0.004,0.002,1.0,-0.0,0.001,0.007,-0.018,-0.002,0.006,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015384421861162928,0.004577143385555834,-0.0038215777529802316,0.9999805807943881,6.733925392230233e-05,0.00023810800127402156,0.006227102385789569,0.0004688807095510261,-0.0002953327839891768,-0.11331557889679426,0.0,0.0,-0.0034011661083040608,-0.015339824626476248,0.004553584599114556,-0.011741216422219002,0.9999814052869895,0.00010563467216110242,0.0003730880806224873,0.006085945025873869,0.00091018728937616,-0.0004223629543077265,-0.11409986926381441,0.0,0.0,-0.004884358989718573,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,24.0,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0,0.0,0.0022,0.0083,0.0002,0.0089
2,1764656530.1652925,0.0006217507552135381,0.0014382034644091443,0.4386025095810665,0.0034994872628499435,0.0012479905040910298,0.0008231200877029667,0.03493290389568506,-0.00017356611939467112,-0.016,0.004,0.002,1.0,-0.0,0.001,0.007,0.017,-0.01,0.003,0.0,0.0,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015570522015258352,0.004758207929162881,-0.0032539045150476154,0.999981131574184,-0.00040680249973812724,-0.00015186131858705833,0.006127637838586546,-0.0017665939068525986,0.002205832924527298,-0.03344684035002054,0.0,0.0,-0.004839918324873286,-0.015688832347834324,0.004918897362221881,-0.0035809582807565816,0.9999822677684398,-0.0001306126886695393,0.0002178831749827127,0.005949757636742469,-0.001667139613719026,0.002526294617965417,0.02588931810692026,0.0,0.0,-0.005726750618151134,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,24.017514040227766,0.0,0.08,100.0,100.0,0.5,55.0,0.1,3.231603472464598e-06,3.015924293515712e-06,0.0057,0.0021,0.0002,0.0203
3,1764656530.2181427,-0.004514752314177281,0.0013926775656494536,0.42433275028429884,0.0035981350532911928,-0.0256047965025524,-4.7854060747311105e-05,-0.016523482786204635,0.000930674860062489,-0.015,-0.002,0.023,1.0,-0.002,-0.006,0.008,0.005,-0.116,0.409,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015354270274907456,-0.0009131059830714315,0.012740168789393097,0.9999756778426793,0.0034976144421572527,0.0004053266963591191,0.0060204756089010875,0.0009519312418870022,-0.044072088087641625,0.12513602548091324,0.0,0.0,-0.00439309439087216,-0.01526858598284226,-0.003983530600234221,0.022770305986336725,0.9999807589684169,0.0019783561553978583,0.0005234054002829874,0.005856094830035749,0.0016425042489642558,-0.047532242137409336,0.17648282274972904,0.0,0.0,-0.005350972992555925,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,24.07250233920265,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-0.0003370676681971925,-1.1674657139676274e-05,0.0015,0.0016,0.0002,0.0113
4,1764656530.2910671,-0.003658794307799222,0.004866940777322233,0.41207371646258517,0.0036628367323429797,0.0037154459926181348,0.017545400754070076,-0.008253575323030556,0.0007732752769203347,-0.02,0.0,0.045,1.0,-0.0,-0.011,0.009,-0.1,0.041,0.453,0.0,0.0,0.051,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02082130753417173,0.0008517261193459191,0.03579297596018764,0.9999815477790395,0.0009872375497079577,-0.0007022362270212569,0.005952841988374056,-0.031092340706612674,-0.018993834823818233,0.23571995010746244,0.0,0.0,-0.00399380277702288,-0.0229137132745931,-0.00042407540457183295,0.05243104757801445,0.9999830750005765,-0.0005206787891443994,-7.672216901767713e-05,0.005794197071121475,-0.031490447938264804,-0.018888776333737894,0.26318127739060815,0.0,0.0,-0.005314874126003972,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,24.1292329122415,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.00014758565509115032,0.0005267140227650888,0.0022,0.0063,0.0003,0.0088
5,1764656530.350986,-0.003891944319003946,0.003980242218438561,0.3927613639877646,0.0036871245814377087,-0.001623099344498522,-0.0038251251972530763,-0.04505254781628014,0.0005792938370165221,-0.018,-0.003,0.121,1.0,-0.003,-0.01,0.009,0.019,-0.034,0.762,0.0,0.0,-0.023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018255290084498103,-0.0017687782087884765,0.08614839787084223,0.9999819637785168,-0.00029672253312491864,0.0003774909630710212,0.005986783274208003,-0.009556573762004549,-0.02516230866463667,0.3892720470774227,0.0,0.0,-0.005168421058277428,-0.018857234028933474,-0.003416007299389302,0.11253632818995368,0.999981954008595,-0.0007667683542534428,0.0013551283341740796,0.005802357334813945,-0.00825990836567533,-0.024154003847822986,0.4022638140832391,0.0,0.0,-0.005886371637225579,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,24.303231589515466,0.0,0.08,100.0,100.0,0.5,55.0,0.1,-2.8143942707912727e-05,-0.00011327805243499617,0.0014,0.0044,0.0003,0.0072
6,1764656530.4235828,-0.002716914535883687,0.004963923665242861,0.37042080791321874,0.0036701985407818203,0.005388655875725802,0.005415937511326321,-0.06260760987425869,0.00037626036940027253,-0.022,-0.002,0.191,1.0,-0.003,-0.004,0.008,-0.082,0.035,1.341,0.0,0.0,-0.038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022258483268730395,-0.0007128698818926753,0.15329354349791413,0.9999814955883306,-0.0009320129454424306,0.001159523526775241,0.005898757325570118,-0.02255216152692694,-0.012946647351702612,0.5402723994268676,0.0,0.0,-0.006648043423726197,-0.02370726238567368,-0.0015264475914014653,0.18888773165558626,0.9999820920835685,-0.001268694799880435,0.0013952008234799057,0.0056797306570210825,-0.020870644755520362,-0.011403600574393373,0.5267780897208527,0.0,0.0,-0.006550260799956388,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,24.563269020253216,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.000545345710793604,0.000583010457207291,0.0023,0.0049,0.0003,0.0094
7,1764656530.4834135,-0.001458973438065292,0.00649576580200852,0.3573868102183337,0.003622005099295268,0.005950091172106515,0.008279701141983651,-0.018867387485273043,0.00021780761016496856,-0.026,-0.001,0.243,1.0,-0.003,-0.001,0.008,-0.082,0.02,1.032,0.0,0.0,-0.027,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026596762873247796,-6.364830762158004e-05,0.21222466725997627,0.9999817019819927,-0.001361868416224303,0.0012730411898790894,0.005755030994107127,-0.03186947098941521,-0.005892193535075902,0.5988060600567796,0.0,0.0,-0.007035493567393472,-0.02866330604167426,-0.00040245582899619474,0.2506146797849883,0.999982334580209,-0.0012490518517609614,0.0017933651431596724,0.005527588845929908,-0.030018293250237443,-0.004321846305361485,0.5517898624099944,0.0,0.0,-0.006695487825782005,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,24.726605566775017,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0009369079334902888,0.0013350996826796955,0.0017,0.0044,0.0003,0.0067
8,1764656530.5563622,-0.0013936495824777284,0.010567300397391208,0.34184826689351316,0.0035735313578627082,0.00014424759817965697,0.021169643702164495,-0.033019365346810894,0.00021038193024911053,-0.041,-0.003,0.336,1.0,-0.004,0.005,0.008,-0.214,-0.035,1.373,0.0,0.0,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037692753404818355,-0.0019277155752447507,0.28967384070166363,0.9999822261185712,-0.0012236011972896297,0.0014412584228742666,0.005654469136462364,-0.06140144546610646,-0.00967287395313458,0.6660326954078839,0.0,0.0,-0.006385120783683221,-0.041719244925924825,-0.0025303677504760584,0.33211553835691343,0.9999821975509703,-0.0009613563281176097,0.0022497703950503677,0.005442325634516829,-0.05921395391403153,-0.008477370624844261,0.6069094416546263,0.0,0.0,-0.00635762505060973,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,25.019754898873458,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.0005111637518434007,0.00403810687566589,0.0023,0.0042,0.0003,0.0127
9,1764656530.6217182,0.0008889489469795025,0.014974264659303982,0.3296704821411964,0.0035247246135086123,0.01123878644947644,0.023355733859237768,-0.01815789039989464,0.0002026576979623605,-0.055,0.003,0.43,1.0,-0.004,0.008,0.007,-0.214,0.038,1.086,0.0,0.0,-0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048987661351268016,0.0032549826540071007,0.3658513574253347,0.9999818450399012,-0.0012355855593147722,0.001979512735931889,0.005555578120142074,-0.08345045481259361,0.011147357804123837,0.6982624911013985,0.0,0.0,-0.006919347620864321,-0.0544558740435801,0.00403877134134554,0.4097499835243419,0.999979027973174,-0.0010502485484840598,0.0035217942382621634,0.00533268761095381,-0.0802651321347089,0.012316907088440972,0.6181165136328857,0.0,0.0,-0.006543499364115024,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,25.269829795544197,0.0,0.08,100.0,100.0,0.5,55.0,0.1,0.002553495112915544,0.006516935450866591,0.0016,0.0017,0.0058,0.0089
