step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765248881.553253,0.0012826021481174776,0.0010508910646604766,0.3726091784158021,-0.0005276188715405743,0.00017353612431049122,0.0001983319062827272,-4.4179693429069467e-05,-5.263276370299266e-06,-0.016,0.018,0.0,1.0,-0.002,-0.002,-0.001,-0.001,-0.006,0.008,0.0,0.0,0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012069364162547377,0.013884393064386305,-0.0008092485549600742,0.9999995988967622,0.0,0.0,-0.0008956597092536059,-0.0002890173410571742,0.0008439306358869342,0.00021965317920344784,0.0,0.0,-0.0001040462427805765,-0.012083813339213406,0.013934171557495094,-0.005297429392834932,0.999999534605776,0.000289053053240469,0.0002338861540564679,-0.0008902436917026899,-6.064353740295713e-05,0.0005421970165854567,-0.09465477741562445,0.0,0.0,0.0004717176654586391,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0013,0.0018,0.0003,0.0099
1,1765248881.633273,0.0015500655389107658,0.00013001259248273636,0.3773630414801624,-0.0005608421276243403,0.0013373169539664406,-0.0046043923608887006,0.023769315321801904,-0.0001661162804188301,-0.015,0.018,0.0,1.0,-0.002,-0.002,-0.001,0.016,-0.004,-0.014,0.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01194340744182755,0.014074260174484293,-0.0028666279272985505,0.999994867473092,-0.00014075146098006558,0.003072905642043225,-0.000895805455855877,0.0061269024291550804,0.0014194593891077045,-0.04041297179996321,0.0,0.0,0.0003238782538069762,-0.01142267814139971,0.014167798365107273,-0.004436427890833979,0.9999981195291793,0.0002567403382871818,0.001709140073860963,-0.0008796946697773638,0.008975935913709245,0.0012490703008751162,-0.004901928725307524,0.0,0.0,0.0006598652154102156,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.003428959297935,0.0,0.08,100.0,100.0,0.5,55.0,0.08,6.017028320758999e-07,-5.6143515181384675e-06,0.0024,0.0057,0.0003,0.0169
2,1765248881.682868,0.001169290479897473,0.0003235691403552694,0.3761673805954484,-0.0005395665417840058,-0.0019038752950664639,0.0009677827393626648,-0.0059783044235701376,0.00010637792920167272,-0.016,0.018,0.0,1.0,-0.002,-0.002,-0.001,-0.005,-0.005,0.004,0.0,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012014276449241433,0.014009838449568856,-0.00413505687573811,0.9999990821243819,0.0006279186628712818,0.0008174465728535927,-0.0008793461474667709,0.0025221258957138174,-0.0014199948023162264,-0.002678226704187845,0.0,0.0,0.0006676520753345928,-0.011821800967975936,0.01388502516876075,-0.0026327341561559834,0.9999992637399873,0.0006838820604321199,0.0005252360941716038,-0.0008537867742467524,0.0031872329867951507,-0.0023239331768696043,0.04848083459881322,0.0,0.0,0.0008489757594275079,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.003901539539406,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-1.0675036976350914e-05,1.9287884395303383e-05,0.0016,0.0018,0.0002,0.0072
3,1765248881.7509904,0.0018752605697443044,0.004454654772758056,0.36803015360478825,-0.0005522592071213367,0.003529850449234157,0.02065542816201393,-0.04068613495330083,-6.346332668665466e-05,-0.021,0.019,0.02,1.0,0.003,-0.015,-0.001,-0.095,0.01,0.326,0.0,0.0,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016478302125874904,0.01502071520930532,0.006896714786729452,0.9999986586470804,0.0002860878500548874,-0.00136127887351595,-0.0008647413546611994,-0.03198952661919797,0.0054825859095933675,0.10381493377325236,0.0,0.0,0.0008085237125142742,-0.018660725244430368,0.015371468086026449,0.015428130556866898,0.9999994562692408,0.00042490633972049513,-0.00045502300272491484,-0.0008365822687819833,-0.0331195469086141,0.004990162436082255,0.15207081551608348,0.0,0.0,0.000879419846964092,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.02727079834429,0.0,0.08,100.0,100.0,0.5,55.0,0.08,5.990189645150299e-05,0.00035236522310175874,0.002,0.0034,0.0003,0.0061
4,1765248881.8298595,0.0011212796820425238,0.0031193746592992565,0.3483114999766882,-0.000520470857204738,-0.003769904438508904,-0.006676400567293997,-0.09859326814050058,0.00015894174958299334,-0.02,0.017,0.078,1.0,0.005,-0.017,-0.001,-0.005,-0.019,1.035,0.0,0.0,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014037075671313418,0.013936966346108843,0.049999971774136495,0.9999993572879289,0.0007263025119787957,0.00021588125562192048,-0.0008433882105664823,-0.004903319426707944,-0.004093424026509033,0.30681886841964306,0.0,0.0,0.0017235426455558898,-0.014332625297015407,0.013630287275893743,0.07160160233362364,0.999998360113043,0.0008616896613138818,0.0013803343758796642,-0.0007949460126436855,-0.0036361613240083225,-0.0051317271781382255,0.3404323138532539,0.0,0.0,0.0012986537199016586,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,28.13644694047803,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.00013871849788498955,-0.0002690982647875108,0.0017,0.0021,0.0003,0.0208
5,1765248881.8904462,-0.0011884367488114926,0.004804096206098417,0.30717951668721505,-0.000531285760869408,-0.011548582154270078,0.008423607733995798,-0.20565991644736553,-5.4074518323349665e-05,-0.021,0.016,0.171,1.0,0.004,-0.013,-0.001,-0.201,-0.171,2.366,0.0,0.0,0.011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01872788142655894,0.0103800296371509,0.16023563693608764,0.9999979371200062,0.001371215207975559,0.0012454587245771304,-0.0008332809557451845,-0.02477298191156237,-0.022297907172777773,0.6736102916568417,0.0,0.0,0.0013525586445535254,-0.0203242744434583,0.008844429701729113,0.20524350547791648,0.9999984639835404,0.0009272557220349589,0.0012587657527976075,-0.0007922980282020678,-0.023141993412488487,-0.023613853491762787,0.6745931290155402,0.0,0.0,0.001096718586198378,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.48276488787226,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0008157570589735375,0.0005616496444713819,0.0044,0.0026,0.0002,0.0116
6,1765248881.9503636,-0.0007146401363526849,0.0013022070186375612,0.2781045727724799,-0.0005486890069396601,0.002368983062294038,-0.017509445937304278,-0.14537471957367568,-8.701623035126113e-05,-0.012,0.018,0.296,1.0,0.003,-0.014,-0.001,0.118,-0.059,1.789,0.0,0.0,-0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011681953847047226,0.012489603195105017,0.2662631332377622,0.9999974465581145,0.000937177855546821,0.0018773200166279048,-0.0008391927510053962,0.015008155833284504,-0.009032549625157846,0.8766651085851433,0.0,0.0,0.00046129054319018174,-0.010607741474074596,0.011867737072460076,0.32224222151442294,0.99999723982844,0.00011690248715652965,0.002199871401483964,-0.0008168446159078315,0.017248096064706495,-0.00941575498855833,0.798368056037742,0.0,0.0,0.0007254333032999036,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,28.761578779456393,0.0,0.08,100.0,100.0,0.5,55.0,0.08,4.851942332622316e-05,-0.001691113259808774,0.0018,0.0022,0.0023,0.0059
7,1765248882.0197802,-0.005452402211045612,0.002417911956711679,0.24099595662698003,-0.000516407423607033,-0.023688810373464632,0.005578524690370592,-0.18554308072749962,0.0001614079166631356,-0.018,0.006,0.472,1.0,0.002,-0.011,0.0,-0.132,-0.229,3.053,0.0,0.0,0.039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01711565424870507,0.001622817690249247,0.42775496268462154,0.9999965842670656,0.000791267387278477,0.002348223740032489,-0.0008313816153236117,-0.010012613114156882,-0.053478813143855206,1.1179105574875285,0.0,0.0,0.0022534963001796552,-0.017718473478678186,-0.00195955492720301,0.4983728694114904,0.9999987529071259,0.00032964888732652593,0.001339496940612013,-0.0007689367659152612,-0.008334435489701537,-0.053874798721177536,0.9975112443602683,0.0,0.0,0.0015279114162036877,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,29.2985620643482,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0033310140201253677,0.0004690080612442315,0.0013,0.0017,0.0008,0.0109
8,1765248882.0792835,-0.005501471245967986,0.0029277341634979396,0.20137501491029583,-0.0005452470876255391,-0.0002453451746118763,0.0025491110339313046,-0.198104708583421,-0.00014419832009253075,-0.02,0.012,0.733,1.0,0.001,-0.004,-0.002,0.048,-0.098,3.529,0.0,0.0,-0.026,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01787264951822339,0.004061525201173817,0.6237257078864487,0.9999980426320624,0.0002579593540895687,0.0017524396990803357,-0.0008815577785226557,-0.008392101981889957,-0.03205182289270485,1.3449346813578098,0.0,0.0,-0.0005285244011677256,-0.018385409324122637,0.0019393818495337294,0.7073581318130695,0.9999973462968285,-0.001366521921858457,0.001632544665511774,-0.0008802357943027647,-0.007035069363012181,-0.03130065830903049,1.1599532928870446,0.0,0.0,0.0002696019675618724,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,29.9692389404578,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0012859963864924155,0.0005752372075768621,0.0014,0.0014,0.0002,0.0047
9,1765248882.1519654,-0.005656715528231118,0.005384594050018345,0.17542263621755858,-0.0005805798328129663,-0.0007762214113156566,0.012284299432602022,-0.12976189346368605,-0.00017666372593713598,-0.026,0.008,0.89,1.0,0.001,-0.002,-0.002,-0.124,-0.246,3.301,0.0,0.0,0.036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023683133583817302,0.0022343078827607495,0.8067176133775361,0.9999971693272949,-0.001376296990053321,0.0016833011326033538,-0.000966251152578584,-0.0280447839007031,-0.032761271837031265,1.4232904687478802,0.0,0.0,0.00022990237073096267,-0.025513272373560575,9.430395042927511e-05,0.8931646551283725,0.9999963166879884,-0.0019166110527086106,0.0016711458643056678,-0.0009489383695174943,-0.026877567031380195,-0.031384545161598026,1.165669336743441,0.0,0.0,0.0006413077339853359,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,30.534537240968525,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0014411031392140426,0.0028636186603008245,0.0021,0.002,0.0003,0.0095
