step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765247933.5877414,-0.0031237257163042108,0.026719192020929844,0.37173517140282586,-0.009731309646618874,8.099482903113457e-06,8.576003391741471e-07,-6.626936825918084e-06,-4.803740487814611e-05,-0.255,-0.024,0.014,1.0,-0.005,0.001,-0.016,-0.0,-0.002,0.003,0.0,0.0,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2536062992325672,-0.024031496064884195,0.013511811024686023,0.9999065142323448,0.0,0.0,-0.013673433940373209,0.0004409448819244802,0.00015748031497302755,0.00014173228347573224,0.0,0.0,0.0001417322834757252,-0.2534503305457825,-0.024008037558885018,0.008977025724694991,0.9998898301655665,-0.0006197430035138811,0.0061085612525895614,-0.013514027138776284,0.006444138457708512,0.0007610138793201653,-0.09608667900525084,0.0,0.0,0.009607428471676838,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0012,0.0017,0.0002,0.0184
1,1765247933.6415837,-0.0030451737914751866,0.02596965413763741,0.37622486696773005,-0.009576946350579141,0.0003927596241451183,-0.0037476894164621445,0.022448477824521126,0.000771816480198661,-0.255,-0.024,0.014,1.0,-0.005,0.001,-0.016,0.002,0.001,-0.004,0.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2537095058603677,-0.024030533745034423,0.011574475226814688,0.9998992051325143,-0.0003459277719973825,0.003933337183561441,-0.013637769903585584,0.000764781990730949,0.00012555106785303038,-0.03834895663063763,0.0,0.0,0.009180194344163723,-0.2534014729941406,-0.024000723737320623,0.010084872101087487,0.9998754597010682,-0.0008370951060241336,0.008545710675044926,-0.013241419426153703,0.009988337980917354,0.0009192841467667236,-0.004567703263664674,0.0,0.0,0.013571591798131138,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.00365957651695,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-7.784076549038482e-07,5.406945903483149e-06,0.0013,0.0015,0.0002,0.0056
2,1765247933.7081735,-0.0015270912487289276,0.026638324078075766,0.3700410204511297,-0.009281808905814344,0.0075904127137312975,0.0033433497021917724,-0.030919232583001565,0.0014756872238239854,-0.256,-0.023,0.022,1.0,-0.005,-0.004,-0.015,-0.045,0.047,0.288,0.0,0.0,0.018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25504379681096945,-0.023096392440146444,0.016571052772555918,0.999888383400819,-0.002494651192161422,0.006147975152540245,-0.013386555085236378,-0.009973518285797251,0.012372405846748138,0.0554872217841917,0.0,0.0,0.013421297141299415,-0.2553724580301686,-0.02217514616270519,0.021894252342838094,0.9998703805674632,-0.0018374958538453323,0.009455171392506751,-0.01290137228367187,0.0011489896160141056,0.014985630782593531,0.10484613528639425,0.0,0.0,0.015244666636463178,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.016953940379867,0.0,0.08,100.0,100.0,0.5,55.0,0.08,4.215024799689632e-05,9.022789265976592e-05,0.0013,0.0017,0.0002,0.0053
3,1765247933.7819252,-0.0015893133009025273,0.025919077828403102,0.34941066953554356,-0.009068310472897731,-0.00031111026086799547,-0.003596231248363311,-0.10315175457793038,0.0010674921645830672,-0.257,-0.024,0.072,1.0,-0.004,-0.003,-0.014,0.01,-0.006,1.034,0.0,0.0,0.047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2557412212903505,-0.02327423172061617,0.05173593777654263,0.9998516233162794,-0.001718231465824196,0.01084878632557318,-0.013269621987560556,-0.001915033112613102,0.006322466237250003,0.2836540288787197,0.0,0.0,0.015939761277779407,-0.25537379882862443,-0.02279831946345591,0.07189576011611007,0.9998459949265525,-0.0011184492368590975,0.01201447003770556,-0.01274315543144607,0.013128492072722146,0.007766134806639208,0.3205542491506792,0.0,0.0,0.016030221356781407,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.101370670173605,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-7.461056513112467e-05,0.0001694896946533246,0.0013,0.0058,0.0003,0.0083
4,1765247933.841478,-0.0006390938717384117,0.02268457228858061,0.30924312235687945,-0.008983108920523826,0.004751097145820577,-0.016172527699112475,-0.20083773589332074,0.0004260077618695327,-0.252,-0.022,0.19,1.0,-0.004,-0.001,-0.014,0.028,0.008,2.156,0.0,0.0,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25264990693156997,-0.02157322380719153,0.1466790087817365,0.9997713362307583,-0.0019618214862587094,0.016519199909958534,-0.01343661200433753,0.028123590722349597,0.015389767170607778,0.6621565608943655,0.0,0.0,0.015913450694470234,-0.2501288958451441,-0.020489678840126438,0.1908885460921499,0.9998073029648578,-0.001342289446055237,0.014715175020498145,-0.012923576180621746,0.04667174126433846,0.016921933166122463,0.6620262597541773,0.0,0.0,0.01582455793352705,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,28.370856203680727,0.0,0.08,100.0,100.0,0.5,55.0,0.08,8.662562714077156e-05,2.2518828107200017e-05,0.0015,0.0016,0.0002,0.0053
5,1765247933.913568,0.0027899823381822984,0.0186730025334182,0.2603654287720194,-0.009051337527987405,0.017145381049603548,-0.02005784877581207,-0.24438846792430027,-0.00034114303731788134,-0.246,-0.014,0.379,1.0,-0.004,0.001,-0.014,0.129,0.136,3.039,0.0,0.0,-0.033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2478152244931311,-0.015414928716744113,0.29605844588747765,0.9996851491281109,-0.0024908550477707784,0.020790139431550773,-0.013826364534986089,0.057185172033099765,0.04308208946801069,1.0592282363655785,0.0,0.0,0.01511249721695956,-0.24332436190131557,-0.012482475855261965,0.3643704119290858,0.9997786482307606,-0.0013374963520547897,0.016203733298085582,-0.013353077270271093,0.07597862052700097,0.04457498563469914,0.9859262577793473,0.0,0.0,0.015414734300720892,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.818487226474566,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0011404088574699506,0.00018880864532544672,0.0013,0.0012,0.0011,0.0103
6,1765247933.983318,-0.007801219111949139,0.01797119806682191,0.2018273038203796,-0.009465724948582922,-0.05295600725065718,-0.0035090223329814346,-0.29269062475819907,-0.0020719371029775807,-0.243,-0.022,0.609,1.0,-0.004,0.005,-0.013,0.079,0.081,3.27,0.0,0.0,-0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24910847487994256,-0.03729736898034424,0.5134603542517425,0.9995913737546271,-0.000665737786173846,0.024329414964237024,-0.01499072633449492,0.04862970429771259,-0.07065089295543169,1.4874259858020997,0.0,0.0,0.01926348767311016,-0.24521869969241417,-0.042018023572631874,0.6075360120253779,0.9997475009343079,0.0004786127440934606,0.01722387547569744,-0.014423710307857978,0.06609703780210402,-0.07115759102232708,1.329590485179578,0.0,0.0,0.017326919140313993,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,29.543072798522225,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.00620703730200395,0.0030324517307420383,0.0021,0.0037,0.0003,0.0109
7,1765247934.049737,-0.008852615511911039,0.015725429134637915,0.1580543665988051,-0.009592490699968668,-0.005256981999809507,-0.011228844660919985,-0.2188646861078725,-0.0006338287569287462,-0.237,-0.015,0.862,1.0,-0.004,0.008,-0.014,0.094,0.126,3.656,0.0,0.0,-0.031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24321449197163036,-0.031999724514214886,0.7392698826976314,0.9996125915855263,-0.00010933562741091881,0.02321189348447926,-0.01535782504958465,0.07451199071135353,-0.03152117417583444,1.7237098712794778,0.0,0.0,0.015155144228724082,-0.2377678095681175,-0.034087263947649715,0.8454809714767233,0.999741176795754,-0.0025210022066672628,0.017096479575484304,-0.014796430415480599,0.08752431851152143,-0.03069915065524123,1.4561427250067434,0.0,0.0,0.01600164600140619,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,30.21468363409315,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.003426484459919969,0.0041075466791975004,0.0021,0.0029,0.0003,0.0115
8,1765247934.1098142,-0.01125258499279539,0.017058009804857895,0.12775426469998544,-0.009772356495234495,-0.011999847404421754,0.006662903351099883,-0.15150050949409827,-0.0008993289763291326,-0.242,-0.022,1.118,1.0,-0.005,0.011,-0.013,-0.257,-0.224,3.884,0.0,0.0,0.038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24614768057897135,-0.03701602439291024,0.9732466487394754,0.9996564252460903,-0.002627544310138488,0.021021016437895258,-0.015435165791912514,0.05231048606559799,-0.047186239640598406,1.8050949682133917,0.0,0.0,0.01650441600056312,-0.24231746499260398,-0.04010836077191404,1.0822841664735225,0.999763336745888,-0.0033733178057220436,0.015508839236254748,-0.014878411583691294,0.06165657643204703,-0.045519457913190925,1.461076918695766,0.0,0.0,0.016662051458607455,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,30.87505290803366,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.005169258268267535,0.008932769815225141,0.0015,0.002,0.0002,0.0065
9,1765247934.1826925,-0.016161540728282263,0.017194757652314825,0.12444580500820257,-0.009826022101134176,-0.02454477867743436,0.0006837392372846616,-0.016542298458914417,-0.000268328029498408,-0.24,-0.039,1.316,1.0,-0.006,0.009,-0.011,0.046,-0.111,2.494,0.0,0.0,0.009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2439795181908605,-0.04887683461000849,1.1512535626420686,0.9997357004631281,-0.003263938911898533,0.01701747321951501,-0.015108988301709756,0.054868156236692,-0.0842764808680622,1.6261743172564178,0.0,0.0,0.018357168392986643,-0.2400888756720977,-0.05443884949622449,1.2464824747494858,0.9997863082965707,-0.0043914573449533945,0.01407190468328918,-0.0144925616675169,0.06143748115049141,-0.08249257382291508,1.2272227452692857,0.0,0.0,0.017659304142137608,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,31.20590332248072,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.008791483846719772,0.010452969373733682,0.0023,0.005,0.0003,0.0088
