step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765253187.5001767,-0.0002588516104994835,0.0010044324668374,0.372394444846339,-0.013171572032889687,1.0549980657719143e-05,2.6580634890330636e-05,1.2930020767271122e-07,-1.1624010414748934e-05,-0.01,-0.002,0.002,1.0,-0.002,-0.0,-0.021,-0.003,-0.001,-0.005,0.0,0.0,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00938728323753689,-0.0019768786128310308,0.00200000000011561,0.9998225705995514,0.0,0.0,-0.01883686066480185,-0.00012716763006515692,-0.00010404624278057968,5.78034682114337e-05,0.0,0.0,-6.369687763352339e-19,-0.009390989685746129,-0.001982633305970873,-0.002509277373709394,0.9998263689990831,-5.466240681572174e-05,0.0002293156265507893,-0.018632667025261437,9.905376012900682e-05,-4.9010636058295816e-05,-0.09514863958357142,0.0,0.0,0.012928513895648544,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0033,0.002,0.002,0.0094
1,1765253187.5655372,-0.0001632785320261175,0.0005755967678250407,0.37677321821560456,-0.012988939456041898,0.00047786539236683,-0.002144178495061797,0.021893866846328137,0.0009131628842389407,-0.01,-0.002,0.002,1.0,-0.002,-0.0,-0.021,0.006,0.004,0.004,0.0,0.0,-0.009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009323574250523915,-0.0019671758330523765,9.500427715418446e-05,0.9998238247583672,-0.0002530318601901561,0.001268057197372726,-0.018725582804597823,0.002335127048671513,0.0003762856880034271,-0.03630902548950295,0.0,0.0,0.012311043399792287,-0.009118841387620081,-0.0019331250971030885,-0.0012140588936997584,0.9998339795358003,-0.00017817357556398873,0.0008488922367277438,-0.018200576962072675,0.003641900876746113,0.0006178745966057653,-0.0011836029926949442,0.0,0.0,0.018317338421763862,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.003760957437045,0.0,0.08,100.0,100.0,0.5,55.0,0.08,4.4831398720377477e-07,-1.9538087707082967e-06,0.001,0.003,0.0006,0.0109
2,1765253187.6431422,-0.00011433790488810555,0.0002751309981982522,0.3752027147185764,-0.012703574939410775,0.0002447031356900595,-0.001502328848133943,-0.007852517485140771,0.0014268225831556196,-0.009,-0.002,0.004,1.0,-0.003,-0.002,-0.021,0.013,0.002,0.031,0.0,0.0,0.018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009089710601915525,-0.001941013121204394,-0.00042415927989248876,0.9998315710875068,-0.0001707265716151736,0.0009262969214721352,-0.018328728355754616,0.004150247827617382,0.0005438109579515412,0.005199214402627831,0.0,0.0,0.017972226572814432,-0.00877953833225828,-0.0018991891902445874,0.001573266329214053,0.9998435052050083,-0.000125978595764824,0.0006233263563768656,-0.017679386103858503,0.005054068361995545,0.0006983268052843852,0.05536285139243216,0.0,0.0,0.020580023803333833,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.005228960764903,0.0,0.08,100.0,100.0,0.5,55.0,0.08,2.3731430294101786e-07,-4.0401451646283346e-06,0.0036,0.0015,0.008,0.0129
3,1765253187.6996906,-0.000386381147423189,0.000840484878819542,0.3679411374472141,-0.012398103146461205,-0.001360216212675417,0.002826769403106449,-0.03630788635681188,0.0015273589647478557,-0.01,-0.001,0.018,1.0,-0.001,-0.007,-0.021,-0.019,0.014,0.294,0.0,0.0,-0.018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009651220453346834,-0.002200607474209357,0.009333887182528089,0.9998396547946787,1.6878652192769598e-05,0.0002892651355256104,-0.017904768662296996,-0.0018271162534672656,-0.0018617894089784457,0.10130470339553148,0.0,0.0,0.019234979108402522,-0.009763890635585495,-0.0023255435887142746,0.017635556787147982,0.99985147495789,-2.9066301764323903e-05,0.0002604466054800348,-0.017232508443282123,-0.0015461135982889895,-0.0018661315148180164,0.1476466639627227,0.0,0.0,0.020832952101617855,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.027065882086028,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-3.454088948162623e-05,7.90642850525269e-05,0.0013,0.0016,0.0002,0.0133
4,1765253187.7606933,0.0009451168517907887,-0.001013951752347181,0.34251110944352825,-0.012140588727117905,0.006657489996069888,-0.009272183155833615,-0.12715014001842884,0.0012875720967165053,-0.007,0.001,0.096,1.0,0.001,-0.009,-0.02,0.16,0.03,1.244,0.0,0.0,0.066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006550010991606694,-0.00011491862373358831,0.06439466097025742,0.9998409405393599,-0.0004048626501300512,0.0008640209697426414,-0.017809637148654005,0.018386562330055117,0.01117770604273652,0.35859255155183273,0.0,0.0,0.021769778184742655,-0.0052909731903196915,0.0006454106464491324,0.0894958612665106,0.9998537323818357,-0.00030177632949939936,0.0006930421145622065,-0.017086323940119157,0.01931368641576467,0.011588754615137059,0.3937360652144657,0.0,0.0,0.021638326819691397,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,28.19460790496688,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.00031957223438058705,-0.0004228719621641976,0.0013,0.0018,0.0002,0.0074
5,1765253187.8303661,0.005316543820380975,-0.003178459093568534,0.303612452036069,-0.012063674574751477,0.02185713484295093,-0.010822536706106764,-0.1944932870372962,0.0003845707618321346,-0.003,0.009,0.194,1.0,0.001,-0.005,-0.02,0.086,0.173,1.674,0.0,0.0,-0.013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029797310732761675,0.007453473195720599,0.1687983850087759,0.9998354816197791,-0.0009459718451511013,0.0011092843863310035,-0.01807994246569506,0.03132951212528938,0.04591927792724348,0.6960074809165449,0.0,0.0,0.01978326580114108,-0.000861479551774067,0.010539714277268665,0.21493872954340743,0.9998484413277158,-0.0001841813679866497,0.0002390336342988297,-0.017406990397037324,0.031954977138582544,0.046433377487857225,0.6855613908629117,0.0,0.0,0.0205254327737438,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.544286584841117,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0018662668061728595,-0.0008814158721376918,0.0033,0.0017,0.0016,0.0059
6,1765253187.8963866,0.00419771924852384,-0.002995063769920261,0.2694875577937006,-0.012062228882908702,-0.005594122859285674,0.0009169766182413634,-0.17062447121184177,7.22845921387414e-06,-0.005,0.004,0.344,1.0,-0.0,-0.003,-0.019,-0.079,0.008,2.567,0.0,0.0,-0.015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003666012561422321,0.003847359550591519,0.2909560143984356,0.999832105997982,8.122437507141251e-05,0.0002617015763203002,-0.018321701081667696,0.019505028055635136,0.016358231471068466,0.9397434665507035,0.0,0.0,0.020850387931333463,-0.002374365884328526,0.0049113345912356315,0.35103754611824556,0.9998433334485292,0.0014836248874542655,-0.0007096692707455058,-0.017623954869798706,0.019014269797417375,0.01524246819137999,0.8585763362389365,0.0,0.0,0.020950978508130214,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,28.925717788167205,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0001200593050281852,-0.00010637684633389027,0.0019,0.003,0.0002,0.0075
7,1765253187.9573636,0.003166556389959404,-0.002507542337661262,0.22897961619408433,-0.012206766837703093,-0.00515581429282218,0.0024376071612949965,-0.20253970799808124,-0.0007226897739719576,-0.004,0.004,0.504,1.0,-0.001,0.005,-0.019,-0.039,-0.147,2.62,0.0,0.0,0.048,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034764696359520977,0.003910928862066868,0.46335102409659285,0.9998183555902403,0.0016193207385001736,-0.0007229258070468005,-0.018976590933334803,0.014861430095302781,0.010831808524063572,1.2024691937589558,0.0,0.0,0.020135607472809486,-0.0025181041194046756,0.004575218603627595,0.5391541898835912,0.9998306981764735,0.0016712463005385681,-0.0010265698384641577,-0.018295575260580146,0.013847950028012888,0.009128477604650763,1.0679296029719643,0.0,0.0,0.020651090922997023,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,29.54480799580696,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0005233585302545636,0.0002761911967697799,0.0009,0.0014,0.0002,0.0048
8,1765253188.0286517,0.00043393916709973243,1.6680711692535887e-05,0.19429460337346047,-0.0124010415648727,-0.013663086114298355,0.01262111524676899,-0.1734250641031191,-0.0009713736358480385,-0.012,-0.001,0.756,1.0,-0.001,0.011,-0.018,-0.03,-0.174,3.153,0.0,0.0,0.065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008039014915068034,-0.0001422392237239202,0.6497558805741056,0.9998081740022322,0.0021051643102188615,-0.0013551585642628506,-0.01942542217855418,-0.007680571320041836,-0.010360146626899623,1.3783200794219366,0.0,0.0,0.020999800147847737,-0.008590927225662005,-0.0008886767062144408,0.7348925748738901,0.9998223769521821,0.0017565617353964525,-0.0012572370050531513,-0.01872293758125396,-0.008824720848402984,-0.01192608154380715,1.1712866742970367,0.0,0.0,0.021198700172746818,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,30.177363211880653,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0024594402002259368,0.0022920329327149993,0.0021,0.0032,0.0002,0.0064
9,1765253188.0997806,-0.0010941148552001555,0.0046338236796895325,0.1581917171981576,-0.012709378851860841,-0.007640270111499439,0.023085714839984985,-0.18051443087651428,-0.0015416864349407143,-0.023,-0.003,1.062,1.0,-0.001,0.017,-0.018,-0.02,-0.026,2.665,0.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016457730377273213,-0.0009716592661756769,0.8755247470311261,0.9997940661564475,0.002081305294366124,-0.001765643513590147,-0.02010910116369695,-0.03914730672471002,-0.011373200117061697,1.5353627316556833,0.0,0.0,0.0199147600873612,-0.019102014704095498,-0.001768946744268543,0.9691898430128987,0.9998103524838039,0.001073403554115421,-0.0007876189062784962,-0.019429012519434328,-0.03998957096028419,-0.012356982931831892,1.270639582352512,0.0,0.0,0.02092408334088569,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,30.982782463036138,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0024340157986491744,0.0054593900388729515,0.0025,0.0018,0.0002,0.0095
