step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765254019.8992093,0.002574865894860138,0.000644858993624798,0.3726154298938382,-0.007651651736377692,0.0001364794147088698,-5.120882899737646e-06,-2.5354767950847013e-05,0.00010315879881019952,-0.005,0.026,-0.0,1.0,-0.003,0.005,-0.011,-0.007,0.015,0.004,0.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003433628318887919,0.02502654867478109,-0.0009026548673365163,0.9999397086410329,0.0,0.0,-0.01098085073600116,-0.0014690265488025518,-0.00028318584073302273,0.00046017699119116844,0.0,0.0,0.0017522123895355897,-0.0035287840336330027,0.024994482061230158,-0.005374542297937098,0.9999412489077343,0.000584535245717338,0.00013855836122386527,-0.010823024206177517,-0.001336624489742443,-0.0008973657258050192,-0.09440380342301669,0.0,0.0,0.008293758671888592,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0019,0.0019,0.0002,0.0175
1,1765254019.9576142,0.00010610150068892689,0.0001089755112674743,0.3782564303791994,-0.007537455587589837,-0.012343821970856058,-0.0026794174117866177,0.02820500242680586,0.0005709807439392772,-0.005,0.025,-0.0,1.0,-0.003,0.005,-0.011,0.003,-0.022,0.004,0.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034539366954702477,0.02448517429135157,-0.0034120631922248098,0.9999164639907715,0.006876729663890234,0.0014876286825574129,-0.010842628381759903,0.001406584198601235,-0.014415040076939457,-0.05089949601979736,0.0,0.0,0.008080483874581466,-0.0033082323610524045,0.023272017702929346,-0.0058362310130215846,0.999936989401821,0.0038569855183370008,0.0008473165507434419,-0.01050823217276123,0.002730985427941344,-0.02082093491218942,-0.018997118969270022,0.0,0.0,0.011043132194189786,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.00273353508134,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-1.1803431316496804e-05,-2.6966650539760366e-06,0.0021,0.002,0.0002,0.009
2,1765254020.0184274,0.0004746797713199751,-4.897152024197502e-05,0.37679672868078784,-0.007354022573129221,0.0018428913531552422,-0.0007897351575472469,-0.007298508492058257,0.0009171650723030838,-0.004,0.025,-0.0,1.0,-0.003,0.004,-0.011,0.0,-0.009,0.013,0.0,0.0,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003383281120286879,0.024382842215237833,-0.004570092327635699,0.9999415594282941,0.002091100106521912,0.0007565915779880498,-0.010579820302830919,0.002147480986104617,-0.007798750534079691,-0.00885789960687372,0.0,0.0,0.010897991442639693,-0.00321646013106164,0.023800315862815682,-0.003413153186579542,0.9999471990719021,0.0012426549751216147,0.00043535571287901077,-0.010191434750522968,0.0027604414419029107,-0.009466174312999402,0.04436064593302058,0.0,0.0,0.012146083934163693,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.004447089608842,0.0,0.08,100.0,100.0,0.5,55.0,0.08,2.3197167068755913e-05,-5.165078836693584e-07,0.001,0.0014,0.0002,0.0046
3,1765254020.103463,0.0004259487744498157,-0.00012973017771059672,0.37373538154208485,-0.006839435195080386,-0.0002436549843507972,-0.00040379328734310856,-0.015306735693514484,0.0025729368902441757,-0.004,0.025,-0.0,1.0,-0.003,0.004,-0.011,0.0,-0.009,0.013,0.0,0.0,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00321646013106164,0.023800315862815682,-0.003413153186579542,0.999947199071902,0.0012426549751216151,0.00043535571287901093,-0.01019143475052297,0.0027604414419029107,-0.009466174312999402,0.04436064593302058,0.0,0.0,0.012146083934163693,-0.003020331674844152,0.023130941562509277,0.0011708766537437887,0.9999516629103179,0.0009868805663065484,0.00025676567489747547,-0.00977916054812065,0.003076051013581856,-0.010569657893452301,0.09308952608770227,0.0,0.0,0.012498997201611364,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.004447089608842,0.0,0.08,100.0,100.0,0.5,55.0,0.08,2.3197167068755913e-05,-5.165078836693584e-07,0.0024,0.0155,0.0035,0.0043
4,1765254020.1558332,0.001574447330566613,-0.002561321833464472,0.37258431318676166,-0.006521793592041727,0.0057424927805839856,-0.012157958278769376,-0.005755341776616164,0.001588208015193295,-0.0,0.025,0.003,1.0,-0.024,0.007,-0.002,0.1,0.033,0.059,0.0,0.0,0.236,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008816878279729015,0.024828334395751505,-0.0029246096522314614,0.9999544021270894,0.0007185562854104638,0.0007779392490621911,-0.009490635070672469,0.025717184854865887,-0.0008401329788072058,0.0740464693817365,0.0,0.0,0.019470902450369528,0.002620765673527743,0.02475009166228713,0.003431916911770222,0.9999599193335943,0.0006088387536554765,0.0003862435965966054,-0.008924116628993457,0.02632272179296423,-0.0015001929237841187,0.11638424417278792,0.0,0.0,0.01513605347718798,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,27.993368327463095,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.00019066964396485494,-0.00037726136572648045,0.0019,0.0019,0.0002,0.0073
5,1765254020.2295938,0.00439103980560889,-0.006260003370143678,0.37062064633418956,-0.0061288633671495426,0.014082962375211385,-0.01849340768339603,-0.009818334262860252,0.0019646511244609203,0.006,0.029,0.01,1.0,-0.027,0.005,-0.0,0.094,0.085,0.087,0.0,0.0,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007761087830150294,0.029404557599644793,0.002230746882747001,0.999962976161156,0.0003119992594473914,0.0006975777345798839,-0.008571017949449927,0.05094462831860588,0.02056334997252789,0.11077771736986239,0.0,0.0,0.017065087710107205,0.011166199594088572,0.03075970964660181,0.01097373040649293,0.9999671831959221,0.0006855044501879099,-0.0003570516225707877,-0.00806443606217151,0.05088525676542882,0.01995855226764008,0.15144197066876136,0.0,0.0,0.0138088484929208,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,27.98819388858679,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0008849565467551495,-0.001127051620750662,0.002,0.0043,0.0003,0.0118
6,1765254020.2877593,0.00742930514881318,-0.006090249801917389,0.36852087368612113,-0.00577556262756302,0.01519132671602145,0.0008487678411314451,-0.010498863240342313,0.0017665036979326056,0.006,0.035,0.019,1.0,-0.029,0.002,-0.001,0.008,0.092,0.123,0.0,0.0,-0.021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073014533402913995,0.03492133886087223,0.009736847454517087,0.9999689403133203,0.0005000765436589755,-0.0005210397006292647,-0.007848366055199113,0.0350655683644162,0.03781315262423997,0.14621073659594608,0.0,0.0,0.012364336187540506,0.009586748700888211,0.03740481185109995,0.02070879618268673,0.9999693170768432,0.0014823926433326965,-0.001901881429820604,-0.0074532049448432815,0.033110200738752385,0.03639529351526123,0.18279174416842148,0.0,0.0,0.011352145211943006,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,27.981526608668045,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0017722050425855184,-0.00032507895868977223,0.0014,0.0017,0.0002,0.0067
7,1765254020.3585925,0.008031373582051811,-0.005628235048233499,0.36727806402366,-0.005416913358437034,0.003010342166193156,0.002310073768419449,-0.006214048312305653,0.0017932463456299332,0.007,0.035,0.022,1.0,-0.03,0.0,-0.0,0.024,0.004,0.073,0.0,0.0,0.021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009167595081155767,0.03616767948974441,0.01721989990622049,0.9999702997746098,0.0015227913292694248,-0.0019088999360283778,-0.007310046256941558,0.031692477256590225,0.03164358319366781,0.1718326411566814,0.0,0.0,0.011591795575107368,0.011184026203863356,0.03818977723739282,0.02975452062377673,0.9999694968898186,0.0026969313164715734,-0.002365495830044203,-0.006938031484170835,0.02870643337820826,0.028696639990631517,0.20403546398246752,0.0,0.0,0.01067479541830376,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,27.964778853088315,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0014291368451139074,-0.0002358444300724094,0.0022,0.0024,0.0002,0.0092
8,1765254020.4243236,0.009625320118707604,-0.006095003358848838,0.36694266068814524,-0.005066606692140373,0.007969732683278968,-0.0023338415530766935,-0.0016770166775733203,0.0017515333314832991,0.013,0.044,0.025,1.0,-0.03,-0.002,-0.0,0.084,0.132,0.051,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013303402679851754,0.04224336544455249,0.024364268387159948,0.999970956807652,0.002528595170277328,-0.0022709642203278114,-0.006821617781999106,0.036668589734561066,0.04369226624456361,0.1888056725231075,0.0,0.0,0.01066727789491107,0.015644488218207207,0.0450339111119302,0.03793646998086572,0.9999707211872929,0.003217500159358939,-0.0024981316742792403,-0.0064779471306766435,0.03352503859580111,0.03985273636776569,0.21827902958144596,0.0,0.0,0.0099171948322034,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,27.937287384012635,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.002790495576481318,-0.0009359614398936531,0.0021,0.0039,0.0002,0.007
9,1765254020.48426,0.011105174873643726,-0.006741820204518049,0.3681360963882339,-0.00450997005056702,0.007399273774680612,-0.00323408422834606,0.005967178500443128,0.0027831832078667696,0.019,0.053,0.032,0.999,-0.035,0.012,0.009,0.024,-0.009,0.201,0.0,0.0,0.393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017298781148480095,0.048118571632340845,0.02862186958427431,0.9999749093451673,0.0030892177274983563,-0.002412596415879002,-0.005900575606730016,0.0391156779948279,0.049643015230119616,0.19348153616670627,0.0,0.0,0.01930181162516128,0.019797573777911547,0.05128088360439062,0.04244994414516404,0.9999737823441008,0.003982393673572913,-0.0027862766202284353,-0.005367665009737617,0.03575707232410924,0.04499383814275207,0.22137226776664654,0.0,0.0,0.01335276541682165,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,27.88691279398632,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.003795964939852239,-0.0015013600715058644,0.0011,0.0012,0.0002,0.0042
