step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765254422.8561234,-0.0001593023844241029,-3.54463100626311e-05,0.3725635120336321,-0.021975709345580168,9.241585235508331e-07,1.4746758495998632e-06,-5.127147267164345e-07,-3.659069663002404e-06,0.0,-0.002,0.0,0.999,-0.016,-0.002,-0.035,0.003,-0.004,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025329815304098434,-0.0017255936675917008,1.0554089710040643e-05,0.9995062714848701,0.0,0.0,-0.03141995007018823,5.2770448550232775e-06,0.00014248021108555808,9.498680739036797e-05,0.0,0.0,-4.749340369518484e-05,0.00025353019788180065,-0.0017152682760886934,-0.004488407896522356,0.9995168913802268,-3.651666496187118e-05,-6.6436903539803945e-06,-0.031080258493169373,-4.967547524831716e-07,0.0001809817410893344,-0.09485834856560241,0.0,0.0,0.021552026379414765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0014,0.0038,0.0002,0.0085
1,1765254422.9239924,0.0004342760268621892,0.0008763413323256818,0.3784721906098343,-0.02163312265836012,0.0029678920564314604,0.004558938211941564,0.029543392881011203,0.001712933436100253,-0.0,-0.001,0.0,0.999,-0.016,-0.002,-0.035,-0.008,0.006,-0.001,0.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.724975301552463e-05,-0.001568133362748059,-0.0027110193989082127,0.9995116881909762,-0.0017069517921441744,-0.0024516728505323184,-0.031104031658903356,-0.005128427335386033,0.003923233113675563,-0.054164711634542506,0.0,0.0,0.021086563095839613,-0.00036854940233732787,-0.0012435206016453686,-0.005351682792097202,0.999542486040594,-0.0008365096623234496,-0.00115194146449159,-0.030212445816854765,-0.007169210598693413,0.005476200012028341,-0.02225409421674243,0.0,0.0,0.03079955676057808,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.00264545886338,0.0,0.08,100.0,100.0,0.5,55.0,0.08,3.002525964702026e-06,4.729706461939636e-06,0.0014,0.0016,0.0037,0.0084
2,1765254422.996458,0.0001829009130449412,0.00017240839442880015,0.37698382933475716,-0.021131931773049038,-0.0012568755690862397,-0.003519664689484408,-0.007441806375385558,0.002505954426555417,0.0,-0.002,0.0,0.999,-0.016,-0.003,-0.035,0.007,0.001,0.003,0.0,0.0,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036322797055762747,-0.0016475994984699828,-0.004101602392753482,0.9995391035861001,-0.0002243798981430221,8.497118618843369e-05,-0.03035659460240143,0.0016726230858317742,0.0007226536585334913,-0.01138175437399397,0.0,0.0,0.029356089961439014,0.0004866470898220463,-0.00159665086717908,-0.0030964755095091705,0.9995709911507537,-4.579081404790904e-05,0.00017399822402663367,-0.02928824470191775,0.002012820605184945,0.000770840743959166,0.042352425722565035,0.0,0.0,0.034016504707765044,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.004728476808854,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-8.223967090857795e-06,-1.995904573212697e-05,0.0024,0.0029,0.0002,0.0154
3,1765254423.0576463,0.0002817784789146844,0.0014123261116713898,0.3744185199235027,-0.020495964892436182,0.0004943878293487157,0.006199588586212948,-0.012826547056271946,0.003179834403064256,-0.001,-0.001,0.001,0.999,-0.018,-0.003,-0.034,-0.041,0.009,0.014,0.0,0.0,0.041,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013388011598120444,-0.0012416712226611785,-0.003973667088800394,0.9995687420991941,-0.00016400127390719965,-0.0005839781716888059,-0.029359187511099744,-0.012052885065894723,0.0034707276863267444,0.03685332661689372,0.0,0.0,0.03417346524220325,-0.002160623234094824,-0.0010060122380461515,0.00012151256528038267,0.9996024628865849,-9.405893969816914e-05,-0.00032627192397304835,-0.028192213297668224,-0.01251082906087947,0.0035805657850995452,0.08591768619176904,0.0,0.0,0.035602254375754955,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.00271594178761,0.0,0.08,100.0,100.0,0.5,55.0,0.08,9.954511376203257e-06,0.00011962270590311531,0.0013,0.0018,0.0002,0.0121
4,1765254423.1263177,-0.0010438899876801361,0.0039958292981566446,0.37185138012273755,-0.01970734864553997,-0.006628342332974102,0.012917515932426273,-0.01283569900382616,0.003943081234481043,-0.006,-0.004,0.005,0.999,-0.033,0.0,-0.026,-0.08,-0.039,0.057,0.0,0.0,0.238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005479281087712423,-0.0031098982264195635,-0.0008448258690565903,0.9996038543633556,0.00020407922607980922,-0.0007608959588375047,-0.028133853822975233,-0.031194104955397668,-0.008236691954619613,0.08132587243004417,0.0,0.0,0.04045168512074799,-0.007576881790881684,-0.0036679277969705725,0.0060482469361736076,0.9996397773775333,0.0001560014004720515,-7.914090375869883e-06,-0.02683823924041219,-0.031492662485572656,-0.008478747054164123,0.1252526513921997,0.0,0.0,0.03769936796831841,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,27.99975720537138,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0002447370394711813,0.00047564726085496425,0.0014,0.0016,0.0049,0.0065
5,1765254423.2075162,0.0008845890259476259,-0.0006679537431135245,0.36719518313968463,-0.018901158940236522,0.009642395068138809,-0.023318915206350845,-0.023280984915264695,0.004030948526517255,0.004,0.001,0.023,0.999,-0.037,-0.002,-0.023,0.014,0.018,0.321,0.0,0.0,0.028,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041412610725003835,0.0009223643964926635,0.010751798007571967,0.9996398625503186,-0.00014034726009970453,0.0006724169713941187,-0.026826728433476024,0.021760061942230288,0.012485088862371896,0.14163315136342847,0.0,0.0,0.03848454973711026,0.005638300722998087,0.0017638103086859,0.02151778528981027,0.9996715090531363,-0.00036050363961137133,0.0013774218475783495,-0.025589973302153735,0.023322541321163764,0.012813735561767084,0.18112924486158166,0.0,0.0,0.036035639093939836,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.0140464037994,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.000542364413753517,-0.0012302316664747045,0.002,0.0053,0.0002,0.0243
6,1765254423.263554,0.0038919095026872484,-0.00430761456383523,0.36474582877404943,-0.01810679756898215,0.015036602383698113,-0.018198304103608526,-0.012246771828176177,0.003971806856271868,0.009,0.007,0.03,0.999,-0.038,-0.003,-0.023,0.099,0.119,0.135,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008949784683030863,0.0064233671740902415,0.02006787662296773,0.999671661689494,-0.0005518369368938034,0.0015028514264736163,-0.025573535706881718,0.036695592189394895,0.03158938269654889,0.17601305663845726,0.0,0.0,0.035412540456908205,0.011443246954849426,0.008542261244785125,0.032816337736595744,0.999701681488808,3.8627687519267254e-05,0.00029562227404482405,-0.024422513052973285,0.03771968780518725,0.03179672667219552,0.20600707172148502,0.0,0.0,0.03389678347609881,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,28.007542795708215,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0015451840227803967,-0.001864923735988947,0.0021,0.0033,0.0002,0.0157
7,1765254423.3312776,0.0058918775945158534,-0.006758166716612666,0.36264497410420293,-0.01733031463553499,0.009999840459143029,-0.012252760763887182,-0.010504273349232675,0.003882414667235807,0.015,0.011,0.043,0.999,-0.039,-0.004,-0.021,0.086,0.067,0.194,0.0,0.0,0.057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013682574261608214,0.010169354506956958,0.032692457692371155,0.9997022608881246,-1.777803307390941e-05,0.00036815701418350895,-0.02439782202424175,0.04583547418368504,0.03770734914684412,0.2050559567022231,0.0,0.0,0.03445087686193222,0.016726137982162506,0.012663626893371867,0.04723845480491645,0.9997279180543982,0.0010213493918531226,-0.0010098658224638967,-0.02328147072370546,0.04507270244338485,0.036828920798356535,0.2311175690258117,0.0,0.0,0.03269844359217444,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,28.00562029500632,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0019822571557390704,-0.002401766344263084,0.002,0.0066,0.0012,0.0096
8,1765254423.3913233,0.009602439370394055,-0.006867289404158893,0.36061928974267865,-0.016605748917076328,0.018552808879391012,-0.0005456134377311347,-0.010128421807621586,0.00362282859229329,0.015,0.021,0.054,0.999,-0.04,-0.003,-0.021,0.004,0.204,0.229,0.0,0.0,0.018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014832850236648992,0.020430811918815493,0.04741154534657845,0.9997265616182388,0.0007748793525832671,-0.0010774948235987775,-0.02334610378345661,0.03852520975581235,0.06353724833286493,0.2311612390553866,0.0,0.0,0.032343530173993044,0.01732836696753976,0.024613077617404264,0.06356916835215096,0.9997473841847265,0.0018037253504662421,-0.0022539286953851146,-0.02228977783857773,0.036030522654793035,0.06165208567271585,0.25339584735669496,0.0,0.0,0.03101752570649116,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,28.005276920685027,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.004256589323596932,-0.0017167734127021385,0.002,0.0035,0.0003,0.01
9,1765254423.450666,0.01244314131877295,-0.0066375417762279355,0.3603663619823835,-0.015899792768658737,0.014203509741894478,0.0011487381396547906,-0.0012646388014758841,0.003529780742087949,0.017,0.028,0.061,0.999,-0.04,-0.003,-0.02,0.037,0.141,0.139,0.0,0.0,0.034,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017358159539299995,0.028309157048439382,0.05878352124536014,0.9997466472346489,0.0016823066668174601,-0.0022501224742442296,-0.02233266970624566,0.03615461862377644,0.07387297292744648,0.24124659686494335,0.0,0.0,0.03108722656361607,0.019657758565172323,0.03313406195806677,0.07546844670992253,0.9997635438073417,0.0032540972711387634,-0.0028078417889935885,-0.02131626958976343,0.03270934111183928,0.07045163951716266,0.25913617363158026,0.0,0.0,0.02976636994716228,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,27.98128025447442,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0055043177536314115,-0.001668216595855644,0.0012,0.0024,0.0003,0.0046
