step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765254629.4796371,0.00019947058810402982,0.00019934842444422905,0.37240245162186364,-0.011068044678198646,0.0001485386809553999,-6.939513312364325e-05,6.9592049653594e-05,5.6519825702882904e-05,-0.001,0.005,0.002,1.0,-0.008,-0.001,-0.017,0.012,0.013,-0.01,0.0,0.0,-0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020540540542391024,0.0038558558562032177,0.0020540540542391002,0.9998738194036475,0.0,0.0,-0.01588537916331494,0.00021621621623569187,-0.001135135135237397,-0.00010810810811784512,0.0,0.0,0.0017297297298855476,-0.002038647151929443,0.0037792726508814115,-0.0024665847949122844,0.9998771343622663,4.0083827178576986e-05,4.872060797712679e-05,-0.015675209698483763,0.0002632831538833837,-0.0011773726376162912,-0.09532468136054037,0.0,0.0,0.011630289677722554,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0014,0.0016,0.0002,0.0038
1,1765254629.545247,-0.0018929300598709818,0.0010356157806758034,0.3781045795037601,-0.010897994436023899,-0.010462003239875058,0.004181336781157871,0.028510639409482272,0.0008502512108737302,-0.002,0.004,0.002,1.0,-0.008,-0.0,-0.017,-0.008,-0.02,0.003,0.0,0.0,0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002237515204403673,0.0033292019357866365,-0.0005261788107171052,0.999857607406064,0.005679341901778914,-0.0023177610645639278,-0.015720622488675017,-0.005038896274555209,-0.013248220998857247,-0.05195216321610778,0.0,0.0,0.011545108966301176,-0.0026569667100565814,0.0022486492170109415,-0.0030333395064977824,0.9998792859080983,0.0027048519358024445,-0.0010342845256774463,-0.01526524298650338,-0.007052799638634359,-0.018054781649548247,-0.020432637301051666,0.0,0.0,0.015914625168568494,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.00273265632527,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-1.076172122376366e-05,4.332891521591045e-06,0.0009,0.0012,0.0002,0.004
2,1765254629.6293175,-0.0007008447942521649,0.0005864704979091985,0.3767939990242452,-0.010638974913715364,0.0059604263280940845,-0.0022457264138330242,-0.006552902397574403,0.0012950976115426727,-0.001,0.004,0.002,1.0,-0.008,-0.0,-0.017,-0.006,0.013,0.005,0.0,0.0,-0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020294953984854387,0.0036898115043372116,-0.001935219124737369,0.9998815281097461,0.00033163216373650287,-0.00010918607215621839,-0.015388562097506654,-5.773921639448112e-05,-0.0009042498416887111,-0.011614001581638899,0.0,0.0,0.015050743645504622,-0.002028435536632173,0.0036373251285611048,-0.0009710319350200603,0.9998897956532204,-0.00012059455548164697,0.00013810248024301915,-0.014844626408879999,0.0001354604935582148,-0.0006141372256626937,0.041340081869180034,0.0,0.0,0.01725149726853592,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.004253848376923,0.0,0.08,100.0,100.0,0.5,55.0,0.08,3.587969204396883e-05,-1.2696160538480169e-05,0.0016,0.0033,0.0002,0.0123
3,1765254629.705284,-0.0014590763568785672,0.0011236151297916858,0.37469072422709376,-0.010306143796007085,-0.003791157813132012,0.0026857231594124365,-0.01051637398575743,0.0016641555885413863,-0.003,0.002,0.001,1.0,-0.013,-0.0,-0.013,-0.022,-0.037,-0.008,0.0,0.0,0.096,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002958311377758409,0.0021073210091327454,-0.0024683422748601803,0.9998899121192045,0.0005181746654683843,-0.0002379572596255195,-0.014826952269702666,-0.007113537228064945,-0.01253473475410752,0.03188604859337198,0.0,0.0,0.019131662838181598,-0.0034369853436620936,0.0012609525052371916,0.0012832105169425815,0.9998991866731011,0.00028769743108249675,-4.9541344614012415e-05,-0.014196170832813765,-0.007188859543547976,-0.012798680535174266,0.08059556060648132,0.0,0.0,0.018765929259262307,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.000629858556433,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-8.326790380888639e-05,5.48563892000342e-05,0.0019,0.0045,0.0002,0.0264
4,1765254629.757169,-0.0022059537102210505,-0.0007325040967432251,0.37206132224390936,-0.009819377999884818,-0.0037343867667124155,-0.009280596132674554,-0.013147009915922166,0.0024338289806113385,0.001,-0.0,0.005,1.0,-0.027,-0.0,-0.006,0.062,-0.027,0.061,0.0,0.0,0.238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.177952791483566e-05,0.0005580440658106533,0.0007086288286501719,0.9999024803096921,0.0003719912224305087,0.0004139110767028389,-0.013954216949614278,0.012010323274477052,-0.01674751002762408,0.0775467815084503,0.0,0.0,0.024032505862999102,0.0007501773880848632,-0.0005616348956496427,0.007368893475734325,0.9999125046720362,-0.00012307548213231072,0.00046868204184053423,-0.01321923560816587,0.012641832298425859,-0.01670249282518292,0.12209556472610306,0.0,0.0,0.020569510379566752,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,27.998594470414055,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.00014997743513222702,-0.0003263394285841297,0.0022,0.0024,0.0003,0.0134
5,1765254629.8248303,-0.0020084171294906072,-0.0018559672174493335,0.36780832177879647,-0.00929780314524555,0.000987682903652216,-0.005617315603530543,-0.02126500232556434,0.002607874273196338,0.003,-0.0,0.017,1.0,-0.029,-0.001,-0.005,0.031,-0.008,0.152,0.0,0.0,0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013228927877885414,0.00037800482748238213,0.01094835488588707,0.9999159938689908,-0.00017806752930725733,0.0005003133953062439,-0.012950798564184069,0.014981009714391947,-0.012265906448487249,0.13450572461544416,0.0,0.0,0.02079532955362383,0.002334893867087141,-0.00042079607780713853,0.021247773311753704,0.9999241876771882,-0.0006020092981040016,-2.605846924106582e-05,-0.012298609835109059,0.015212458893803293,-0.01158730039695291,0.17425359767638837,0.0,0.0,0.01864617876529019,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.009120919451895,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-6.766748216052438e-07,-0.0003941692063799342,0.0016,0.0016,0.0003,0.0158
6,1765254629.891095,-0.00045845326174657206,-0.0013361702576897361,0.3652545786678811,-0.008809606339355291,0.007749819338720175,0.0025989847987979873,-0.012768715554576756,0.0024409840294513027,0.001,0.002,0.023,1.0,-0.03,-0.002,-0.005,-0.035,0.059,0.143,0.0,0.0,-0.019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002374596991174976,0.002550722850894814,0.020217329263832493,0.9999256087976858,-0.0007255851048331034,-0.00011812506332106374,-0.012175238942316782,0.006371716195262892,0.0008797482240730462,0.17064814796321012,0.0,0.0,0.017754736908998977,0.0006483657759243709,0.002644840768966856,0.03264675547392899,0.9999322360586879,-0.0008067931899981243,-0.000528900948013191,-0.011601406777122807,0.005844409705386331,0.0019467949607378677,0.20184227780180442,0.0,0.0,0.016797213693091048,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,28.00466913728068,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.000628398905364175,8.016844469953868e-05,0.0022,0.0032,0.0003,0.0108
7,1765254629.968802,0.0030118867929420216,-0.0024889402784684725,0.3640727700031315,-0.00833165894017515,0.017351700273442967,-0.005763850103893681,-0.005909043323747764,0.0023897369959007186,0.005,0.01,0.029,1.0,-0.031,-0.003,-0.005,0.087,0.148,0.12,0.0,0.0,-0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004256623348331115,0.00911324694152323,0.02945840322915752,0.9999340389475934,-0.0010287416696862105,-0.0004054557557232132,-0.011432193584785944,0.01943982647463267,0.026411949971977357,0.19253462986989497,0.0,0.0,0.016305736313447474,0.005532758560000926,0.010910543595432351,0.04318868365921938,0.9999403346358056,-0.000552432446423023,-0.0004694751122810406,-0.010899613752065152,0.018832203606749302,0.02734811738802155,0.21915767651515516,0.0,0.0,0.015690282429203714,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,27.990974478582537,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.002343736548188085,-0.0008149099729150666,0.0022,0.0127,0.0003,0.0146
8,1765254630.0243037,0.006180728994597819,-0.0028204619093033846,0.3635474554021443,-0.007870106346920517,0.015844211008278986,-0.001657608154174561,-0.0026265730049356457,0.002307762966273162,0.006,0.018,0.038,0.999,-0.032,-0.002,-0.005,0.011,0.117,0.119,0.0,0.0,0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005219725883890601,0.015079762415739313,0.0391096591696947,0.9999416710140735,-0.0006786125554855532,-0.00048016673373198595,-0.010768634755150065,0.01761270293809455,0.041829087511573125,0.20812122146915,0.0,0.0,0.015608045193644072,0.006365692381743008,0.0178746294014333,0.053799658603856604,0.9999468210484086,0.0005078505555519606,-0.0009101977843347863,-0.010260053751736838,0.016646658468249823,0.04166907233389314,0.2325043578400986,0.0,0.0,0.014917761350958791,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,27.971940551143433,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0035774248854860526,-0.0006752679228414603,0.0053,0.0023,0.0004,0.0107
9,1765254630.0840745,0.01034423911291546,-0.004177905209806867,0.36392452642905776,-0.007416718554646668,0.020817550591588203,-0.006787216502517411,0.0018853551345677094,0.0022669389613692355,0.012,0.031,0.043,0.999,-0.033,-0.002,-0.004,0.093,0.204,0.083,0.0,0.0,0.019,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009938187796839922,0.02552297146621623,0.04739267076051062,0.999948477591493,0.0002708255043995946,-0.0007948628538143126,-0.010116175613608976,0.028541034220726506,0.06702587693283406,0.21625160429432289,0.0,0.0,0.015022536490005211,0.011800776711844499,0.029950507669559742,0.06257118656555577,0.9999516030937384,0.001686912693670513,-0.001111525606796277,-0.00962861914564139,0.027251046561982406,0.06540384497996113,0.23909661016033112,0.0,0.0,0.014211580423239556,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,27.940549244031367,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.006164290700027076,-0.0018147670817643775,0.0014,0.0029,0.0002,0.0073
