step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765255420.4520297,-0.00016497939695979893,-0.00013624873534715228,0.3721864342027445,-0.01384862208467496,3.4358959471883304e-06,-2.788682720861061e-07,-2.8512129814084464e-06,-4.2253061622089284e-06,0.002,-0.001,0.005,1.0,-0.013,-0.001,-0.022,-0.002,0.004,0.001,0.0,0.0,-0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001254408060484997,-0.001879093199039775,0.004403022670136114,0.9998040011691878,0.0,0.0,-0.019797960654644745,-1.0075566750883328e-05,0.00019647355164223015,4.534005037897733e-05,0.0,0.0,-6.549118388074243e-05,0.001253122062242856,-0.0018651175070536286,-0.00011670698614640526,0.999808200161481,-3.8763873835719836e-05,-3.0320677917324342e-05,-0.01958469984141974,-3.925711242524165e-05,0.0002373210000763715,-0.09547199272271764,0.0,0.0,0.013565741278201357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0023,0.0043,0.0003,0.0166
1,1765255420.502808,0.0005601628091899755,0.0003258794396270504,0.37810229665585326,-0.01363268715737817,0.0036257110307488715,0.0023106408748710134,0.029579312265544104,0.0010796746364839485,0.002,-0.001,0.004,1.0,-0.013,-0.001,-0.022,-0.004,0.007,-0.001,0.0,0.0,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011629873740890708,-0.0016941871234059612,0.0016776892936869565,0.9998050780281945,-0.0020469457949538784,-0.0012461077580679441,-0.01959752988016049,-0.0025541586844050404,0.004583446166683855,-0.054299021536982024,0.0,0.0,0.013265813040965663,0.0009500680449995203,-0.001315693320217073,-0.0009953344222572262,0.9998181115263501,-0.000997951896477462,-0.000615165113512983,-0.019036006087898315,-0.0036031861863364805,0.006372890038097177,-0.023090972074330182,0.0,0.0,0.019399455360044962,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.002648811780297,0.0,0.08,100.0,100.0,0.5,55.0,0.08,3.737151745741421e-06,2.3940589684354697e-06,0.0016,0.0052,0.0002,0.0064
2,1765255420.5692306,0.0003131862627599272,-0.000116821043287024,0.3766306939998658,-0.013314397803511941,-0.0012348827321502407,-0.0022135024145703715,-0.007358013279937167,0.0015914467693311472,0.002,-0.001,0.005,1.0,-0.013,-0.001,-0.022,0.006,-0.006,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013965377164253203,-0.001717583910992186,0.0003186276641437747,0.9998171851134342,-0.0003366611501312954,0.00011733238575357301,-0.019117249912847013,0.0016092408051861335,0.0014073896604208103,-0.01171533929400083,0.0,0.0,0.018482170444849778,0.0015120732619667496,-0.0016182642888207264,0.001278508409583351,0.9998298829334522,-8.661478251571639e-05,9.241261306925795e-05,-0.018444217279893396,0.0018221052724732758,0.0015172739673782482,0.04132933969975314,0.0,0.0,0.021428804880465196,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.004679807017908,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-9.390533497874523e-06,-1.1980283964536828e-05,0.0012,0.0033,0.0002,0.0084
3,1765255420.6408517,-2.6067849151742255e-05,0.0003546015120640437,0.3742765926162261,-0.012907204486010166,-0.0016962705595583473,0.0023571127767553386,-0.011770506918198476,0.002035966587508882,0.001,-0.001,0.005,1.0,-0.015,-0.001,-0.022,-0.017,-0.004,0.004,0.0,0.0,0.035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007153966676673533,-0.0018383010644096674,0.00012116721559011254,0.9998291765715605,1.8519646426683212e-05,-0.0002346662919367353,-0.018481403220254017,-0.004324497487953396,-0.00025439772372980174,0.034194137815211495,0.0,0.0,0.021745180919529827,0.0004187676743055962,-0.0018590700134796393,0.004016599647076366,0.9998425954603816,8.652721054085192e-06,-0.00018779369456845945,-0.017741165736972785,-0.0045553508055160355,-0.0003496914895574736,0.08258610678518963,0.0,0.0,0.022524659687605794,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.001965689000603,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-2.9327157504940923e-05,4.7782194205216244e-05,0.0022,0.0022,0.0002,0.0135
4,1765255420.712489,-0.0008974415928466468,0.0005118046437379451,0.3714803437560928,-0.012359384706797757,-0.004356868718474523,0.0007860156583695075,-0.013981244300666267,0.0027390988960620533,0.001,-0.003,0.01,0.999,-0.031,0.001,-0.013,-0.003,-0.024,0.072,0.0,0.0,0.248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005054511340085648,-0.00301696362688624,0.003759656937791486,0.9998444742072269,0.00016521596322323067,-0.00017328850237586125,-0.01763434353908507,-0.004102360838855042,-0.0068864891747160775,0.08109613159268375,0.0,0.0,0.027932125919394722,0.0002283961075195387,-0.0034823334164002726,0.010630991928280438,0.9998594927116145,3.067569354907804e-05,8.283889257146208e-06,-0.01676287042400514,-0.004154884965492727,-0.007022288442639201,0.12485205059687077,0.0,0.0,0.024815097060645996,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,28.000876015696157,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.00015855344291813899,3.4545650897883134e-05,0.0013,0.0017,0.0002,0.0182
5,1765255420.7715213,-0.0003336375277629901,-0.002183187041816288,0.36858903690181266,-0.011805920231290845,0.002819020325418283,-0.013474958427771164,-0.01445653427140059,0.0027673223775345557,0.008,-0.001,0.018,0.999,-0.034,-0.0,-0.011,0.104,0.026,0.124,0.0,0.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059058960354006936,-0.0017471802069443899,0.010800647021284925,0.9998602882903054,-7.780153389945581e-05,0.0003387735868626913,-0.016711764700521173,0.021475728574540907,0.0008104238551243422,0.12505737319740606,0.0,0.0,0.025904850448733193,0.007352780100601322,-0.001686045693430829,0.020425981793439615,0.9998735575991308,-0.0003013783960518053,0.00028319102594341356,-0.015896470927942153,0.02189767932039334,0.0010879038294176382,0.1634622740345475,0.0,0.0,0.023363716360897513,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.000774932994013,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0001265405253253846,-0.0007922609526167799,0.0017,0.0019,0.0002,0.0112
6,1765255420.8389628,0.00047339281500234404,-0.003070154795937313,0.3665110588666258,-0.011280247653682237,0.00403515171382667,-0.004434838770605126,-0.010389890175934221,0.0026283628880430566,0.008,0.0,0.024,0.999,-0.034,-0.002,-0.011,0.007,0.024,0.123,0.0,0.0,-0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066088795530015055,-0.00045394501195165807,0.018838789052026,0.9998739587056757,-0.0003441872136361617,0.0002531637736662892,-0.015870858373332398,0.01888566281251143,0.005859151158520966,0.15826921432629806,0.0,0.0,0.0227113022251076,0.007865072101745467,-4.996872360607887e-05,0.030492674705535197,0.9998852396036664,-0.00022904522542851422,-0.0005407228225035562,-0.015138123392038988,0.018563022868472584,0.006221299877103386,0.19109641777073427,0.0,0.0,0.021422037507169908,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,27.994541318588528,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0003485510782646852,-0.0006366474736253683,0.0014,0.0018,0.0011,0.0119
7,1765255420.9017653,0.003295198369579714,-0.004501433964798341,0.3646925729141187,-0.0107856613744894,0.014109027772886848,-0.007156395844305141,-0.009092429762535544,0.002472931395964173,0.013,0.008,0.034,0.999,-0.035,-0.004,-0.011,0.075,0.122,0.156,0.0,0.0,-0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010948192416645032,0.006179400114090842,0.02909584989316865,0.9998854404188341,-0.0004112603924857225,-0.00045523562724002626,-0.015123811154844949,0.02923485268928401,0.027989196300977806,0.18693088595377563,0.0,0.0,0.02071894828041032,0.01286614092407716,0.008057032138920846,0.04253187756750995,0.9998951764540924,-7.76428346979616e-05,-0.0009802077688357506,-0.014445389166089789,0.028160155696948158,0.028235289150644105,0.21598298653409687,0.0,0.0,0.020039525694224583,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,27.988385763568747,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0017575090037594068,-0.0012659026460213568,0.001,0.0011,0.0014,0.0089
8,1765255420.968056,0.006170561394049549,-0.004247729230535019,0.3631582939035903,-0.010267188449062593,0.014376815122349174,0.0012685236713166131,-0.007671395052641784,0.002592364627134031,0.012,0.016,0.046,0.999,-0.037,-0.004,-0.008,-0.011,0.111,0.173,0.0,0.0,0.095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010850893084980356,0.012574542433667707,0.04077307801610691,0.9998965009396371,-0.00019739290065414348,-0.0010379974854104776,-0.014348205669469306,0.021431928509863335,0.04275645579961529,0.21112650255224108,0.0,0.0,0.02184555689971551,0.012222207935047733,0.015415203646688365,0.055704023771690814,0.999905088084962,0.0007906460494285611,-0.0016749178102873111,-0.013652265414857697,0.019540139090455134,0.042176843410754505,0.23666108917584594,0.0,0.0,0.020052800406502994,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,27.97999958858758,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0028909599379934874,-0.0006839174183987016,0.0014,0.004,0.0003,0.0063
9,1765255421.036983,0.006644795783122477,-0.004682148270256736,0.36702145790934276,-0.009595676699252773,0.00237117194536464,-0.0021720951986085855,0.019315820028762372,0.0033575587490491075,0.017,0.018,0.047,0.999,-0.035,-0.002,-0.002,0.116,0.117,0.014,0.0,0.0,-0.175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014209445557281843,0.01361035860051689,0.037936463394405144,0.9999116030082198,0.0008397577042983414,-0.0015861824561046046,-0.013174407073803785,0.025798148043521638,0.03618748599255446,0.19198667260837027,0.0,0.0,0.02529110094286743,0.015856051248844198,0.015964408280101164,0.05142963083821253,0.999919351099885,0.001983738931791905,-0.0018288590726627451,-0.012410130955312829,0.023548004138844628,0.03412667282703703,0.21269668740709213,0.0,0.0,0.02104683922942807,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,27.89534482020669,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.002324905844959837,-0.0013023685022749217,0.0014,0.0035,0.0003,0.0091
