step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765256681.2739675,0.0030504819213248843,0.028410597759589647,0.37027644489499795,0.00790350602959226,5.17101989099553e-05,0.00012263911802857727,-7.695523674217455e-05,4.501847698113598e-05,-0.274,0.025,0.03,1.0,-0.01,0.018,0.013,-0.017,-0.001,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27214159294443613,0.023044247789649745,0.031061946905403863,0.9999395889353482,0.0,0.0,0.010991745985379341,0.0023185840710016484,0.0006371681416493123,-7.079646018325116e-05,0.0,0.0,0.0008849557522907019,-0.2718531913907066,0.02307379491867248,0.02644591345820134,0.9999195590216107,0.000614962397698743,0.006484774912270056,0.010883244075834173,0.008666553326552737,3.4994289508601334e-05,-0.09846878686331971,0.0,0.0,-0.0073645262475056095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0073,0.0041,0.0004,0.0297
1,1765256681.3128533,0.004851291040411987,0.028436312816368,0.3752241287196315,0.008030975445671398,0.00900404559543551,0.0001285752838917388,0.024738419123167876,0.0006373470803956883,-0.273,0.026,0.029,1.0,-0.01,0.018,0.013,-0.027,0.027,-0.006,0.0,0.0,-0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27228973961913094,0.023599606680212753,0.028851976066964578,0.9999257187453896,-0.004797579839924308,0.001917384703054232,0.01103919630662444,-0.002609649290455403,0.011795816288200136,-0.04334028746133215,0.0,0.0,-0.007187926442812638,-0.272272466758964,0.024541726789580443,0.026937307334027855,0.9999089770716554,-0.001583098567718422,0.008019161611288279,0.010734263714508512,0.005183180907029079,0.015304500190415932,-0.012320068258992272,0.0,0.0,-0.010905456921903069,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.003487183214308,0.0,0.08,100.0,100.0,0.5,55.0,0.08,1.050989457201794e-05,1.0216175374830228e-05,0.0017,0.0032,0.0002,0.0095
2,1765256681.3924122,0.002511227364541188,0.02755533066441936,0.3739564936333579,0.007627074677609716,-0.011700318379353994,-0.004404910759743204,-0.006338175431367762,-0.002019503840308408,-0.274,0.024,0.029,1.0,-0.01,0.018,0.013,-0.011,-0.031,0.006,0.0,0.0,0.011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27275094933522187,0.022607498355755568,0.027682707691392302,0.999913723330054,0.0018380239141476133,0.007259246229752893,0.010792168850388468,-0.0002958974074082849,-0.00930902084938151,-0.005837322713678397,0.0,0.0,-0.010023255678962494,-0.27238155867697755,0.021895506674248028,0.02884749693311983,0.9998887661100269,0.001819302483454717,0.010530849672785187,0.010404169866494648,0.01233998980725181,-0.011910808628487812,0.04146520384953589,0.0,0.0,-0.012293542114884481,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.00491040589931,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-8.701488921046522e-05,3.416837348314383e-05,0.007,0.0048,0.0002,0.0153
3,1765256681.452162,0.006717781916156787,0.024234312328965578,0.3746841131075953,0.007584312829123083,0.021032772758077987,-0.016605091677268913,0.003638097371186984,-0.00021380924243316743,-0.27,0.031,0.024,0.999,-0.019,0.023,0.018,0.066,0.067,0.004,0.0,0.0,0.089,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2710049631106618,0.02834084411331255,0.02316953815140619,0.9998816685029811,-0.000921937287691544,0.010885368915387756,0.010830871013370023,0.02358860778842011,0.03875832251971348,0.006912904490597434,0.0,0.0,-0.006696020116601132,-0.2689299531511059,0.030952202879264326,0.02506480586758915,0.9998703654073766,-7.181732997908123e-05,0.012184072449974647,0.010525948932226645,0.038929884953786575,0.039264914774517684,0.04986984559899496,0.0,0.0,-0.01034078161191844,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,27.988721786301483,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.000514756639729475,-0.0001239819223894938,0.0014,0.0049,0.0005,0.0138
4,1765256681.5103,0.0065644419012862824,0.02231773244504129,0.3731252019181532,0.007453070394788168,-0.0007667000743525193,-0.009582899419621455,-0.007794555947210621,-0.0006562121716745728,-0.27,0.029,0.025,0.999,-0.021,0.025,0.018,-0.01,-0.047,0.01,0.0,0.0,0.047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2706446714408041,0.02792250553162225,0.023989353804261253,0.9998724366178534,0.0003818906370233183,0.011879757610348235,0.010669395978106504,0.028508662361929234,0.020834813309643183,0.044828628666472345,0.0,0.0,-0.008961227242115571,-0.2682294334850437,0.029268546592690653,0.02846899547091962,0.9998733318928942,0.0018899000408656842,0.01198303127151202,0.010303174694422526,0.043895630783394285,0.019112415499072312,0.08968547995352188,0.0,0.0,-0.011358194899605462,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,27.98463420182499,0.0,0.08,100.0,100.0,0.5,55.0,0.08,4.250472431772224e-05,0.00015204624542857577,0.0016,0.0019,0.0003,0.0068
5,1765256681.5843596,0.004832918372524527,0.019891501454285854,0.37080080897952683,0.0072415750828581735,-0.008657617643808777,-0.01213115495377719,-0.011621964693131506,-0.0010574765596499695,-0.267,0.026,0.029,0.999,-0.025,0.028,0.018,0.051,-0.044,0.063,0.0,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26790926196694814,0.026708292525811736,0.027658855181127852,0.9998723131945898,0.002061606094247558,0.011949005123738116,0.01040809126426494,0.045369097385270965,0.006650606367695308,0.08649750566724301,0.0,0.0,-0.011050385100470225,-0.2643832509562831,0.02705370709902237,0.034800837393136774,0.9998773662422031,0.0024568892066703257,0.011789969143665499,0.010010634324201977,0.060298853014792375,0.0036389732146177925,0.12765071109759624,0.0,0.0,-0.012126697375868134,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,27.981188678477356,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0004754569546197055,9.991089673043421e-05,0.0014,0.0068,0.0024,0.0088
6,1765256681.6548944,0.0022803696966998297,0.01719308748955136,0.36828386977970207,0.0070251257193735045,-0.012762743379123483,-0.013492069823672487,-0.012584695999124016,-0.0010822468174233493,-0.263,0.023,0.035,0.999,-0.028,0.028,0.019,0.071,-0.07,0.116,0.0,0.0,0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2638868668617415,0.02385314945764106,0.03439988070922904,0.9998760596170257,0.0025901946636328064,0.011765166618442477,0.010135933641006319,0.062310010444777825,-0.009822400411139463,0.12629189130199886,0.0,0.0,-0.011654116354790016,-0.2592553225956372,0.023094293401251825,0.04404389851165494,0.9998875929037888,0.002315033588648704,0.0111615231024032,0.009739742223737437,0.07640950692773335,-0.012827096175612292,0.16284128022492794,0.0,0.0,-0.012168050238788045,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,27.979460171972217,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0012592950626938138,1.8305055911343624e-07,0.0016,0.0045,0.0008,0.0164
7,1765256681.7135515,-0.000953180879656432,0.014490316328268646,0.36679761580207854,0.006821325219049961,-0.016167752881781308,-0.013513855806413573,-0.007431269888117275,-0.0010190025016177206,-0.258,0.016,0.041,0.999,-0.03,0.029,0.019,0.085,-0.107,0.086,0.0,0.0,0.021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25882384748227855,0.018767479919080895,0.04118483406430507,0.9998871618399556,0.002446393550345918,0.011068745514419949,0.009857059347103785,0.07796595975712087,-0.02907551531338486,0.15435412579052685,0.0,0.0,-0.011358204855718035,-0.2531902619844374,0.016744980984015896,0.05253127381709605,0.9999017743831089,0.0016746458294156499,0.01018724657407195,0.009479301350608142,0.09075516613717594,-0.03135645603504668,0.1858334603437336,0.0,0.0,-0.011825156114136037,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,27.96540840553772,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0024714383515481737,-0.00010880441974396655,0.0015,0.0018,0.0051,0.0062
8,1765256681.7786322,-0.002539185642208212,0.012021713287543857,0.3646397809437098,0.006600357978031876,-0.007930023812758901,-0.012343015203623945,-0.01078917429184358,-0.001104836205090422,-0.258,0.016,0.041,0.999,-0.03,0.029,0.019,0.085,-0.107,0.086,0.0,0.0,0.021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2531902619844374,0.016744980984015896,0.05253127381709605,0.9999017743831089,0.00167464582941565,0.010187246574071954,0.009479301350608147,0.09075516613717594,-0.03135645603504668,0.1858334603437336,0.0,0.0,-0.011825156114136037,-0.2467489401542965,0.014613254171008304,0.0658921716996696,0.9999171252389607,0.0005316871890120641,0.009091567570802466,0.00909963525043732,0.1021504172604149,-0.03226902393735781,0.21489504049221209,0.0,0.0,-0.011831784962001123,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,27.96540840553772,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0024714383515481737,-0.00010880441974396655,0.0014,0.0033,0.0002,0.0084
9,1765256681.8407774,-0.003690197734376817,0.009493981337408789,0.3653875635203493,0.00642819511024971,-0.005755060460843023,-0.012638659750675347,0.0037389128831975538,-0.0008608143389108385,-0.249,0.012,0.043,0.999,-0.031,0.029,0.02,0.115,-0.052,0.034,0.0,0.0,0.015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2461724399681679,0.013437911167330528,0.056743861417166294,0.9999157867167421,0.0005474549859798184,0.009003888755851126,0.009330045817111162,0.10431128498056301,-0.035894090726951704,0.19272397587918166,0.0,0.0,-0.011167111558750997,-0.23888142617127184,0.011048108319296049,0.07039056303418154,0.9999285565434856,-0.00030259227562003945,0.007899775638785739,0.008965700844482533,0.114100391294509,-0.03557939280699478,0.21650800770046152,0.0,0.0,-0.011323701403335655,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,27.92088708375031,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0028562960053819158,-0.00041608941160157424,0.0015,0.0034,0.0002,0.004
