step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765257406.2889102,-0.0003941431795181034,-0.0004157834622178014,0.37234788197693136,-0.004778929796253272,1.272455974794058e-05,2.8012505192405652e-05,-7.999230891252151e-06,0.00021035845330378482,0.005,-0.005,0.002,1.0,0.011,-0.004,-0.008,-0.01,0.004,0.007,0.0,0.0,-0.009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00419730941722857,-0.004941704036096076,0.002448430493383351,0.9999684370357256,0.0,0.0,-0.007945120032336961,0.0003228699551714242,0.00020627802691507957,-8.968609865872894e-05,0.0,0.0,0.00033183856503730394,0.004216872693935449,-0.004925886498358364,-0.002072744265655886,0.9999690556435782,-9.11513197737918e-05,-9.507594257436863e-05,-0.007865774424190109,0.00022975812541020288,0.00030251624225565723,-0.09536256684779523,0.0,0.0,0.00486714669110162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0008,0.0016,0.0002,0.0048
1,1765257406.3603575,-0.00078183937662693,-0.0005308441872673951,0.3783905228811547,-0.004960732405050669,-0.0019384809855441335,-0.0005753036252479687,0.030213204521116636,-0.0009090130439869848,0.005,-0.005,0.002,1.0,0.011,-0.004,-0.008,0.001,-0.003,-0.005,0.0,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00424487243579856,-0.00500689398908936,-0.00032929863913308674,0.9999686273825075,0.0008879520664903924,0.0001476111813775411,-0.007869815932458389,0.0007458026468243141,-0.0018187210359166415,-0.055690903197036325,0.0,0.0,0.004784624992666542,0.004297671475418459,-0.005157258392712784,-0.0030859558018054636,0.9999705181257432,0.0003159297770942542,-3.324368007480619e-05,-0.007672155014488775,0.0007746863239697778,-0.002480006320525349,-0.024202653621399985,0.0,0.0,0.006776906711091796,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.002520478273865,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-1.869258137057482e-06,-4.7137984487832403e-07,0.002,0.0022,0.0002,0.0034
2,1765257406.4336529,-0.0005181514392848166,-0.0006807105409587152,0.3771877137270828,-0.004772924823446999,0.0013184396867105667,-0.0007493317684566002,-0.006014045770359428,0.0009390379080183541,0.005,-0.005,0.002,1.0,0.011,-0.004,-0.008,0.004,0.003,0.002,0.0,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004460353616593858,-0.004897651901096456,-0.002144427414906879,0.9999704336045067,-0.00011861723620809392,0.0002238739968573383,-0.007685553148596533,0.002640587079178593,0.0006466699970511507,-0.015985972252752632,0.0,0.0,0.006639990659268087,0.00464157068604653,-0.004844920054878164,-0.0014632984309759763,0.9999722822077087,-0.00022382707159421882,-1.964504417728412e-05,-0.007442065023981749,0.0027112943557666778,0.0009519292444048143,0.03733315396531567,0.0,0.0,0.00780949751393073,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.003933000369532,0.0,0.08,100.0,100.0,0.5,55.0,0.08,6.632271742590644e-06,-5.242712992445996e-06,0.0014,0.0015,0.0082,0.0075
3,1765257406.4937427,0.0002894219660529788,-0.0008438724127692817,0.3746598541572775,-0.004534964736690062,0.004037867026688978,-0.000815809359052832,-0.012639297849026662,0.001189800433784684,0.005,-0.003,0.004,1.0,0.0,-0.005,-0.003,0.028,0.015,0.041,0.0,0.0,0.078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004811147113616637,-0.003872226053206985,-0.00220049304880267,0.9999729291286475,-0.0006148563721265812,5.145622430454075e-05,-0.007332142508947441,0.004062748933726535,0.00821954512094672,0.03202297714825921,0.0,0.0,0.011585052388648116,0.005080150936967516,-0.0032996366277973053,0.0015869567108524434,0.9999755419482964,-0.0003919170258209891,-0.0001323127572549514,-0.006981718956665456,0.003950166808872708,0.008866922672438587,0.08154431474738377,0.0,0.0,0.009718858675643281,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.002020900333477,0.0,0.08,100.0,100.0,0.5,55.0,0.08,5.855298503810704e-05,-1.4463685303781835e-05,0.0019,0.0018,0.0002,0.0081
4,1765257406.5610015,-0.0014274903766693602,-0.0018782964068956012,0.3689729357800864,-0.004497513213548059,-0.008584561713611695,-0.005172119970631598,-0.028434591885955894,0.00018725761571001392,0.006,-0.006,0.014,1.0,-0.001,-0.002,-0.002,0.035,-0.07,0.239,0.0,0.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064870302338502755,-0.006883300100949246,0.007609635441003267,0.9999760602513388,9.558756183266686e-05,6.885794088479672e-05,-0.006918456895352931,0.011998085388217658,-0.01158505048595359,0.10773298204993453,0.0,0.0,0.01092514655688461,0.007284793783632223,-0.0076615210303102345,0.016292825333302605,0.9999782795622173,0.0001350518865054114,-0.00016923286742382107,-0.006587376185768574,0.011859423600629956,-0.011757790313694075,0.15255260690957573,0.0,0.0,0.009187041414117678,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,28.016995201143544,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0003189032198099405,-0.00016931188450056847,0.0014,0.0029,0.0004,0.0082
5,1765257406.6292882,-0.0056631191015266424,-0.00400309279347758,0.35949833873883447,-0.004346864270300022,-0.021178143624286414,-0.010623981932909898,-0.04737298520625958,0.0007532447162401909,0.01,-0.013,0.04,1.0,-0.004,-0.001,0.0,0.07,-0.099,0.386,0.0,0.0,0.085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01056995851711978,-0.014264972962123368,0.031926076885294516,0.9999791673552049,0.0005528456436489025,4.204268625735057e-05,-0.0064309757967319055,0.027279247316833156,-0.04272831489282915,0.20878564971161087,0.0,0.0,0.011534159352098446,0.012380269887507976,-0.017125325892404362,0.047009327891750774,0.9999813485649773,-0.00017940073559893075,-0.0004734296282283471,-0.006086559120931837,0.026875376626416397,-0.042843862604773464,0.24316995543711106,0.0,0.0,0.009454654371961434,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.064277791651516,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.001326893160867912,-0.0006880585561022026,0.0014,0.0047,0.001,0.0073
6,1765257406.6925287,-0.007160612288934659,-0.00550885033030728,0.36078289310097544,-0.004140413774218256,-0.007487465937040089,-0.007528787684148496,0.006422771810704879,0.0010322524804088282,0.013,-0.014,0.035,1.0,-0.006,-0.002,0.002,0.062,-0.028,-0.104,0.0,0.0,0.065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013826163072337352,-0.01642443870546539,0.034155908751961325,0.9999821527124183,-0.00021113534560491891,-0.00040892954880700216,-0.005956715128973216,0.03286714562629065,-0.04018233745528133,0.20228834480682822,0.0,0.0,0.010793575054787743,0.01598399094204806,-0.019066928302313248,0.04815110046180024,0.9999819530967815,-0.0016710940952580858,-0.0012487635885466662,-0.0056339608421712845,0.03163812035775991,-0.038684521104637645,0.2166307916390855,0.0,0.0,0.008961328523768193,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,28.016638458935493,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0011918553407706564,-0.0009978122692974184,0.0013,0.0016,0.0015,0.0057
7,1765257406.7798953,-0.0077842820583392276,-0.006089225484334321,0.3600569117717886,-0.0039245083652526686,-0.003118348847022839,-0.0029018757701352008,-0.0036299066459337323,0.0010795270448279385,0.015,-0.017,0.046,1.0,-0.007,-0.002,0.002,0.035,-0.049,0.216,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016089918763241336,-0.01942631588115028,0.04805706701125228,0.9999825440046468,-0.001655267611497285,-0.0012436490359996606,-0.005533996043032005,0.032140583818667405,-0.04026722070559798,0.21649390304791136,0.0,0.0,0.009236378795189654,0.01816470455377877,-0.02201951429764662,0.06315330835147892,0.9999808968620005,-0.002583783409727402,-0.0019888760301897284,-0.005251128116637971,0.02990966452407283,-0.03729268821460227,0.2365728034778991,0.0,0.0,0.008066782318534672,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,28.016492381349472,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0013090816827048476,-0.0010377627155700384,0.0021,0.009,0.0002,0.0189
8,1765257406.8346224,-0.013482063637500236,-0.006566899993483385,0.36260187806958366,-0.0036516993516384454,-0.02848890789580504,-0.0023883725457453167,0.01272483148897545,0.0013640450680711155,0.02,-0.041,0.055,1.0,-0.01,-0.0,0.004,0.02,-0.252,0.06,0.0,0.0,0.024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019204522171156795,-0.036026811421411474,0.05137303094800443,0.9999833538351282,-0.0020992259716111935,-0.001934204248877003,-0.005014394967749725,0.033466276030025915,-0.08660965245929875,0.2049230448690691,0.0,0.0,0.009167393438485806,0.021343802889514818,-0.04169486092424429,0.06559468837109358,0.9999814190915064,-0.002952725757139259,-0.002449836403415221,-0.004737212675906465,0.03058972358303505,-0.08320526157831087,0.2216973798559131,0.0,0.0,0.007822858560578072,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,27.961566097436116,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.005570657604593823,-0.0013919701384019919,0.0035,0.0042,0.0002,0.0112
9,1765257406.90195,-0.021633755244793444,-0.00541267619862377,0.3673238373360518,-0.0033375478154909675,-0.04075845803646602,0.005771118974298081,0.02360979633234091,0.001570757680737392,0.019,-0.067,0.053,1.0,-0.013,-0.0,0.005,-0.01,-0.299,-0.077,0.0,0.0,0.017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018456102532590064,-0.05642010196419895,0.04957397112340964,0.9999838194889057,-0.002394624137355609,-0.0025251184838451326,-0.004500034695758803,0.02017557284007794,-0.13416264463352667,0.17926284636288906,0.0,0.0,0.008276731630623294,0.019688322028372576,-0.06522074903820702,0.06219632963021687,0.9999753915025411,-0.004772661289365349,-0.002889341955648517,-0.004253210154722681,0.016713766809894455,-0.12917990473594743,0.19971307867658405,0.0,0.0,0.007154590610752319,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,27.87607550209297,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.01089628539028123,-0.000339767876352246,0.0041,0.0051,0.0003,0.0094
