step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765257726.0362778,-4.3516399970218874e-06,1.62283213165115e-05,0.3723327913652618,-0.00434224603936643,-1.2745043276829153e-05,1.2222125721109097e-05,-7.2634626035045224e-06,5.070588773200798e-06,-0.0,-0.001,0.004,1.0,-0.007,-0.008,-0.007,-0.021,-0.019,0.011,0.0,0.0,0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038799076212769575,-9.237875288754754e-05,0.002511162432659823,0.9999729264138993,0.0,0.0,-0.007358426409388937,0.00010931485758359815,1.2317167051672971e-05,2.1555042340427964e-05,0.0,0.0,0.00020477290223406368,-0.0003806376860409587,-9.154883920156143e-05,-0.0020033105676807127,0.9999734316917793,-4.1265647406621305e-07,3.1548301407689042e-06,-0.007289437594429117,0.00011241747178913127,1.2723684827155646e-05,-0.09527451692975858,0.0,0.0,0.004353161626189792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0034,0.0021,0.0002,0.008
1,1765257726.1166024,0.0008726372551437787,-0.0005065762411393242,0.3768677521108307,-0.004541864305463065,0.004384944475704002,-0.0026140228122791785,0.022674803727843855,-0.0009980913304831792,0.0,0.0,0.004,1.0,-0.007,-0.008,-0.007,-0.016,-0.012,0.001,0.0,0.0,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002585337642883294,0.0001049207493503758,0.0004924960314285374,0.9999690205691459,-0.0025358610675440046,0.0015703252293279844,-0.007284324903732292,0.0031715510459547243,0.005090362820515584,-0.03791493822906192,0.0,0.0,0.004163800483769616,8.578851085065546e-06,0.0005323075872761421,-0.000924031964470638,0.9999737175566039,-0.0011937999035761856,0.0007426686190258858,-0.007112487689829451,0.004529657772070171,0.007229609835146457,-0.0028257814971810544,0.0,0.0,0.006084351234543428,0.0,0.0,0.01694915254237288,1.0,0.0,0.0,0.0,28.00367686168547,0.0,0.08,100.0,100.0,0.5,55.0,0.08,4.53751819117315e-06,-2.627110496190601e-06,0.0022,0.0117,0.0023,0.0096
2,1765257726.1736767,0.0010747667583449808,-0.00038019039183486054,0.37580575134721556,-0.004386030247979064,0.0010106475160060106,0.0006319292465223184,-0.00531000381807566,0.0007791702874200047,0.0,0.001,0.004,1.0,-0.007,-0.008,-0.007,-0.002,0.006,0.0,0.0,0.0,-0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023289377305517548,0.0004908557857875351,-0.0008124585677032038,0.9999740126961308,-0.001117905018410528,0.0003372422481828043,-0.007114104893398467,0.0015952935520662619,0.006693695999510505,-0.0020384753186750764,0.0,0.0,0.005850124914097944,-0.00011941226909297696,0.0009678369145094353,0.0007007947416034,0.9999761350145888,-0.00040045497959045694,8.54769696267617e-05,-0.006896501343565304,0.0017425529380544385,0.0073937075547615555,0.048141928295937275,0.0,0.0,0.007056075501626645,0.0,0.0,0.03389830508474576,1.0,0.0,0.0,0.0,28.003833753220764,0.0,0.08,100.0,100.0,0.5,55.0,0.08,2.1522296693343183e-06,8.995538598482958e-06,0.0022,0.0033,0.0003,0.0121
3,1765257726.2497053,0.0007223652823323446,-0.0024459799582665755,0.37088647218077536,-0.004346787366695504,-0.0017620073800631813,-0.010328947832158574,-0.024596395832200708,0.00019621440641780035,0.003,0.001,0.012,1.0,-0.014,-0.009,-0.003,0.103,-0.047,0.25,0.0,0.0,0.111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002437801069003362,0.0003197777464013711,0.004614572942604946,0.9999761280056033,-0.00015159832644297575,0.0011767206459815836,-0.0068070379307019774,0.021383020346263215,0.0023458849863247193,0.07077296065725444,0.0,0.0,0.013233459270884417,0.003901561593518694,0.00047239425128313656,0.010910134647152687,0.9999792065747146,8.848372627494155e-05,0.000523148041677362,-0.00642688921335434,0.022296776823680656,0.002184509610480366,0.11805016910963384,0.0,0.0,0.010066324718087792,0.0,0.0,0.05084745762711865,1.0,0.0,0.0,0.0,28.013402593480507,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-4.489620357364129e-05,-0.00017894862980887306,0.0023,0.0077,0.0019,0.0151
4,1765257726.306334,-0.003447431312973571,-0.0015611080712445236,0.3675536575673378,-0.004259143509400629,-0.020848982976529578,0.0044243594351102596,-0.016664073067187556,0.00043821928647437374,0.001,-0.006,0.02,1.0,-0.017,-0.011,-0.003,0.03,-0.028,0.019,0.0,0.0,-0.042,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008447916149172767,-0.0058177172972619495,0.011139252953158358,0.999979240947668,0.0009568070579492608,0.0001095260366661726,-0.006371043715674668,0.0049718104066003264,-0.03359949337401424,0.11831015871655436,0.0,0.0,0.009209323874522411,0.0011646631110599297,-0.00809606828641559,0.02027315359116201,0.99998119086467,0.0005522800672926185,-0.0005734419118894946,-0.006081452785099882,0.0044416986234692216,-0.03458107031564141,0.15524747608797357,0.0,0.0,0.008289159064666492,0.0,0.0,0.06779661016949153,1.0,0.0,0.0,0.0,28.013200980503154,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0008232986335789793,0.00018373302412395988,0.0023,0.0068,0.001,0.0056
5,1765257726.370888,-0.005331556267769185,-0.0023339977054780883,0.36383269773013033,-0.004150851022231099,-0.009420624773978073,-0.003864448171167825,-0.01860479918603747,0.0005414624358476591,0.003,-0.007,0.029,1.0,-0.018,-0.011,-0.003,0.069,-0.035,0.243,0.0,0.0,-0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003649509568969104,-0.008091059458943907,0.023202525693070217,0.9999812619499223,0.0005561931957744947,-0.0004060424920267132,-0.006082888102263286,0.016237476957743996,-0.03460842730984352,0.1656617777668457,0.0,0.0,0.007927462475820277,0.004709580437701318,-0.010398486802141678,0.0353057071789846,0.9999826283773452,-0.0007727256973178175,-0.0004674168233110322,-0.005824719739726707,0.015562225488514693,-0.03421459320160011,0.19713655183314216,0.0,0.0,0.007633111638918701,0.0,0.0,0.0847457627118644,1.0,0.0,0.0,0.0,28.02388599966309,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0008204035279008937,-0.00028055616116930956,0.0016,0.0062,0.0008,0.0066
6,1765257726.4450595,-0.006835396366079735,-0.0048231929022816535,0.36144896173660057,-0.003970942188846315,-0.007519200491552748,-0.012445975984017825,-0.011918679967648962,0.0008995441669239184,0.012,-0.013,0.048,1.0,-0.02,-0.011,0.0,0.109,-0.089,0.162,0.0,0.0,0.072,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00954393568150018,-0.012151085253013219,0.03547779892967826,0.9999832942312936,-0.0006961413081997953,-0.00025667462887580747,-0.005732430875647066,0.03551379773610751,-0.041574329120557356,0.19688035284352298,0.0,0.0,0.0103340128023954,0.011891714307744473,-0.014871436002001387,0.049426948679017674,0.9999836466033899,-0.0016734786300158795,-0.0007075436769223195,-0.005422672496748297,0.03479127075333387,-0.03977224703059817,0.22125545592701978,0.0,0.0,0.008575840302420083,0.0,0.0,0.1016949152542373,1.0,0.0,0.0,0.0,28.022745126000697,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.0012323543649028594,-0.001429249804928527,0.0015,0.0024,0.0014,0.0172
7,1765257726.5020046,-0.009438321601636011,-0.006235034129307185,0.35928753690603754,-0.003774388479148299,-0.013014626177781378,-0.007059206135127659,-0.010807124152815387,0.0009827685484900843,0.015,-0.024,0.064,1.0,-0.02,-0.011,0.001,0.056,-0.166,0.24,0.0,0.0,0.024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012755864802287796,-0.019752306740878463,0.050453221700189066,0.9999842150947895,-0.0014865364217107105,-0.0006755495225286909,-0.0053761885725174445,0.037955192620130765,-0.058250913517877714,0.2235498512603471,0.0,0.0,0.008953180586362576,0.015240315059283131,-0.023552328268245507,0.06604353315340378,0.9999827256732727,-0.002435648204387072,-0.0016056161308054021,-0.005102741392314104,0.036321712136688084,-0.05549970280266947,0.24395844227031782,0.0,0.0,0.007781524189521494,0.0,0.0,0.11864406779661017,1.0,0.0,0.0,0.0,28.02584481845789,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.002651556377628734,-0.001685205085274085,0.0014,0.0016,0.0002,0.0096
8,1765257726.5859227,-0.012449949601151374,-0.007856283110328884,0.36025585310256664,-0.0035800142163852472,-0.015058139997576804,-0.00810624490510849,0.004841580982645394,0.0009718713138152579,0.021,-0.033,0.065,1.0,-0.022,-0.011,0.002,0.108,-0.181,0.029,0.0,0.0,0.021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018186497252839717,-0.028687973806681265,0.05860969053409504,0.9999835761456737,-0.0022367565651718233,-0.0014905150232805472,-0.0050618893649731714,0.04675704158915113,-0.07375811282345182,0.22345208259051552,0.0,0.0,0.008108762534426203,0.021225313141095214,-0.03348615711993434,0.07402773638725335,0.9999795790138459,-0.0035300697643739164,-0.00228445025634404,-0.004812634390519579,0.04420191825068448,-0.06984395835249804,0.23891006997326658,0.0,0.0,0.007215961477025336,0.0,0.0,0.13559322033898305,1.0,0.0,0.0,0.0,27.985177757997825,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.004359338243313848,-0.0026878267015495875,0.0034,0.0078,0.007,0.012
9,1765257726.6292663,-0.016026801972471437,-0.00934106858367536,0.36263038346677445,-0.00338503701529489,-0.017884261856600324,-0.007423927366732387,0.011872651821038836,0.0009748860054517855,0.026,-0.044,0.064,1.0,-0.022,-0.011,0.002,0.104,-0.225,-0.02,0.0,0.0,0.023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02378060515744958,-0.040044611897253835,0.06431243806207741,0.9999808007768651,-0.0032832284455744467,-0.0021836080774150944,-0.004780203384586143,0.05285951939189187,-0.09225853314207161,0.213813742070956,0.0,0.0,0.007604682232945974,0.02719670891250335,-0.046028043432972815,0.07912553879760287,0.9999733672234135,-0.004822765367421556,-0.0030522051397464814,-0.0045486065848719505,0.049399217369140214,-0.08683488914990112,0.2307224719365495,0.0,0.0,0.006805006692410985,0.0,0.0,0.15254237288135594,1.0,0.0,0.0,0.0,27.930560186411494,0.0,0.08,100.0,100.0,0.5,55.0,0.08,-0.006798377446753882,-0.0036573395367073777,0.001,0.0012,0.0002,0.0044
