step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,orb_pose_x,orb_pose_y,orb_pose_z,orb_pose_qw,orb_pose_qx,orb_pose_qy,orb_pose_qz,orb_pose_vx,orb_pose_vy,orb_pose_vz,orb_pose_avx,orb_pose_avy,orb_pose_avz,mot_pose_x,mot_pose_y,mot_pose_z,mot_pose_qw,mot_pose_qx,mot_pose_qy,mot_pose_qz,mot_pose_vx,mot_pose_vy,mot_pose_vz,mot_pose_avx,mot_pose_avy,mot_pose_avz,est_pose_x,est_pose_y,est_pose_z,est_pose_qw,est_pose_qx,est_pose_qy,est_pose_qz,est_pose_vx,est_pose_vy,est_pose_vz,est_pose_avx,est_pose_avy,est_pose_avz,ukf_pose_x,ukf_pose_y,ukf_pose_z,ukf_pose_qw,ukf_pose_qx,ukf_pose_qy,ukf_pose_qz,ukf_pose_vx,ukf_pose_vy,ukf_pose_vz,ukf_pose_avx,ukf_pose_avy,ukf_pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,fixed_centre_rate_deg,fixed_max_rate_deg,fixed_rate_expo,fixed_angle_max_deg,est_param_tau_angle,est_param_fc_roll_offset_deg,est_param_fc_pitch_offset_deg,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1765755917.8856533,-2.2425112034906678e-10,-2.2425112034906678e-10,0.09999999964537946,-2.242511203521161e-10,-1.1212556017453339e-09,-1.1212556017453339e-09,0.4999999982268973,-1.1212556017605805e-09,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.02199440630567509,-0.00599847444700228,0.09997457411670473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02199440630567509,-0.00599847444700228,0.09997457411670473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0028,0.0025,0.0001,0.0002
0,1765755917.9482481,-0.0002858656938981599,-0.0010481739532428253,0.19999999565373627,-1.4815523940780142e-10,-0.0014293273482351976,-0.005240868644958525,0.499999980041784,3.804794047215731e-10,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.021994493116450596,-0.005998498122668326,0.09997496871113883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021994493116450596,-0.005998498122668326,0.09997496871113883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0014,0.0015,0.0001,0.0002
0,1765755918.0168629,-0.0004523323898040864,-0.0016585482097897907,0.29999997598651296,1.284580025370328e-08,-0.0008323334795296325,-0.003051871282734826,0.4999999016638834,6.496977746555541e-08,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.021994574599314465,-0.005998520345267558,0.09997533908779274,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021994574599314465,-0.005998520345267558,0.09997533908779274,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0022,0.0023,0.0001,0.0002
0,1765755918.0815916,-0.0005468345953638004,-0.002005045620716977,0.3574365825918305,5.119155333267917e-07,-0.0004725110277985702,-0.001732487054635931,0.28718303302658765,2.495348665365442e-06,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.02199465110630201,-0.005998541210809614,0.09997568684682699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02199465110630201,-0.005998541210809614,0.09997568684682699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0011,0.0013,0.0001,0.0001
0,1765755918.1496704,-0.0005315525291589996,-0.0019489923854276831,0.363225118886144,9.875720016576868e-07,7.64103310240043e-05,0.00028026617644646924,0.02894268147156799,2.378282341654476e-06,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.021994717887207717,-0.005998559423783898,0.09997599039639841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021994717887207717,-0.005998559423783898,0.09997599039639841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0021,0.002,0.0001,0.0002
0,1765755918.2157502,-0.0005247854081989101,-0.0019241716885850695,0.36381990462534836,1.2945396910263145e-06,3.3835604800448076e-05,0.00012410348421306762,0.0029739286960220094,1.5348384468431377e-06,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.021994792899460387,-0.005998579881670986,0.09997633136118327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021994792899460387,-0.005998579881670986,0.09997633136118327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0013,0.0023,0.0001,0.0002
0,1765755918.2813096,-0.0005218743459971105,-0.001913496133194315,0.36388067807493746,1.4930310763778135e-06,1.4555311008998149e-05,5.337777695377157e-05,0.0003038672479455072,9.924569267574963e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.021994853801221088,-0.005998596491242085,0.09997660818736827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021994853801221088,-0.005998596491242085,0.09997660818736827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0011,0.0014,0.0001,0.0002
0,1765755918.3524213,-0.0005205500093230449,-0.00190864045501647,0.36388684786430664,1.6248111038159365e-06,6.621683370328156e-06,2.4278390889225475e-05,3.084894684589508e-05,6.589001371906153e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0219949203417733,-0.005998614638665415,0.09997691064442378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219949203417733,-0.005998614638665415,0.09997691064442378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0015,0.0047,0.0003,0.0002
0,1765755918.4138274,-0.0005199407348561989,-0.0019064070719438395,0.3638874443133063,1.7136620392623706e-06,3.046372334230055e-06,1.1166915363153718e-05,2.9822449981904697e-06,4.4425467723217024e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.021994987468721854,-0.005998632946015016,0.09997721576691716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021994987468721854,-0.005998632946015016,0.09997721576691716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0007,0.0009,0.0001,0.0001
0,1765755918.4804084,-0.0005196601882581106,-0.001905378980314189,0.36388747555456263,1.7742138406346232e-06,1.4027329904414123e-06,5.140458148253325e-06,1.5620628163182104e-07,3.0275900686126346e-07,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,-0.006,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.021995057290546,-0.005998651988330689,0.09997753313884505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021995057290546,-0.005998651988330689,0.09997753313884505,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.08,100.0,100.0,0.5,55.0,0.08,0.0,0.0,0.0008,0.0013,0.0001,0.0001
