step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1776216983.3864481,0.0,0.0,-0.6134440637151599,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
1,1776216983.3944561,0.0,0.0,-0.6119550921602608,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
2,1776216983.4034529,0.0,0.0,-0.6104661206053615,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
3,1776216983.4111912,0.0,0.0,-0.6089771490504624,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
4,1776216983.4206097,0.0,0.0,-0.6074881774955632,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
5,1776216983.4291587,0.0,0.0,-0.6059992059406641,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
6,1776216983.4369547,0.0,0.0,-0.6045102343857649,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
7,1776216983.4443078,0.0,0.0,-0.6030212628308658,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
8,1776216983.4530654,0.0,0.0,-0.6015322912759666,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
9,1776216983.4629204,0.0,0.0,-0.6000433197210675,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
10,1776216983.469893,0.0,0.0,-0.5985543481661681,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
11,1776216983.477664,0.0,0.0,-0.597065376611269,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
12,1776216983.4862552,0.0,0.0,-0.5955764050563699,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
13,1776216983.4943244,0.0,0.0,-0.5940874335014709,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
14,1776216983.5026572,0.0,0.0,-0.5925984619465716,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
15,1776216983.511045,0.0,0.0,-0.5911094903916725,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
16,1776216983.5191903,0.0,0.0,-0.5896205188367734,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
17,1776216983.5277858,0.0,0.0,-0.5881315472818742,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
18,1776216983.5361402,0.0,0.0,-0.586642575726975,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
19,1776216983.5444548,0.0,0.0,-0.5851536041720758,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
20,1776216983.554993,0.0,0.0,-0.5836646326171766,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
21,1776216983.5610425,0.0,0.0,-0.5821756610622775,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
22,1776216983.5696933,0.0,0.0,-0.5806866895073783,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
23,1776216983.5776849,0.0,0.0,-0.5791977179524792,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
24,1776216983.5863461,0.0,0.0,-0.5777087463975801,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
25,1776216983.5948322,0.0,0.0,-0.5762197748426809,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
26,1776216983.604633,0.0,0.0,-0.5747308032877817,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
27,1776216983.6115186,0.0,0.0,-0.5732418317328826,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
28,1776216983.6198163,0.0,0.0,-0.5717528601779833,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
29,1776216983.627897,0.0,0.0,-0.5702638886230842,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
30,1776216983.636812,0.0,0.0,-0.5687749170681851,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
31,1776216983.6456006,0.0,0.0,-0.5672859455132859,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
32,1776216983.652754,0.0,0.0,-0.5657969739583868,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
33,1776216983.6616232,0.0,0.0,-0.5643080024034877,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
34,1776216983.6694367,0.0,0.0,-0.5628190308485884,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
35,1776216983.6778927,0.0,0.0,-0.5613300592936892,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
36,1776216983.6866734,0.0,0.0,-0.55984108773879,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
37,1776216983.6944745,0.0,0.0,-0.5583521161838909,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
38,1776216983.7026694,0.0,0.0,-0.5568631446289918,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
39,1776216983.7128913,0.0,0.0,-0.5553741730740926,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
40,1776216983.7207315,0.0,0.0,-0.5538852015191935,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
41,1776216983.7280834,0.0,0.0,-0.5523962299642944,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
42,1776216983.7360468,0.0,0.0,-0.5509072584093951,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
43,1776216983.7443905,0.0,0.0,-0.549418286854496,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
44,1776216983.7538977,0.0,0.0,-0.5479293152995969,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
45,1776216983.7619143,0.0,0.0,-0.5464403437446976,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
46,1776216983.7695377,0.0,0.0,-0.5449513721897985,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
47,1776216983.780263,0.0,0.0,-0.5434624006348994,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
48,1776216983.7873466,0.0,0.0,-0.5419734290800002,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
49,1776216983.7955036,0.0,0.0,-0.5404844575251011,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
50,1776216983.8037097,0.0,0.0,-0.5389954859702017,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
51,1776216983.811449,0.0,0.0,-0.5375065144153026,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
52,1776216983.8202047,0.0,0.0,-0.5360175428604035,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
53,1776216983.8285737,0.0,0.0,-0.5349226140540109,-0.0,-0.0,-0.0,0.1,1.0,-0.0,-0.0,0.0
54,1776216983.836362,0.0,0.0,-0.533827685247618,-0.0,-0.0,-0.0,0.1,1.0,-0.0,-0.0,0.0
55,1776216983.8452108,0.0,0.0,-0.5327327564412254,-0.0,-0.0,-0.0,0.1,1.0,-0.0,-0.0,0.0
56,1776216983.8531048,0.0,0.0,-0.5308497421378199,-0.0,-0.0,-0.0,0.1,1.0,-0.0,-0.0,0.0
57,1776216983.8625827,0.0,0.0,-0.5297548133314272,-0.0,-0.0,-0.0,0.1,1.0,0.0,-0.0,0.0
58,1776216983.8698668,0.0,0.0,-0.5282658417765278,-0.0,-0.0,-0.0,0.1,1.0,0.0,-0.0,0.0
59,1776216983.878531,0.0,0.0,-0.5267768702216288,-0.0,-0.0,-0.0,0.1,1.0,0.0,-0.0,0.0
60,1776216983.8863075,0.0,0.0,-0.5252878986667296,-0.0,-0.0,-0.0,0.1,1.0,0.0,-0.0,-0.0
61,1776216983.8952417,0.0,0.0,-0.5265572263513758,-0.0,-0.0,-0.0,0.1,1.0,0.0,0.0,-0.0
62,1776216983.902794,0.0,0.0,-0.5238861265509571,-0.0,-0.0,-0.0,0.1,1.0,0.0,0.0,-0.0
63,1776216983.911094,0.0,0.0,-0.523185240493071,-0.0,-0.0,-0.0,0.1,1.0,0.0,0.0,-0.0
64,1776216983.9195223,0.0,0.0,-0.5248486109262235,-0.0,-0.0,-0.0,0.1,1.0,0.0,0.0,-0.0
65,1776216983.9290423,0.0,0.0,-0.5338050558963165,-0.0,-0.0,-0.0,0.101,1.0,0.0,0.0,-0.0
66,1776216983.937278,0.0,0.0,-0.537044597323495,-0.0,-0.0,-0.0,0.101,1.0,0.0,0.0,-0.0
67,1776216983.9460683,0.0,0.0,-0.522946257816389,-0.0,-0.0,-0.0,0.101,1.0,0.0,0.0,-0.0
68,1776216983.9530513,0.0,0.0,-0.519093029770451,-0.0,-0.0,-0.0,0.101,1.0,0.0,0.0,-0.0
69,1776216983.9610524,0.0,0.0,-0.5156338444730195,-0.0,-0.0,-0.0,0.101,1.0,0.0,0.0,-0.0
70,1776216983.9699993,0.0,0.0,-0.5196614713972109,-0.0,-0.0,-0.0,0.101,1.0,0.0,0.0,-0.0
71,1776216983.9787767,0.0,0.0,-0.5219191896426939,-0.0,-0.0,-0.0,0.102,1.0,0.0,0.0,-0.0
72,1776216983.9866858,0.0,0.0,-0.5164897906027301,-0.0,-0.0,-0.0,0.102,1.0,0.0,0.0,-0.0
73,1776216983.996382,0.0,0.0,-0.5331267854791283,-0.0,-0.0,-0.0,0.102,1.0,0.0,0.0,-0.0
74,1776216984.0035212,0.0,0.0,-0.5146939757384512,-0.0,-0.0,-0.0,0.102,1.0,0.0,0.0,-0.0
75,1776216984.01122,0.0,0.0,-0.5177397794809473,-0.0,-0.0,-0.0,0.103,1.0,0.0,0.0,-0.0
76,1776216984.0195975,0.0,0.0,-0.5320125178663067,-0.0,-0.0,-0.0,0.103,1.0,0.0,0.0,-0.0
77,1776216984.0281303,0.0,0.0,-0.5155499218681618,-0.0,-0.0,-0.0,0.103,1.0,0.0,0.0,-0.0
78,1776216984.0361834,0.0,0.0,-0.5128788220677434,-0.0,-0.0,-0.0,0.103,1.0,0.0,0.0,-0.0
79,1776216984.0454283,0.0,0.0,-0.5151365403132264,-0.0,-0.0,-0.0,0.104,1.0,0.0,0.0,-0.0
80,1776216984.0534306,0.0,0.0,-0.5122717028281256,-0.0,-0.0,-0.0,0.105,1.0,0.0,0.0,-0.0
81,1776216984.0612035,0.0,0.0,-0.5448707127086063,-0.0,-0.0,-0.0,0.106,1.0,0.0,0.0,-0.0
82,1776216984.0694418,0.0,0.0,-0.5193451334948129,-0.0,0.0,-0.0,0.106,1.0,0.0,0.0,-0.0
83,1776216984.0777016,0.0,0.0,-0.5253429741615365,-0.0,0.0,-0.0,0.106,1.0,0.0,0.0,-0.0
84,1776216984.0859976,0.0,0.0,-0.5224781366764357,-0.0,0.0,-0.0,0.107,1.0,0.0,0.0,-0.0
85,1776216984.094287,0.0,0.0,-0.512914572466725,-0.0,0.0,-0.0,0.108,1.0,0.0,0.0,-0.0
86,1776216984.1029334,0.0,0.0,-0.513395814654358,-0.0,0.0,-0.0,0.108,1.0,0.0,0.0,-0.0
87,1776216984.1109247,0.0,0.0,-0.5215641741274382,-0.0,0.0,-0.0,0.109,1.0,0.0,0.0,-0.0
88,1776216984.1197057,0.0,0.0,-0.5121943476024098,-0.0,0.0,-0.0,0.109,1.0,0.0,0.0,-0.0
89,1776216984.127733,0.0,0.0,-0.517210365087438,-0.0,0.0,-0.0,0.11,1.0,0.0,0.0,-0.0
90,1776216984.1368513,0.0,0.0,-0.514145222538513,-0.0,0.0,-0.0,0.11,1.0,0.0,0.0,-0.0
91,1776216984.1451938,0.0,0.0,-0.5357110354608129,-0.0,0.0,-0.0,0.111,1.0,0.0,0.0,-0.0
92,1776216984.1533315,0.0,0.0,-0.5450615231794123,-0.0,0.0,-0.0,0.112,1.0,0.0,0.0,-0.0
93,1776216984.1627529,0.0,0.0,-0.5412082951334743,-0.0,0.0,-0.0,0.112,1.0,0.0,0.0,-0.0
94,1776216984.1704857,0.0,0.0,-0.5020915247857789,-0.0,0.0,-0.0,0.113,1.0,0.0,0.0,-0.0
95,1776216984.1790721,0.0,0.0,-0.5078956277678202,-0.0,0.0,-0.0,0.114,1.0,0.0,0.0,-0.0
96,1776216984.1873653,0.0,0.0,-0.5930960608843429,-0.0,0.0,-0.0,0.114,1.0,0.0,0.0,-0.0
97,1776216984.1956937,0.0,0.0,-0.5082703317098977,-0.0,0.0,-0.0,0.115,1.0,0.0,0.0,-0.0
98,1776216984.20303,0.0,0.0,-0.5341706148657686,-0.0,0.0,-0.0,0.116,1.0,0.0,0.0,-0.0
99,1776216984.2116814,0.0,0.0,-0.5072691697217735,-0.0,0.0,-0.0,0.117,1.0,0.0,0.0,-0.0
100,1776216984.2201788,0.0,0.0,-0.531199239135112,-0.0,0.0,-0.0,0.118,1.0,0.0,0.0,-0.0
101,1776216984.228833,0.0,0.0,-0.519665461182869,-0.0,0.0,-0.0,0.119,1.0,0.0,0.0,-0.0
102,1776216984.2378216,0.0,0.0,-0.5022210420030289,-0.0,0.0,-0.0,0.12,1.0,0.0,0.0,-0.0
