CANVAS_SIZE: 1600x1600
ID | Points (P1, P2, P3, P4)
--------------------------------------------------
Cell 0: (500.00, 950.00), (1100.00, 950.00), (1100.00, 650.00), (500.00, 650.00)
Cell 1: (0.00, 1600.00), (260.41, 1600.00), (264.85, 1548.05), (0.00, 1548.50)
Cell 2: (0.00, 1548.50), (264.85, 1548.05), (262.57, 1523.90), (0.00, 1496.82)
Cell 3: (0.00, 1496.82), (169.36, 1511.63), (147.53, 1383.77), (0.00, 1401.89)
Cell 4: (0.00, 1401.89), (147.53, 1383.77), (143.00, 1352.83), (0.00, 1339.04)
Cell 5: (169.36, 1511.63), (262.57, 1523.90), (273.17, 1367.12), (143.00, 1352.83)
Cell 6: (260.41, 1600.00), (478.01, 1600.00), (439.96, 1533.96), (263.16, 1528.01)
Cell 7: (478.01, 1600.00), (637.75, 1600.00), (631.31, 1541.21), (439.96, 1533.96)
Cell 8: (263.16, 1528.01), (447.93, 1536.65), (459.85, 1442.92), (271.46, 1420.31)
Cell 9: (271.46, 1420.31), (459.85, 1442.92), (465.03, 1387.01), (273.17, 1367.12)
Cell 10: (447.93, 1536.65), (631.31, 1541.21), (621.71, 1465.29), (456.99, 1477.46)
Cell 11: (456.99, 1477.46), (621.71, 1465.29), (614.59, 1402.08), (465.03, 1387.01)
Cell 12: (637.75, 1600.00), (740.17, 1600.00), (710.07, 1407.73), (614.59, 1402.08)
Cell 13: (740.17, 1600.00), (940.74, 1600.00), (987.16, 1550.80), (728.79, 1544.25)
Cell 14: (728.79, 1544.25), (987.16, 1550.80), (1012.77, 1530.53), (719.37, 1494.79)
Cell 15: (719.37, 1494.79), (897.58, 1514.00), (975.15, 1436.86), (710.07, 1407.73)
Cell 16: (897.58, 1514.00), (1012.77, 1530.53), (1091.51, 1446.93), (975.15, 1436.86)
Cell 17: (0.00, 1339.04), (218.08, 1362.66), (227.10, 1269.33), (0.00, 1262.96)
Cell 18: (218.08, 1362.66), (331.82, 1370.12), (427.12, 1324.01), (220.20, 1326.02)
Cell 19: (220.20, 1326.02), (427.12, 1324.01), (527.13, 1274.45), (227.10, 1269.33)
Cell 20: (0.00, 1262.96), (527.13, 1274.45), (576.41, 1249.87), (0.00, 1219.11)
Cell 21: (331.82, 1370.12), (616.60, 1400.79), (596.40, 1352.56), (419.44, 1331.21)
Cell 22: (616.60, 1400.79), (810.37, 1418.21), (726.37, 1369.60), (596.40, 1352.56)
Cell 23: (810.37, 1418.21), (1091.51, 1446.93), (1124.07, 1417.33), (726.37, 1369.60)
Cell 24: (419.44, 1331.21), (671.05, 1358.36), (708.60, 1262.92), (576.41, 1249.87)
Cell 25: (671.05, 1358.36), (926.93, 1393.06), (988.18, 1345.18), (693.30, 1310.90)
Cell 26: (693.30, 1310.90), (795.70, 1322.26), (884.13, 1272.44), (708.60, 1262.92)
Cell 27: (795.70, 1322.26), (988.18, 1345.18), (1075.77, 1279.47), (884.13, 1272.44)
Cell 28: (926.93, 1393.06), (1124.07, 1417.33), (1211.26, 1329.21), (1019.96, 1320.60)
Cell 29: (1019.96, 1320.60), (1211.26, 1329.21), (1245.41, 1293.58), (1075.77, 1279.47)
Cell 30: (940.74, 1600.00), (1044.95, 1600.00), (1208.05, 1498.80), (1026.63, 1510.54)
Cell 31: (1044.95, 1600.00), (1202.19, 1600.00), (1306.99, 1490.77), (1208.05, 1498.80)
Cell 32: (1202.19, 1600.00), (1350.32, 1600.00), (1318.35, 1553.77), (1243.28, 1554.61)
Cell 33: (1350.32, 1600.00), (1600.00, 1600.00), (1600.00, 1532.09), (1318.35, 1553.77)
Cell 34: (1243.28, 1554.61), (1600.00, 1532.09), (1600.00, 1471.23), (1306.99, 1490.77)
Cell 35: (1026.63, 1510.54), (1272.06, 1495.88), (1278.70, 1475.49), (1072.06, 1471.07)
Cell 36: (1072.06, 1471.07), (1278.70, 1475.49), (1306.40, 1386.90), (1147.52, 1393.32)
Cell 37: (1272.06, 1495.88), (1400.19, 1485.08), (1437.03, 1411.80), (1298.39, 1419.93)
Cell 38: (1400.19, 1485.08), (1600.00, 1471.23), (1600.00, 1404.42), (1437.03, 1411.80)
Cell 39: (1298.39, 1419.93), (1600.00, 1404.42), (1600.00, 1370.29), (1306.40, 1386.90)
Cell 40: (1147.52, 1393.32), (1404.05, 1378.33), (1388.87, 1301.64), (1245.41, 1293.58)
Cell 41: (1404.05, 1378.33), (1600.00, 1370.29), (1600.00, 1312.86), (1388.87, 1301.64)
Cell 42: (0.00, 1219.11), (282.00, 1234.89), (282.46, 1201.86), (0.00, 1153.80)
Cell 43: (0.00, 1153.80), (282.46, 1201.86), (284.70, 1155.41), (0.00, 1120.17)
Cell 44: (0.00, 1120.17), (152.58, 1136.10), (82.31, 1048.19), (0.00, 1039.82)
Cell 45: (152.58, 1136.10), (284.70, 1155.41), (292.90, 1062.10), (82.31, 1048.19)
Cell 46: (282.00, 1234.89), (474.86, 1246.98), (612.10, 1195.26), (285.41, 1157.65)
Cell 47: (474.86, 1246.98), (731.56, 1260.67), (769.93, 1214.31), (612.10, 1195.26)
Cell 48: (285.41, 1157.65), (591.05, 1192.18), (615.27, 1125.65), (287.97, 1103.45)
Cell 49: (287.97, 1103.45), (615.27, 1125.65), (634.37, 1085.55), (292.90, 1062.10)
Cell 50: (591.05, 1192.18), (769.93, 1214.31), (823.29, 1145.96), (608.49, 1153.25)
Cell 51: (608.49, 1153.25), (823.29, 1145.96), (859.23, 1104.55), (634.37, 1085.55)
Cell 52: (0.00, 1039.82), (186.28, 1054.12), (207.35, 1010.06), (0.00, 992.29)
Cell 53: (0.00, 992.29), (207.35, 1010.06), (237.13, 952.16), (0.00, 950.00)
Cell 54: (186.28, 1054.12), (376.07, 1069.78), (422.21, 1002.49), (214.89, 993.84)
Cell 55: (214.89, 993.84), (422.21, 1002.49), (454.10, 949.71), (237.13, 952.16)
